Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.714s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10
60	14.4	16.4	14.2	17	14.4	16	13.8	16.2	14.4	14.6
61	0	0	1491.2	1190.4	1196.8	1340.8	876.8	1148.8	1094.4	851.2
62	0	0	1062.4	780.8	1417.6	1363.2	1401.6	1116.8	947.2	1276.8
63	0	0	992	1260.8	976	982.4	944	832	1321.6	950.4
64	0	0	1321.6	931.2	1337.6	1158.4	1110.4	736	985.6	1094.4
65	0	0	1059.2	886.4	1222.4	780.8	1337.6	1014.4	1267.2	896
66	0	0	800	1366.4	812.8	1072	742.4	1340.8	1430.4	1027.2
67	0	0	1196.8	1232	796.8	1040	857.6	1366.4	988.8	1024
68	0	0	944	1059.2	979.2	1030.4	828.8	1075.2	1289.6	1126.4
69	0	0	1068.8	886.4	1276.8	1081.6	931.2	1075.2	665.6	864
70	0	0	921.6	1280	1449.6	944	1110.4	809.6	864	985.6
71	0	0	1289.6	1088	1203.2	1312	620.8	832	1376	995.2
72	0	0	976	905.6	1353.6	972.8	1222.4	998.4	771.2	758.4
73	0	0	998.4	1017.6	1238.4	1132.8	931.2	883.2	1248	979.2
74	0	0	985.6	1305.6	774.4	944	892.8	560	1267.2	1091.2
75	0	0	1139.2	1148.8	969.6	908.8	1104	732.8	1104	912
76	0	0	870.4	857.6	1100.8	1001.6	1072	1395.2	1318.4	934.4
77	0	0	1100.8	1516.8	752	809.6	1072	1507.2	905.6	937.6
78	0	0	953.6	963.2	1084.8	1228.8	812.8	835.2	1270.4	928
79	0	0	720	950.4	956.8	1260.8	1129.6	854.4	1465.6	844.8
80	0	0	928	864	1040	1168	1308.8	1260.8	1043.2	876.8
81	0	0	1072	499.2	867.2	1171.2	822.4	1283.2	1251.2	1222.4
82	0	0	1020.8	966.4	675.2	924.8	1411.2	1129.6	1344	1081.6
83	0	0	1427.2	889.6	1014.4	1184	752	608	950.4	1398.4
84	0	0	1152	854.4	787.2	1097.6	1088	1078.4	828.8	1436.8
85	0	0	1241.6	624	1001.6	1158.4	1113.6	1056	998.4	1334.4
86	0	0	1004.8	835.2	1024	1424	995.2	841.6	1014.4	761.6
87	0	0	601.6	944	1142.4	896	1203.2	1148.8	1196.8	889.6
88	0	0	982.4	835.2	1209.6	1100.8	835.2	1273.6	857.6	944
89	0	0	681.6	1161.6	1328	1289.6	1059.2	652.8	1036.8	899.2
90	0	0	1084.8	998.4	1104	928	870.4	800	1315.2	1126.4
avg	0	0	1036.27	1003.31	1069.76	1090.24	1015.25	1008.21	1113.92	1014.93
delay	0.25	0.256098	482.807	476.195	483.675	488.122	484.885	482.305	484.027	487.926
loss	0	0	0.135766	0.308931	0.119469	0.114943	0.107914	0.135348	0.111864	0.116057
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=25e6', '--ratio=0.375', '--RngRun=31', '--locationFile=locationtxt/locationFile24.txt', '--routingFile=locationtxt/routingFile24.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
