Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.770s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10
60	13.8	15.6	14.6	16	15	13.8	12.2	16.4	15.6	17
61	0	0	1120	1065.6	828.8	1008	1443.2	1196.8	1152	1411.2
62	0	0	1075.2	819.2	982.4	931.2	1036.8	899.2	867.2	796.8
63	0	0	691.2	768	876.8	857.6	1132.8	1059.2	1040	748.8
64	0	0	588.8	918.4	857.6	873.6	880	828.8	700.8	691.2
65	0	0	486.4	816	1033.6	777.6	985.6	851.2	886.4	678.4
66	0	0	716.8	870.4	892.8	630.4	956.8	1052.8	1212.8	739.2
67	0	0	816	864	860.8	876.8	822.4	1040	1030.4	995.2
68	0	0	886.4	870.4	1027.2	876.8	755.2	963.2	1001.6	665.6
69	0	0	819.2	921.6	982.4	953.6	924.8	950.4	953.6	694.4
70	0	0	614.4	761.6	870.4	880	828.8	1088	828.8	656
71	0	0	592	835.2	982.4	1200	713.6	668.8	1072	704
72	0	0	438.4	905.6	774.4	857.6	681.6	854.4	1030.4	569.6
73	0	0	736	1020.8	1161.6	1385.6	800	710.4	675.2	556.8
74	0	0	502.4	956.8	896	1081.6	809.6	812.8	1033.6	854.4
75	0	0	848	752	908.8	793.6	723.2	1040	995.2	444.8
76	0	0	752	857.6	940.8	844.8	854.4	1100.8	963.2	790.4
77	0	0	707.2	908.8	896	1008	742.4	972.8	870.4	672
78	0	0	806.4	1030.4	876.8	985.6	886.4	1033.6	883.2	470.4
79	0	0	576	956.8	905.6	796.8	969.6	1027.2	828.8	668.8
80	0	0	697.6	828.8	707.2	912	953.6	953.6	841.6	681.6
81	0	0	675.2	710.4	1328	678.4	700.8	1017.6	793.6	694.4
82	0	0	486.4	899.2	889.6	963.2	704	950.4	1001.6	713.6
83	0	0	729.6	963.2	998.4	1113.6	940.8	665.6	963.2	697.6
84	0	0	553.6	697.6	998.4	1244.8	905.6	662.4	947.2	790.4
85	0	0	556.8	931.2	912	800	963.2	899.2	937.6	656
86	0	0	764.8	960	953.6	870.4	1088	1104	828.8	713.6
87	0	0	688	1107.2	668.8	742.4	873.6	1052.8	771.2	931.2
88	0	0	560	816	825.6	988.8	953.6	806.4	902.4	668.8
89	0	0	720	1056	889.6	585.6	915.2	972.8	921.6	739.2
90	0	0	457.6	969.6	963.2	988.8	979.2	851.2	1024	729.6
avg	0	0	688.747	894.613	922.987	916.907	897.493	936.213	931.947	727.467
delay	0.246377	0.269231	553.311	503.992	548.444	548.097	505.36	549.91	542.748	540.285
loss	0	0	0.395911	0.136033	0.684828	0.655844	0.157388	0.396313	0.398058	0.659486
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=35e6', '--ratio=0.375', '--RngRun=13', '--locationFile=locationtxt/locationFile24.txt', '--routingFile=locationtxt/routingFile24.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
