Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.748s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10
60	15.4	16.6	16.8	15.2	13.6	14.4	14.2	15.8	14	13.2
61	0	0	515.2	723.2	803.2	1014.4	774.4	832	601.6	672
62	0	0	803.2	889.6	966.4	1043.2	1081.6	995.2	752	1004.8
63	0	0	1382.4	1036.8	1113.6	1196.8	1011.2	768	1020.8	1228.8
64	0	0	1056	1049.6	867.2	809.6	1107.2	854.4	979.2	905.6
65	0	0	662.4	1136	905.6	940.8	988.8	1043.2	736	960
66	0	0	841.6	886.4	1091.2	995.2	1004.8	793.6	1011.2	1120
67	0	0	700.8	998.4	1081.6	1097.6	992	1052.8	1235.2	918.4
68	0	0	1113.6	1094.4	1033.6	924.8	976	1084.8	947.2	713.6
69	0	0	838.4	748.8	960	678.4	892.8	620.8	947.2	880
70	0	0	956.8	1030.4	1241.6	937.6	854.4	960	726.4	905.6
71	0	0	870.4	809.6	1049.6	896	684.8	966.4	1126.4	572.8
72	0	0	633.6	969.6	934.4	892.8	828.8	649.6	873.6	1001.6
73	0	0	841.6	921.6	1052.8	1036.8	832	716.8	1068.8	976
74	0	0	908.8	787.2	1059.2	960	1152	940.8	566.4	806.4
75	0	0	691.2	1040	1104	742.4	1190.4	947.2	1011.2	819.2
76	0	0	886.4	876.8	908.8	1292.8	1155.2	1001.6	848	1049.6
77	0	0	764.8	1104	1145.6	979.2	1059.2	777.6	896	1068.8
78	0	0	1091.2	934.4	908.8	771.2	912	921.6	934.4	1283.2
79	0	0	816	940.8	1059.2	1004.8	979.2	1152	896	745.6
80	0	0	889.6	1027.2	870.4	1180.8	816	979.2	1043.2	1206.4
81	0	0	1187.2	636.8	828.8	774.4	960	860.8	921.6	1212.8
82	0	0	918.4	1203.2	937.6	1088	937.6	972.8	912	1024
83	0	0	1238.4	889.6	1155.2	880	1216	524.8	969.6	1136
84	0	0	784	924.8	880	1075.2	796.8	1088	867.2	851.2
85	0	0	1040	1088	819.2	1030.4	1097.6	662.4	860.8	796.8
86	0	0	665.6	960	896	1020.8	569.6	976	1059.2	966.4
87	0	0	944	736	1209.6	819.2	1017.6	1104	979.2	928
88	0	0	771.2	899.2	956.8	934.4	937.6	1174.4	969.6	819.2
89	0	0	844.8	611.2	876.8	918.4	1046.4	876.8	1072	1030.4
90	0	0	976	809.6	1049.6	1283.2	921.6	800	940.8	928
avg	0	0	887.787	925.44	992.213	973.973	959.787	903.253	925.76	951.04
delay	0.25974	0.301205	5.50367	4.87905	5.94681	6.12384	4.97876	5.29	7.3559	5.55351
loss	0	0	0	0	0	0	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=15e6', '--ratio=0.375', '--RngRun=20', '--locationFile=locationtxt/locationFile24.txt', '--routingFile=locationtxt/routingFile24.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
