Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.341s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	15.8	15.6	14.2	16.8
61	1096	0	736	0
62	2184	2336	3752	1264
63	1976	1544	2872	0
64	32	1168	2168	1880
65	992	968	0	3552
66	3328	3320	1368	2512
67	872	2072	2776	1168
68	3496	2600	624	0
69	3200	624	1784	3592
70	1488	3256	3928	840
71	2104	2400	2200	896
72	1536	72	0	960
73	2376	3248	1888	3008
74	4272	616	1328	4264
75	3840	2520	2384	952
76	1352	2704	0	3344
77	1464	3920	2032	264
78	2816	3024	1408	3272
79	2752	2024	3032	2472
80	1376	3616	3880	1488
81	0	2584	304	1864
82	1112	352	1016	224
83	0	2200	1224	24
84	3104	2520	2640	64
85	3688	0	2824	2512
86	1456	2408	2216	3336
87	592	3720	4120	2088
88	1376	1256	3480	2288
89	0	208	1432	488
90	592	3792	1048	1624
91	672	1400	3104	3928
92	3456	1096	2624	3312
93	2096	3224	2912	2280
94	3408	1600	352	144
95	1576	1392	3600	3496
96	448	4328	2992	288
97	3392	192	2424	176
98	4000	1904	1768	1184
99	176	664	0	0
100	0	3536	3504	3272
101	3296	896	2704	3616
102	2792	1216	4544	312
103	0	1112	3744	3640
104	1272	3512	2216	3520
105	4432	3672	0	1176
106	1168	424	3760	4016
107	3496	968	3504	2560
108	3432	1648	3360	0
109	4000	248	0	1688
110	3352	2464	2408	1208
111	2008	2040	2960	3352
112	1864	0	3152	1584
113	0	1408	168	3584
114	3048	2960	1208	1584
115	4000	0	2640	1104
116	2432	1368	2752	280
117	1000	408	3872	3392
118	2112	1424	616	800
119	760	1776	3024	0
120	3096	4000	0	1704
avg	2020.93	1865.87	2139.6	1790.67
delay	60.9921	62.6057	55.5706	62.6982
loss	0.000131935	0.000571347	0.000436028	0.000297752
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--rtscts=1', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs2', '--datarate=4e6', '--RngRun=40'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
