Waf: Entering directory `/home/synrg/Documents/Jiaming/ns-3.30/build'
Waf: Leaving directory `/home/synrg/Documents/Jiaming/ns-3.30/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.638s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	15.8	16.2	15.6	14	14	15.4	14.8	12.8	14.8	13	15.4	16.8	14.8	12.4	17	11.4	14.4	16.6	15.8	14.8
61	96	96	96	96	88	80	72	72	88	88	80	80	96	72	72	72	88	80	72	80
62	96	96	96	96	80	40	64	64	64	72	64	64	64	80	72	72	64	72	64	72
63	104	104	104	104	88	96	56	64	88	64	64	56	72	88	72	80	88	80	56	64
64	96	96	96	96	96	80	72	64	72	72	64	72	0	88	80	88	88	72	56	64
65	104	104	104	104	88	40	64	64	80	88	80	88	200	88	80	88	104	96	88	88
66	96	96	96	96	88	80	24	32	80	80	56	64	96	56	48	48	88	64	40	32
67	104	104	104	104	88	16	72	72	80	88	80	80	88	72	56	64	88	96	88	88
68	96	96	96	96	96	112	64	56	72	48	40	48	88	80	64	72	72	88	72	72
69	104	104	104	104	96	88	64	72	104	72	48	56	96	80	56	56	80	88	64	72
70	96	96	96	96	96	64	64	48	88	40	32	48	80	96	72	72	80	56	40	56
71	104	104	104	104	96	40	80	80	96	88	88	96	96	80	72	72	80	64	64	80
72	96	96	96	96	88	64	48	40	96	56	48	72	96	80	56	56	72	64	48	56
73	104	104	104	104	104	88	64	64	72	72	72	72	96	80	48	56	96	88	56	64
74	96	96	96	96	80	56	48	48	64	64	64	64	80	64	40	40	64	80	48	56
75	104	104	104	104	96	8	64	48	40	88	72	72	104	80	56	64	88	72	48	56
76	96	96	96	96	88	0	48	56	96	80	72	72	80	72	72	80	72	80	64	72
77	104	104	104	104	104	184	64	56	0	56	56	64	88	72	56	72	96	80	40	48
78	96	96	96	96	96	104	80	88	208	80	80	80	72	80	80	80	96	96	88	88
79	104	104	104	104	104	16	72	64	88	72	64	80	88	88	72	72	80	80	64	56
80	96	96	96	96	88	120	40	32	64	40	40	56	80	48	24	32	72	72	40	40
81	104	104	104	104	104	56	72	80	88	80	80	80	96	80	80	80	72	72	56	64
82	96	96	96	96	96	80	64	48	0	48	40	56	80	72	40	64	80	64	32	40
83	104	104	104	104	104	80	56	56	192	72	72	88	88	88	72	88	96	80	64	72
84	96	96	96	96	80	64	56	56	64	80	64	72	80	88	72	80	80	72	56	64
85	104	104	104	104	96	0	88	72	96	80	72	80	80	96	72	72	88	80	72	80
86	96	96	96	96	96	96	72	64	96	48	64	72	88	72	56	64	72	80	56	64
87	104	104	104	104	104	64	96	80	88	88	72	80	96	96	72	88	104	96	88	88
88	96	96	96	96	80	0	80	72	64	72	64	64	80	72	64	64	88	88	80	80
89	104	104	104	104	104	208	80	96	88	104	88	88	96	88	80	80	96	80	72	80
90	96	96	88	96	96	56	56	56	88	56	48	48	96	72	64	64	96	64	32	56
91	104	104	104	104	96	96	80	80	96	96	80	80	96	88	88	88	104	80	80	96
92	96	96	96	96	80	56	64	56	64	72	56	72	80	56	48	56	72	64	40	40
93	104	104	104	104	96	56	72	72	0	80	72	72	88	80	64	64	72	64	56	72
94	96	96	96	96	88	48	56	48	0	88	64	64	72	72	56	64	48	72	56	64
95	104	104	104	104	104	56	64	64	0	80	72	80	96	72	72	96	88	80	72	72
96	96	96	88	96	96	88	72	64	0	64	56	64	64	96	72	72	88	72	56	56
97	104	104	104	104	88	72	40	48	0	64	56	64	88	80	48	56	72	48	48	64
98	96	96	96	96	88	72	80	72	0	0	0	0	88	64	56	64	88	72	56	64
99	104	104	104	104	96	64	64	56	0	0	0	0	96	80	56	72	88	88	64	72
100	96	96	96	96	88	16	48	40	0	0	0	0	88	80	56	56	88	48	32	32
101	104	104	104	104	104	0	104	104	0	0	0	0	80	88	88	88	88	88	88	88
102	96	96	96	96	80	0	80	72	0	0	0	0	80	96	88	88	96	96	88	88
103	104	104	104	104	104	0	104	96	0	0	0	0	104	104	96	96	96	96	88	88
104	96	96	96	96	96	344	88	80	0	0	0	0	48	80	72	80	88	80	64	72
105	104	104	104	104	88	88	72	72	0	0	0	0	120	88	80	88	88	96	80	80
106	96	96	96	96	72	40	40	40	0	0	0	0	88	72	56	64	80	96	64	64
107	104	104	104	104	104	0	104	96	0	0	0	0	88	88	80	80	104	96	88	88
108	96	96	96	96	88	0	88	88	0	0	0	0	88	96	96	96	96	96	96	96
109	104	104	104	104	96	0	80	80	0	0	0	0	96	96	88	88	96	96	96	104
110	96	96	96	96	88	0	80	72	0	0	0	0	96	80	72	72	88	64	64	80
111	104	104	104	104	88	416	72	72	0	0	0	0	104	72	64	64	72	64	72	88
112	96	96	96	96	96	96	88	88	0	0	0	0	88	88	88	88	80	72	80	80
