Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.761s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	14.4	13.4	15.6	14	14.2	15.4	18	15.4	17.4	15.6	11.4	15	15.6	14.4	16.2	17.8	15	15	13.8	12.8
61	0	0	0	0	0	216	80	32	0	96	56	120	0	280	72	160	0	0	96	96
62	0	0	0	0	0	256	56	184	232	160	232	192	16	296	288	256	96	24	32	280
63	0	0	0	0	0	0	304	280	216	136	64	72	392	176	352	128	88	32	168	120
64	0	0	0	0	0	168	48	0	128	152	200	16	304	160	352	328	192	368	0	240
65	0	0	0	0	0	32	264	88	232	88	336	136	112	280	0	168	400	248	360	208
66	0	0	0	0	0	128	104	208	256	368	0	192	112	0	64	344	96	112	0	72
67	0	0	0	0	0	48	0	160	0	56	224	232	208	112	0	136	304	160	184	280
68	0	0	0	0	0	32	240	208	176	328	232	88	352	368	104	96	312	360	304	344
69	0	0	0	0	0	104	176	240	32	0	336	184	320	48	352	360	408	152	328	0
70	0	0	0	0	0	136	112	40	0	184	112	136	208	280	120	56	232	280	168	120
71	0	0	0	0	0	104	120	0	32	88	144	288	56	304	0	64	376	16	64	192
72	0	0	0	0	0	152	184	80	216	80	0	288	8	192	120	136	272	16	0	32
73	0	0	0	0	0	272	200	216	240	256	336	184	168	0	88	128	176	304	256	0
74	0	0	0	0	0	232	160	16	80	160	56	144	176	128	288	48	88	216	144	48
75	0	8	0	0	0	0	168	88	344	376	112	144	280	64	416	80	64	240	184	224
76	0	0	0	0	0	192	264	304	304	232	24	320	312	80	24	144	304	128	0	312
77	0	0	8	0	0	64	80	296	8	336	168	200	40	312	96	288	136	352	200	328
78	0	0	0	0	8	88	0	144	408	40	8	88	392	48	304	32	32	184	272	184
79	0	0	0	0	0	312	168	176	48	96	344	80	80	256	296	0	272	272	0	160
80	0	0	0	8	0	96	208	152	0	32	216	256	0	56	232	256	312	264	88	376
81	0	0	0	0	0	0	0	0	152	184	256	160	168	24	384	304	304	184	0	192
82	8	0	0	0	0	208	8	192	0	64	200	248	32	80	176	96	104	136	80	128
83	0	0	0	0	0	0	136	96	160	0	24	8	56	272	152	280	232	136	176	0
84	0	0	0	0	0	536	160	16	256	144	384	88	304	296	280	224	184	48	0	72
85	0	0	0	0	0	80	40	80	320	56	120	0	376	16	168	0	72	96	48	240
86	0	0	0	0	0	0	0	0	184	160	176	208	0	0	192	88	64	128	160	0
87	0	0	0	0	0	184	424	96	104	96	368	120	280	40	216	264	184	256	456	144
88	0	0	0	0	0	48	256	0	312	144	280	40	232	0	280	248	224	208	0	136
89	0	0	0	0	0	232	224	288	24	216	0	320	104	144	256	136	64	312	192	232
90	0	0	0	0	0	272	176	216	104	232	48	320	232	0	208	8	376	144	336	240
91	0	0	0	0	0	136	0	136	312	136	392	80	152	320	0	208	216	272	72	0
92	8	0	0	0	0	104	152	208	0	168	232	296	360	56	344	96	0	296	192	72
93	0	0	0	0	0	232	80	112	216	224	216	152	40	176	24	136	224	0	160	336
94	0	8	0	8	0	160	224	128	272	8	320	48	56	320	216	136	256	248	312	120
95	0	0	0	0	8	32	80	248	0	296	304	320	120	152	280	192	0	176	16	24
96	0	0	0	0	0	384	48	16	80	192	176	280	152	112	96	72	8	360	104	0
97	0	0	0	0	0	144	184	40	360	112	264	104	272	128	296	272	200	96	0	376
98	0	0	0	0	0	112	144	0	200	72	128	232	8	208	152	0	88	136	568	384
99	0	0	8	0	0	136	112	120	184	104	16	280	0	344	232	400	24	0	192	8
100	0	0	0	0	0	32	24	368	384	280	56	136	0	112	120	272	264	224	144	96
101	0	0	0	0	0	64	0	0	360	24	216	0	888	384	0	192	80	168	48	120
102	0	0	0	0	0	8	168	304	136	144	152	8	0	120	280	360	216	128	224	64
103	0	0	0	0	0	144	216	40	176	256	152	0	184	0	64	160	216	384	376	328
104	0	0	0	0	0	0	192	280	112	184	56	0	80	504	304	24	224	208	40	0
105	0	0	0	0	0	296	280	0	96	264	320	472	8	8	224	136	144	176	120	328
106	0	0	0	0	0	200	200	128	360	216	216	0	24	0	184	0	144	248	360	168
107	0	8	0	0	0	320	232	0	304	128	0	240	144	0	280	128	312	288	328	152
108	0	0	0	0	0	264	112	48	184	360	216	208	280	136	320	32	208	256	32	144
109	0	0	0	0	0	0	352	216	0	384	120	32	0	128	112	256	264	48	96	272
110	0	0	0	0	0	208	208	0	160	272	224	160	96	328	104	0	0	120	224	48
111	0	0	0	0	0	112	72	488	0	216	368	240	184	312	344	376	24	0	96	184
112	0	0	0	0	8	272	104	80	224	104	176	328	120	240	120	296	40	24	152	240
113	8	0	0	0	0	136	320	56	56	256	40	8	0	224	168	72	96	192	200	272
114	0	0	8	0	0	168	176	72	288	312	72	224	0	16	160	272	424	264	192	112
115	0	0	0	0	0	296	0	328	248	232	304	32	136	328	0	136	328	224	192	64
116	0	0	0	0	0	64	184	8	56	0	40	0	0	192	0	0	72	64	0	32
