Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.716s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14
60	17.2	16.2	13.8	17.6	16.8	11.8	14	16.8	14.4	16.8	15.4	14.2	14.8	14.8
61	0	0	0	0	0	0	454.4	803.2	1059.2	435.2	313.6	508.8	518.4	566.4
62	0	0	0	0	0	0	438.4	246.4	201.6	422.4	784	259.2	710.4	649.6
63	0	0	0	0	0	0	464	428.8	710.4	563.2	425.6	252.8	457.6	428.8
64	0	0	0	0	0	0	438.4	460.8	348.8	428.8	441.6	278.4	512	652.8
65	0	0	0	0	0	0	441.6	409.6	416	595.2	435.2	304	467.2	560
66	0	0	0	0	0	0	448	361.6	313.6	323.2	694.4	441.6	448	304
67	0	0	0	0	0	0	489.6	358.4	451.2	371.2	339.2	406.4	620.8	457.6
68	0	0	0	0	0	0	332.8	505.6	505.6	294.4	320	566.4	243.2	457.6
69	0	0	0	0	0	0	614.4	521.6	380.8	320	428.8	121.6	528	534.4
70	0	0	0	0	0	0	233.6	230.4	700.8	745.6	390.4	387.2	422.4	435.2
71	0	0	0	0	0	0	483.2	425.6	371.2	272	332.8	304	595.2	275.2
72	0	0	0	0	0	0	662.4	432	246.4	451.2	412.8	380.8	428.8	416
73	0	0	0	0	0	0	556.8	185.6	371.2	444.8	313.6	374.4	649.6	723.2
74	0	0	0	0	0	0	345.6	224	409.6	358.4	521.6	454.4	390.4	377.6
75	0	0	0	0	0	0	713.6	448	460.8	640	275.2	371.2	528	435.2
76	0	0	0	0	0	0	662.4	560	358.4	320	432	380.8	627.2	345.6
77	0	0	0	0	0	0	470.4	473.6	390.4	483.2	457.6	297.6	608	464
78	0	0	0	0	0	0	486.4	467.2	163.2	307.2	483.2	496	332.8	428.8
79	0	0	0	0	0	0	489.6	451.2	403.2	256	326.4	422.4	499.2	422.4
80	0	0	0	0	0	0	604.8	384	448	332.8	336	528	326.4	361.6
81	0	0	0	0	0	0	470.4	310.4	521.6	406.4	569.6	256	387.2	508.8
82	0	0	0	0	0	0	329.6	304	371.2	643.2	483.2	345.6	345.6	444.8
83	0	0	0	0	0	0	406.4	352	464	444.8	544	579.2	412.8	316.8
84	0	0	0	0	0	0	528	227.2	384	620.8	521.6	320	377.6	291.2
85	0	0	0	0	0	0	182.4	332.8	297.6	259.2	473.6	592	707.2	425.6
86	0	0	0	0	0	0	672	790.4	464	604.8	342.4	240	304	537.6
87	0	0	0	0	0	0	556.8	585.6	521.6	681.6	220.8	188.8	118.4	438.4
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=25e6', '--ratio=0.375', '--RngRun=49', '--locationFile=locationtxt/locationFile222.txt', '--routingFile=locationtxt/routingFile222.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
