Dst	Src	HeMcs	Txlevel	Num	isObss
16 	  15	  4	  9	  741	  0
15 	  16	  4	  9	  1449	  0
4 	  3	  4	  9	  635	  0
3 	  4	  4	  9	  1031	  0
15 	  14	  4	  9	  786	  0
14 	  15	  4	  9	  1085	  0
12 	  11	  4	  9	  571	  0
11 	  12	  4	  9	  939	  0
8 	  7	  4	  9	  589	  0
7 	  8	  4	  9	  1009	  0
3 	  2	  4	  9	  700	  0
2 	  3	  4	  9	  917	  0
14 	  13	  4	  9	  955	  0
13 	  14	  4	  9	  995	  0
7 	  6	  4	  9	  620	  0
6 	  7	  4	  9	  814	  0
2 	  1	  4	  9	  774	  0
1 	  2	  4	  9	  814	  0
11 	  10	  4	  9	  671	  0
10 	  11	  4	  9	  868	  0
10 	  9	  4	  9	  782	  0
9 	  10	  4	  9	  754	  0
6 	  5	  4	  9	  756	  0
5 	  6	  4	  9	  720	  0
3 	  4	  4	  10	  9	  1
2 	  3	  4	  10	  1	  1
10 	  11	  4	  10	  4	  1
11 	  10	  4	  10	  1	  1
1 	  2	  4	  10	  5	  1
9 	  10	  3	  8	  4	  1

 TotalTx Number= 20000

 TotalReset Number= 3563
