Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.735s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	12.4	13.6	13.4	16
61	1392	960	984	1328
62	560	288	3312	2680
63	336	0	48	2760
64	3864	1688	4008	0
65	888	0	936	2416
66	0	1840	2312	3992
67	2560	2840	1064	1280
68	4000	1672	784	3224
69	1368	120	2568	2888
70	2376	3288	1408	1608
71	3144	4008	2544	1008
72	0	2808	2056	0
73	2944	2112	944	2680
74	800	3856	680	3384
75	1376	720	1504	1992
76	2464	272	2432	640
77	232	344	2952	1808
78	2160	3992	2536	576
79	4000	1048	320	3336
80	1336	0	1544	3912
81	4000	2832	1400	456
82	2032	2656	752	960
83	1344	3264	0	0
84	2848	3744	80	288
85	3856	2272	0	568
86	1848	1128	208	2592
87	4008	1992	1128	4000
88	104	2472	1400	2680
89	3128	2848	2704	4000
90	2952	760	2224	3320
91	4000	272	3232	3072
92	928	40	928	1464
93	2248	4000	2560	320
94	2152	1032	3160	648
95	3048	2248	0	224
96	1816	1320	728	3984
97	304	3712	2288	4000
98	2960	3080	1816	3640
99	2288	1952	0	2656
100	2176	4000	2496	3496
101	3112	48	1616	3032
102	2968	1944	3544	2328
103	752	2232	0	3920
104	1032	0	912	1112
105	3448	1600	936	568
106	4008	4008	712	3120
107	3064	3304	3616	0
108	1480	3200	3624	216
109	4000	3496	3288	544
110	2000	3424	1352	2136
111	1400	912	0	952
112	3120	0	3536	472
113	0	1784	2792	0
114	1728	656	0	2512
115	912	2640	496	2344
116	3992	1248	2400	416
117	968	4008	520	2384
118	1656	2112	3480	264
119	2120	184	2224	1248
120	496	912	0	0
avg	2101.6	1919.87	1618.13	1857.47
delay	1.69268	1.65414	1.68029	1.65422
loss	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs5', '--datarate=4e6', '--RngRun=9'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
