Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.760s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14
60	16.4	16.6	16.8	14	13.2	13.2	13	12.2	14.8	12	14.8	12.2	19	16
61	0	0	0	0	0	0	784	912	576	710.4	806.4	691.2	713.6	643.2
62	0	0	0	0	0	0	649.6	275.2	761.6	880	800	729.6	326.4	716.8
63	0	0	0	0	0	0	752	729.6	572.8	544	403.2	652.8	550.4	608
64	0	0	0	0	0	0	768	505.6	428.8	534.4	540.8	345.6	771.2	524.8
65	0	0	0	0	0	0	678.4	390.4	550.4	595.2	630.4	860.8	380.8	620.8
66	0	0	0	0	0	0	704	912	358.4	528	508.8	457.6	764.8	419.2
67	0	0	0	0	0	0	528	416	630.4	473.6	483.2	995.2	771.2	627.2
68	0	0	0	0	0	0	592	470.4	617.6	636.8	476.8	700.8	553.6	732.8
69	0	0	0	0	0	0	876.8	438.4	736	688	425.6	592	489.6	364.8
70	0	0	0	0	0	0	390.4	585.6	499.2	508.8	803.2	822.4	771.2	732.8
71	0	0	0	0	0	0	473.6	553.6	560	371.2	646.4	582.4	1004.8	672
72	0	0	0	0	0	0	601.6	611.2	476.8	422.4	208	956.8	515.2	473.6
73	0	0	0	0	0	0	579.2	476.8	796.8	550.4	886.4	249.6	592	646.4
74	0	0	0	0	0	0	281.6	684.8	630.4	1072	416	620.8	678.4	544
75	0	0	0	0	0	0	412.8	441.6	534.4	419.2	707.2	675.2	604.8	742.4
76	0	0	0	0	0	0	588.8	851.2	672	422.4	636.8	377.6	800	598.4
77	0	0	0	0	0	0	790.4	835.2	460.8	611.2	588.8	505.6	540.8	515.2
78	0	0	0	0	0	0	720	457.6	444.8	636.8	768	576	636.8	633.6
79	0	0	0	0	0	0	531.2	630.4	771.2	483.2	550.4	726.4	675.2	323.2
80	0	0	0	0	0	0	425.6	528	835.2	611.2	553.6	572.8	710.4	758.4
81	0	0	0	0	0	0	537.6	777.6	764.8	710.4	550.4	224	652.8	572.8
82	0	0	0	0	0	0	464	470.4	649.6	588.8	422.4	787.2	822.4	550.4
83	0	0	0	0	0	0	713.6	582.4	531.2	473.6	656	601.6	643.2	652.8
84	0	0	0	0	0	0	387.2	396.8	630.4	656	489.6	832	732.8	588.8
85	0	0	0	0	0	0	585.6	604.8	492.8	707.2	595.2	684.8	627.2	537.6
86	0	0	0	0	0	0	480	838.4	512	729.6	579.2	697.6	467.2	464
87	0	0	0	0	0	0	422.4	704	672	697.6	777.6	489.6	633.6	544
88	0	0	0	0	0	0	723.2	576	441.6	752	678.4	688	547.2	604.8
89	0	0	0	0	0	0	460.8	387.2	646.4	515.2	576	697.6	832	652.8
90	0	0	0	0	0	0	934.4	422.4	518.4	627.2	720	364.8	444.8	755.2
avg	0	0	0	0	0	0	594.56	582.187	592.427	605.227	596.16	625.28	641.813	594.027
delay	0.256098	0.277108	0.714286	0.871429	0.712121	0.924242	500.689	492.483	505.981	496.252	499.082	496.876	503.012	500.953
loss	0	0	0	0	0	0	0.318489	0.277683	0.316474	0.317073	0.634796	0.653846	0.610942	0.305638
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=25e6', '--ratio=0.375', '--RngRun=33', '--locationFile=locationtxt/locationFile222.txt', '--routingFile=locationtxt/routingFile222.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
