Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.727s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	14.8	14.2
61	1215.84	1513.6
62	984.96	1083.2
63	1529.12	1355.52
64	1330.56	1205.76
65	1309.92	1088.48
66	1390.24	1384.16
67	1046.72	1398.88
68	1268	1109.92
69	1033.6	1488
70	1428.64	1375.2
71	916.96	1550.08
72	1326.72	1459.84
73	1348	1209.76
74	847.84	1095.84
75	1677.92	1130.4
76	1565.28	1080.64
77	1250.4	1097.12
78	1286.24	1452.48
79	1082.24	889.12
80	1076.32	963.04
81	1195.52	1153.76
82	997.28	1092.16
83	1305.28	1319.52
84	1463.68	1071.36
85	1697.12	1354.4
86	1288	1048.96
87	1263.04	1617.28
88	1076.32	1555.84
89	847.2	1323.84
90	1228.96	1403.36
91	1242.88	1426.56
92	1160.64	1224.8
93	1131.84	1097.76
94	1829.28	984.32
95	1398.56	1437.76
96	1130.88	1386.24
97	1473.6	1286.72
98	1543.04	1169.12
99	1580.96	1350.08
100	1155.68	1020.64
101	1603.36	1187.04
102	1141.12	1212.64
103	998.24	1060.16
104	997.28	1346.4
105	940.48	1443.52
106	1111.68	1455.84
107	1621.44	1071.68
108	1191.52	1505.12
109	1451.68	931.52
110	1152.64	1181.76
111	1386.56	906.4
112	1177.92	1348.8
113	1072.48	1346.72
114	1301.28	1123.04
115	1244	1400.8
116	984	800.8
117	1319.52	1138.08
118	1104	1144.96
119	1540	1535.36
120	1427.2	1008.64
(1,0)	(2,15963)	(3,0)	(4,6632)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	1261.53	1240.08
delay	0.728481	0.761861
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=25e5', '--packetSize=2e2', '--tcp=0', '--RngRun=16'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
