Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.664s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	14.2	14.6
61	1264.64	1346.72
62	1439.36	1485.76
63	1466.24	1516.96
64	1815.52	1817.6
65	1416.32	1531.52
66	1559.52	1693.28
67	1414.72	996
68	1676.96	1745.92
69	1581.44	1210.24
70	1399.36	1576.96
71	1705.76	1537.44
72	1742.88	1952
73	1135.36	1436.8
74	1726.88	1681.76
75	1932.32	1407.2
76	1692.64	1188.48
77	1135.52	1660.32
78	1157.6	1157.6
79	1139.52	1554.56
80	1772.16	1578.72
81	1522.08	1620.48
82	1408.16	1740.96
83	1319.36	1298.56
84	1541.6	1339.36
85	1884	1476.8
86	1715.84	1326.88
87	1212	1512.16
88	1307.36	1528.16
89	2007.52	1415.04
90	1097.76	1771.84
91	1026.08	1436.48
92	1482.24	1589.28
93	1202.24	1842.08
94	1823.68	1676.16
95	1840	1279.68
96	1079.2	1252.32
97	1250.72	982.56
98	1670.4	1521.76
99	1565.44	1484
100	1572.48	1498.4
101	1240.96	1551.04
102	1360.96	1268.16
103	1234.56	1306.56
104	1493.28	1865.28
105	1548.64	1989.92
106	1465.12	1568.8
107	873.12	1645.12
108	1607.04	1752.96
109	1645.6	1307.68
110	1691.36	1388
111	1286.4	1393.28
112	1952.96	1443.36
113	1642.24	1877.6
114	1540.16	1159.84
115	1273.6	1407.52
116	1576.48	1858.08
117	1308	1599.52
118	1896.16	1604.8
119	2065.44	1559.04
120	1080.96	1789.76
(1,0)	(2,18142)	(3,0)	(4,19669)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	1491.43	1516.75
delay	2.05222	1.98135
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=30e5', '--packetSize=2e2', '--tcp=0', '--RngRun=46'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
