Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.664s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14
60	15.2	14.6	15.4	13.6	13.6	15	17.4	12	13.4	16.8	16.8	16.2	13.8	15.2
61	0	0	0	0	0	0	931.2	624	816	928	758.4	665.6	1027.2	889.6
62	0	0	0	0	0	0	1001.6	617.6	1014.4	595.2	553.6	816	601.6	956.8
63	0	0	0	0	0	0	470.4	1040	550.4	915.2	694.4	822.4	652.8	595.2
64	0	0	0	0	0	0	684.8	876.8	838.4	470.4	627.2	857.6	569.6	867.2
65	0	0	0	0	0	0	924.8	710.4	633.6	672	624	777.6	684.8	816
66	0	0	0	0	0	0	675.2	790.4	688	726.4	630.4	726.4	732.8	716.8
67	0	0	0	0	0	0	422.4	809.6	796.8	624	713.6	739.2	876.8	803.2
68	0	0	0	0	0	0	566.4	598.4	1072	620.8	752	1075.2	521.6	547.2
69	0	0	0	0	0	0	835.2	758.4	758.4	889.6	489.6	800	537.6	582.4
70	0	0	0	0	0	0	537.6	624	739.2	764.8	560	803.2	806.4	777.6
71	0	0	0	0	0	0	566.4	896	732.8	643.2	588.8	761.6	604.8	956.8
72	0	0	0	0	0	0	796.8	707.2	873.6	611.2	992	659.2	665.6	412.8
73	0	0	0	0	0	0	803.2	636.8	588.8	432	1014.4	569.6	982.4	828.8
74	0	0	0	0	0	0	489.6	902.4	960	633.6	947.2	470.4	864	556.8
75	0	0	0	0	0	0	620.8	835.2	780.8	857.6	547.2	924.8	694.4	678.4
76	0	0	0	0	0	0	963.2	643.2	748.8	697.6	380.8	550.4	745.6	588.8
77	0	0	0	0	0	0	553.6	633.6	985.6	691.2	464	809.6	857.6	780.8
78	0	0	0	0	0	0	774.4	460.8	1065.6	899.2	649.6	524.8	691.2	534.4
79	0	0	0	0	0	0	604.8	617.6	620.8	1113.6	892.8	483.2	803.2	566.4
80	0	0	0	0	0	0	755.2	784	883.2	761.6	726.4	409.6	688	665.6
81	0	0	0	0	0	0	547.2	608	435.2	892.8	883.2	403.2	867.2	780.8
82	0	0	0	0	0	0	611.2	912	940.8	550.4	777.6	665.6	790.4	352
83	0	0	0	0	0	0	630.4	1129.6	745.6	758.4	704	499.2	819.2	742.4
84	0	0	0	0	0	0	985.6	636.8	838.4	668.8	668.8	707.2	502.4	464
85	0	0	0	0	0	0	809.6	403.2	640	604.8	908.8	608	1126.4	681.6
86	0	0	0	0	0	0	588.8	726.4	729.6	921.6	630.4	742.4	556.8	784
87	0	0	0	0	0	0	880	684.8	700.8	537.6	684.8	700.8	752	649.6
88	0	0	0	0	0	0	809.6	841.6	713.6	704	524.8	1011.2	652.8	662.4
89	0	0	0	0	0	0	633.6	787.2	342.4	704	716.8	659.2	572.8	976
90	0	0	0	0	0	0	630.4	531.2	697.6	627.2	870.4	675.2	857.6	620.8
avg	0	0	0	0	0	0	703.467	727.573	764.373	717.227	699.2	697.28	736.853	694.507
delay	0.236842	0.246575	0.701299	0.705882	0.735294	0.72	505.089	509.755	497.929	502.958	507.523	502.025	495.025	497.732
loss	0	0	0	0	0	0	0.280193	0.520301	0.522727	0.238474	0.267405	0.288462	0.277868	0.309554
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs5', '--datarate=25e6', '--ratio=0.375', '--RngRun=46', '--locationFile=locationtxt/locationFile222.txt', '--routingFile=locationtxt/routingFile222.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
