96	468	0	1
189	219	0	1
342	117	0	1
204	114	0	1
327	264	0	1
324	330	0	1
312	246	0	1
360	12	0	1
258	24	0	1
60	399	0	1
189	84	0	1
114	330	0	1
174	453	0	1
195	585	0	1
9	441	0	1
234	234	0	1
438	42	0	1
210	510	0	1
66	534	0	1
21	600	0	1
489	105	0	1
264	126	0	1
30	165	0	1
51	579	0	1
60	198	0	1
90	360	0	1
-1	68	55	-1	-1	-1	-1	-1	-1	69	-1	70	84	84	77	-1	-1	66	55	-1	-1	-1	85	61	-1	53
69	-1	-1	60	67	71	66	-1	-1	82	69	66	70	86	83	57	-1	53	52	-1	-1	55	80	-1	62	69
55	-1	-1	72	59	77	60	49	72	-1	83	-1	84	-1	-1	79	67	51	-1	-1	69	55	-1	-1	-1	-1
-1	57	72	-1	-1	73	80	68	76	-1	55	-1	-1	55	-1	80	-1	62	-1	-1	-1	55	-1	-1	78	-1
-1	67	62	-1	-1	66	49	72	84	-1	-1	73	-1	-1	-1	53	-1	59	58	-1	-1	67	-1	-1	67	-1
-1	70	81	78	65	-1	59	83	-1	-1	-1	-1	-1	-1	83	68	-1	-1	-1	-1	-1	68	78	-1	-1	-1
-1	65	61	80	47	60	-1	65	77	-1	-1	73	-1	-1	76	53	-1	-1	59	-1	85	60	-1	-1	72	-1
-1	-1	53	70	72	81	67	-1	56	-1	-1	-1	-1	-1	-1	-1	53	50	52	-1	84	70	-1	-1	-1	-1
-1	-1	74	77	77	-1	76	56	-1	-1	83	-1	-1	-1	-1	74	66	-1	-1	-1	-1	63	-1	-1	-1	-1
69	82	-1	-1	-1	-1	-1	-1	-1	-1	-1	74	82	50	51	-1	-1	82	72	-1	-1	-1	-1	77	77	56
-1	67	82	53	-1	-1	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	81	-1	-1	77	-1
70	65	-1	-1	72	-1	75	-1	-1	73	-1	-1	-1	-1	68	77	-1	-1	77	-1	-1	-1	-1	-1	80	47
81	70	84	-1	-1	-1	-1	-1	-1	80	-1	-1	-1	81	-1	-1	-1	72	82	-1	-1	-1	-1	-1	-1	79
80	86	-1	55	-1	-1	-1	-1	-1	50	-1	-1	79	-1	-1	-1	-1	52	81	-1	-1	-1	-1	86	-1	-1
74	83	-1	-1	-1	80	72	-1	-1	50	-1	65	-1	-1	-1	-1	-1	82	74	-1	-1	-1	-1	71	84	65
-1	53	83	81	53	67	53	-1	75	-1	-1	75	-1	-1	-1	-1	-1	-1	55	-1	-1	64	85	-1	66	77
-1	-1	71	-1	-1	-1	-1	54	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	-1
65	53	51	62	59	-1	-1	50	-1	82	52	-1	71	51	84	-1	-1	-1	53	-1	70	55	-1	80	62	-1
55	52	-1	-1	58	-1	59	52	-1	74	-1	77	83	84	77	55	-1	53	-1	-1	-1	-1	81	64	-1	64
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77	-1	-1
-1	-1	73	-1	-1	-1	85	82	-1	-1	-1	-1	-1	-1	-1	-1	74	70	-1	-1	-1	77	-1	-1	-1	-1
-1	55	60	58	66	71	61	71	65	-1	84	-1	-1	-1	-1	64	-1	55	-1	-1	79	-1	-1	-1	-1	-1
81	76	-1	-1	-1	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	81	-1	-1	81	-1	-1	-1	-1	-1	62	-1
61	-1	-1	-1	-1	-1	-1	-1	-1	78	-1	-1	-1	86	73	-1	-1	80	62	77	-1	-1	-1	-1	-1	66
-1	60	-1	80	65	-1	69	-1	-1	78	81	79	-1	-1	84	67	-1	62	-1	-1	-1	-1	63	-1	-1	-1
51	65	-1	-1	-1	-1	-1	-1	-1	56	-1	47	78	-1	65	77	-1	-1	60	-1	-1	-1	-1	64	-1	-1
