Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.736s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	15.6	16	12.8	14.8	17.2	12.8	15.2	14.2	17.6	16.2	13.6	15.8	17.6	15.8	15.2	11.6	15	12.8	12.6	14.6
61	0	0	0	0	0	72	0	200	184	16	0	136	0	64	72	0	40	0	328	0
62	0	0	0	0	0	120	216	232	72	0	56	168	328	192	0	288	0	40	312	0
63	0	0	0	0	0	0	96	248	312	0	328	280	248	40	240	144	144	304	240	200
64	0	0	0	0	0	232	56	176	192	40	248	120	56	64	280	216	104	256	312	72
65	0	0	0	0	0	248	168	120	80	144	40	48	32	120	48	0	112	0	192	224
66	0	0	0	0	0	80	328	8	0	256	240	0	0	336	48	368	88	0	0	0
67	0	0	0	0	0	64	224	216	256	240	96	224	264	0	296	56	152	120	216	120
68	0	0	0	0	0	152	64	0	232	56	296	248	40	112	224	120	16	72	304	280
69	0	0	0	0	0	24	72	56	0	192	8	240	248	296	144	344	168	168	104	0
70	0	0	0	0	0	120	40	168	192	0	168	152	192	0	0	184	144	192	352	16
71	0	0	0	0	0	40	0	184	160	152	0	0	0	64	248	216	0	104	232	0
72	0	0	0	0	0	184	88	136	168	248	304	64	224	0	56	120	128	440	352	8
73	0	0	0	0	0	48	168	96	280	352	304	224	120	272	32	152	80	192	144	128
74	0	8	0	8	0	0	240	152	128	152	272	320	200	80	104	200	8	248	248	72
75	0	0	8	0	0	120	80	72	72	160	0	224	192	56	240	120	296	192	240	0
76	0	0	0	0	0	152	72	216	280	216	136	288	152	48	192	80	88	0	192	224
77	0	0	0	0	0	0	40	216	8	240	360	168	128	128	208	48	168	112	160	296
