Dst	Src	HeMcs	Txlevel	Num	isObss
3 	  2	  4	  9	  9	  0
2 	  3	  4	  9	  13944	  0
2 	  1	  4	  9	  10	  0
1 	  2	  4	  9	  14094	  0
9 	  8	  4	  9	  10	  0
8 	  9	  4	  9	  16584	  0
8 	  7	  4	  9	  9	  0
7 	  8	  4	  9	  12210	  0
6 	  5	  4	  9	  9	  0
5 	  6	  4	  9	  9117	  0
5 	  4	  4	  9	  9	  0
4 	  5	  4	  9	  6600	  0
8 	  9	  4	  10	  101	  1
2 	  3	  4	  10	  84	  1
7 	  8	  4	  10	  72	  1
1 	  2	  4	  10	  44	  1
2 	  3	  2	  10	  63	  1
7 	  8	  2	  10	  25	  1
8 	  9	  2	  10	  5	  1

 TotalTx Number= 73000

 TotalReset Number= 3280
