Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.690s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
60	12.4	16.4	14.2	18	16.4	11.4	18	14.4
61	0	0	1651.2	1584	1584	1324.8	2508.8	1267.2
62	0	0	1990.4	2220.8	1523.2	1388.8	1462.4	1904
63	0	0	2284.8	1232	1360	2096	1689.6	1232
64	0	0	1456	1596.8	1465.6	1347.2	1491.2	1379.2
65	0	0	1366.4	1360	1635.2	1430.4	1779.2	1475.2
66	0	0	1484.8	1721.6	1504	1110.4	1315.2	1462.4
67	0	0	1708.8	1132.8	1449.6	1558.4	1609.6	1305.6
68	0	0	1142.4	1472	1606.4	1273.6	1315.2	1756.8
69	0	0	1593.6	1267.2	1398.4	1564.8	1830.4	1296
70	0	0	1356.8	1478.4	1004.8	1196.8	1776	1884.8
71	0	0	1443.2	1459.2	1020.8	1600	1654.4	1321.6
72	0	0	1628.8	1212.8	1318.4	1164.8	1305.6	1164.8
73	0	0	1558.4	1888	937.6	1734.4	1216	1443.2
74	0	0	1494.4	1408	1465.6	1299.2	1680	1372.8
75	0	0	1926.4	1760	1353.6	1004.8	1510.4	1488
76	0	0	1561.6	1484.8	1052.8	1590.4	1987.2	1312
77	0	0	1347.2	1606.4	1542.4	1241.6	1747.2	1248
78	0	0	1916.8	1417.6	1302.4	1628.8	1228.8	1312
79	0	0	1372.8	1449.6	1449.6	1436.8	1206.4	1596.8
80	0	0	1510.4	1472	1523.2	1091.2	1507.2	1507.2
81	0	0	1552	1148.8	1552	1251.2	1494.4	1088
82	0	0	1868.8	1209.6	726.4	1622.4	1814.4	1564.8
83	0	0	1276.8	1398.4	1513.6	1424	1347.2	1571.2
84	0	0	1395.2	1580.8	1385.6	1334.4	1417.6	1664
85	0	0	1062.4	1571.2	1497.6	1980.8	1580.8	1360
86	0	0	1523.2	1510.4	1593.6	1104	1430.4	1529.6
87	0	0	1388.8	1539.2	1500.8	1606.4	1292.8	1491.2
88	0	0	1395.2	1440	1814.4	1360	1795.2	1440
89	0	0	1363.2	1360	1763.2	2163.2	1116.8	1296
90	0	0	1491.2	1609.6	1334.4	1331.2	1132.8	1379.2
avg	0	0	1537.07	1486.4	1405.97	1442.03	1541.44	1437.12
delay	0.241935	0.353659	481.728	510.901	505.426	485.97	487.178	501.161
loss	0	0	0.105169	0.225941	0.444641	0.102778	0.416031	0.440741
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs5', '--datarate=30e6', '--ratio=0.375', '--RngRun=41', '--locationFile=locationtxt/locationFile23.txt', '--routingFile=locationtxt/routingFile23.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
