Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.383s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	14.6	12	17.6	15	15.2	13	12.6	13.8	12.6	12.8	16.4	14.8	16	14	11.4	16.8	13.6	15	13.4	13.2
61	0	0	0	0	0	32	8	8	56	0	72	144	0	16	176	192	104	72	128	144
62	0	0	0	0	0	128	88	16	0	72	16	8	0	176	56	184	104	200	80	64
63	0	0	0	0	0	16	40	80	200	0	128	56	72	184	192	64	112	64	184	80
64	0	0	0	0	0	24	104	0	64	56	32	160	48	168	56	128	112	96	56	96
65	0	0	0	0	0	40	168	88	96	32	192	168	72	176	192	0	128	64	120	24
66	0	0	0	0	0	72	80	24	56	144	64	192	48	104	136	32	176	40	128	96
67	0	0	0	0	0	64	48	192	112	160	80	128	96	184	88	136	0	24	192	192
68	0	0	0	0	0	160	144	184	184	32	136	80	128	64	192	48	48	24	56	56
69	0	0	0	0	0	192	0	192	80	88	88	0	184	104	40	0	80	40	56	192
70	0	0	0	0	0	8	56	144	56	48	192	176	88	0	32	136	88	88	144	80
71	0	0	0	0	0	152	104	136	0	72	0	176	0	112	24	168	96	200	24	120
72	0	0	0	0	0	48	152	184	80	8	96	144	0	8	88	96	16	160	112	0
73	0	0	0	0	0	0	168	64	0	64	200	24	0	144	192	72	96	40	96	184
74	0	0	0	0	0	48	104	56	40	48	168	120	0	64	72	112	168	96	56	160
75	0	0	0	0	0	32	184	40	96	184	24	168	224	48	120	56	72	0	80	0
76	0	8	0	8	8	88	120	24	8	8	64	24	64	48	0	192	200	72	144	120
77	8	0	0	0	0	88	48	0	120	160	192	256	0	24	24	16	24	64	80	176
78	0	0	0	0	0	168	72	88	104	0	24	16	40	40	8	160	184	80	80	192
79	0	0	8	0	0	80	96	32	160	176	152	144	104	8	96	64	24	72	120	48
80	0	0	0	0	0	136	16	192	56	72	112	184	152	176	88	0	80	0	64	192
81	0	0	0	0	0	32	0	40	168	104	0	48	200	200	48	168	40	136	200	152
82	0	0	0	0	0	0	24	16	0	104	96	40	144	72	152	176	176	152	64	72
83	0	0	0	0	0	64	192	72	48	168	0	200	72	40	96	120	144	24	96	192
84	0	0	0	0	0	128	8	64	32	176	128	56	48	184	112	176	160	104	88	152
85	0	0	0	0	0	72	0	192	184	24	192	120	0	72	128	56	0	80	136	0
86	0	0	0	0	0	56	48	88	112	0	128	160	144	152	160	176	136	48	160	168
87	0	0	0	0	0	48	0	0	104	32	120	0	152	8	16	0	0	0	128	128
88	0	0	0	0	0	16	104	152	32	64	24	24	16	56	88	136	128	16	144	88
89	0	0	0	0	0	32	112	64	64	192	176	8	8	112	0	80	0	24	0	72
90	0	0	0	8	0	120	48	160	72	136	64	80	0	56	72	0	40	0	24	200
91	0	8	0	0	0	72	48	0	112	144	8	72	88	232	200	216	48	16	80	16
92	0	0	8	0	8	8	72	104	200	184	16	200	120	0	152	112	160	136	80	88
93	0	0	0	0	0	48	120	112	24	192	80	176	0	88	0	136	136	160	24	200
94	0	0	0	0	0	0	136	56	80	64	80	96	24	32	64	72	104	128	200	184
95	0	0	0	0	0	32	104	16	112	48	0	16	144	184	184	112	112	112	64	0
96	0	0	0	0	0	0	24	24	120	56	80	48	16	168	120	0	88	104	224	56
97	0	0	0	0	0	48	192	80	80	32	80	96	32	56	104	0	0	96	88	128
98	0	0	0	0	0	152	96	88	176	104	80	144	152	192	0	0	0	144	128	176
99	0	0	0	0	0	120	136	56	40	136	40	160	24	80	176	0	136	192	192	176
100	0	0	0	0	0	184	0	72	88	184	40	0	144	0	152	0	0	16	96	112
101	0	0	0	0	0	0	0	0	192	32	72	112	40	120	24	0	80	136	208	0
102	8	0	0	0	0	120	144	112	96	40	64	120	136	32	24	472	16	88	104	24
103	0	0	0	0	0	48	128	88	8	88	8	208	88	48	0	88	104	0	32	24
104	0	0	0	0	0	32	24	32	0	48	72	88	112	88	0	120	120	112	88	32
105	0	0	0	0	0	8	16	24	400	0	88	56	48	104	0	104	0	112	64	8
106	0	0	0	0	8	232	296	152	264	192	8	232	136	104	0	128	136	96	0	64
107	0	0	0	8	0	0	16	128	40	0	64	0	112	224	0	0	48	128	200	104
108	0	8	0	0	0	16	40	104	88	136	64	24	88	176	0	112	200	56	136	88
109	0	0	0	0	0	0	144	48	160	192	48	80	112	16	704	200	168	104	0	88
110	0	0	0	0	0	160	200	152	56	8	184	0	176	64	64	72	40	144	104	200
111	0	0	8	0	0	192	96	152	0	32	72	128	16	192	120	136	0	0	184	88
112	0	0	0	0	0	128	64	88	104	8	48	64	176	136	72	8	72	88	80	72
113	0	0	0	0	0	96	0	128	40	192	168	24	32	96	184	80	56	32	96	32
114	0	0	0	0	0	120	192	8	128	136	0	24	152	168	120	0	80	144	0	168
115	0	0	0	0	0	8	112	160	24	200	56	200	96	152	80	96	192	160	128	24
116	0	0	0	0	0	8	136	32	200	104	32	32	184	72	48	0	168	144	144	152
117	0	0	0	0	0	0	0	0	168	32	96	200	56	176	0	64	104	120	48	88
118	8	0	0	0	0	168	184	248	96	0	16	72	152	120	72	96	80	144	48	56
119	0	0	0	0	0	136	64	192	16	80	104	0	24	200	8	144	0	0	0	168
120	0	0	0	0	0	40	144	176	40	96	200	104	176	120	40	0	88	72	72	200
