Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.762s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6
60	13.4	13.2	16.4	14	14.2	14.2
61	0	0	2163.2	1232	2569.6	2851.2
62	0	0	2304	2620.8	2416	3168
63	0	0	2432	2761.6	2892.8	2336
64	0	0	2176	2870.4	2409.6	2672
65	0	0	2736	2681.6	2624	2499.2
66	0	0	3043.2	2051.2	2028.8	2838.4
67	0	0	2512	2534.4	2582.4	2070.4
68	0	0	1897.6	3168	2448	2432
69	0	0	3286.4	1980.8	2057.6	2374.4
70	0	0	2537.6	2179.2	2854.4	2496
71	0	0	2553.6	2528	2371.2	3148.8
72	0	0	2272	2560	2342.4	2835.2
73	0	0	2377.6	2345.6	2624	2406.4
74	0	0	2960	2700.8	2160	2764.8
75	0	0	2470.4	3001.6	2924.8	1971.2
76	0	0	2780.8	1462.4	2243.2	2982.4
77	0	0	1987.2	3094.4	2374.4	2966.4
78	0	0	2521.6	2278.4	2553.6	2947.2
79	0	0	3152	2246.4	3097.6	2166.4
80	0	0	2691.2	3136	2912	2195.2
81	0	0	2201.6	2176	3225.6	2905.6
82	0	0	2918.4	2083.2	2518.4	1929.6
83	0	0	2252.8	1830.4	3036.8	2384
84	0	0	2627.2	2515.2	1955.2	2764.8
85	0	0	2758.4	2422.4	2131.2	2441.6
86	0	0	2883.2	2627.2	1769.6	2467.2
87	0	0	2032	2080	2832	2825.6
88	0	0	2521.6	2358.4	2652.8	2192
89	0	0	1641.6	3097.6	2425.6	2851.2
90	0	0	2816	2576	2236.8	2070.4
avg	0	0	2516.91	2440	2509.01	2565.12
delay	0.238806	0.333333	34.7342	36.162	34.6324	32.8535
loss	0	0	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs5', '--datarate=20e6', '--ratio=0.375', '--RngRun=40', '--locationFile=locationtxt/locationFile22.txt', '--routingFile=locationtxt/routingFile22.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
