Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.623s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	11.4	13.8	16.2	13.8	15.8	14	13.8	13.4	16	16	14.2	16.2	15.4	16	14.6	16.2	14.6	17.4	17.6	14
61	336	320	312	312	240	152	96	96	248	240	208	208	280	232	184	208	288	240	200	200
62	328	328	320	320	280	200	144	160	280	256	208	224	264	232	176	184	248	264	176	184
63	296	312	296	296	272	224	176	184	272	224	176	184	248	248	192	192	264	232	200	208
64	320	328	320	320	320	240	184	184	296	248	216	256	312	216	184	200	280	208	160	176
65	352	344	344	336	368	280	216	216	328	264	264	280	320	240	240	304	320	224	208	248
66	312	336	344	304	328	184	112	120	304	208	208	240	344	160	192	224	264	136	160	232
67	392	352	376	376	352	248	168	160	304	232	240	256	328	200	216	232	304	136	160	168
68	376	344	376	360	344	208	128	136	288	248	240	272	296	128	128	224	336	120	112	192
69	352	336	360	352	344	152	224	208	320	248	248	304	304	192	192	280	280	184	184	264
70	376	352	376	344	336	360	152	168	320	232	232	256	312	192	224	240	352	184	208	248
71	368	360	384	352	344	264	232	216	224	248	248	312	360	248	248	296	256	192	192	264
72	352	344	336	352	336	248	192	208	400	200	216	240	320	160	144	200	192	144	152	208
73	384	368	392	368	336	224	176	168	360	256	272	288	344	232	240	280	472	216	216	256
74	416	352	400	392	320	232	152	152	352	288	288	296	328	232	232	248	336	216	224	240
75	336	344	344	304	336	192	144	120	296	192	176	256	344	152	144	208	344	144	144	216
76	376	296	368	368	336	224	168	160	312	232	232	280	288	176	184	232	344	160	160	232
77	368	304	352	352	376	264	200	192	296	224	224	248	296	216	216	256	304	160	176	200
78	392	344	384	400	336	224	128	128	320	224	216	232	304	200	200	208	280	152	168	192
79	344	320	328	328	320	256	176	192	344	240	232	240	320	216	208	232	304	176	176	208
80	360	352	368	336	344	240	168	168	320	208	216	248	344	224	216	240	280	160	160	216
