Dst	Src	HeMcs	Txlevel	Num	isObss
8 	  7	  4	  10	  9	  0
7 	  8	  4	  10	  2789	  0
7 	  6	  4	  10	  9	  0
6 	  7	  4	  10	  1727	  0
6 	  5	  4	  10	  9	  0
5 	  6	  4	  10	  1674	  0
16 	  15	  4	  10	  9	  0
15 	  16	  4	  10	  3342	  0
15 	  14	  4	  10	  9	  0
14 	  15	  4	  10	  1709	  0
14 	  13	  4	  10	  9	  0
13 	  14	  4	  10	  1890	  0
12 	  11	  4	  10	  9	  0
11 	  12	  4	  10	  2452	  0
11 	  10	  4	  10	  20	  0
10 	  11	  4	  10	  1675	  0
10 	  9	  4	  10	  9	  0
9 	  10	  4	  10	  1811	  0
4 	  3	  4	  10	  10	  0
3 	  4	  4	  10	  3444	  0
3 	  2	  4	  10	  9	  0
2 	  3	  4	  10	  2545	  0
2 	  1	  4	  10	  10	  0
1 	  2	  4	  10	  1885	  0
13 	  14	  0	  2	  65	  1
1 	  2	  0	  2	  158	  1
5 	  6	  0	  2	  153	  1
7 	  8	  2	  10	  33	  1
7 	  8	  1	  10	  53	  1
11 	  12	  1	  10	  26	  1
11 	  12	  2	  10	  12	  1
9 	  10	  0	  2	  105	  1
5 	  6	  1	  4	  20	  1
15 	  16	  0	  7	  18	  1
1 	  2	  1	  4	  8	  1
13 	  14	  3	  6	  13	  1
6 	  7	  2	  10	  6	  1
10 	  11	  3	  6	  19	  1
3 	  4	  0	  7	  13	  1
1 	  2	  0	  7	  12	  1
9 	  10	  0	  7	  5	  1
9 	  10	  1	  4	  38	  1
11 	  12	  0	  7	  26	  1
3 	  4	  2	  10	  2	  1
2 	  3	  2	  10	  12	  1
2 	  3	  0	  7	  9	  1
9 	  10	  3	  6	  4	  1
13 	  14	  1	  4	  31	  1
2 	  3	  3	  6	  5	  1
3 	  4	  1	  10	  1	  1
1 	  2	  3	  6	  8	  1
10 	  11	  2	  10	  4	  1
14 	  15	  3	  6	  18	  1
7 	  8	  0	  7	  15	  1
15 	  16	  2	  10	  11	  1
13 	  14	  0	  7	  8	  1
14 	  15	  2	  10	  5	  1
6 	  7	  3	  6	  14	  1
5 	  6	  0	  7	  4	  1
6 	  7	  0	  7	  1	  1

 TotalReset Number= 14956
