Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.729s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
60	18.2	15.2	15	13.4	15	16	14.8	15.8
61	0	0	1280	1030.4	1760	1171.2	1110.4	1222.4
62	0	0	1148.8	688	963.2	723.2	966.4	998.4
63	0	0	883.2	720	684.8	790.4	1104	902.4
64	0	0	1171.2	1104	1027.2	928	947.2	691.2
65	0	0	864	1094.4	966.4	953.6	1126.4	822.4
66	0	0	832	1004.8	915.2	732.8	1040	912
67	0	0	825.6	851.2	883.2	1004.8	832	1110.4
68	0	0	1171.2	841.6	969.6	595.2	1196.8	809.6
69	0	0	652.8	928	1219.2	816	1145.6	899.2
70	0	0	873.6	1040	838.4	1017.6	800	976
71	0	0	947.2	873.6	937.6	886.4	870.4	1161.6
72	0	0	1296	985.6	764.8	1177.6	1187.2	620.8
73	0	0	924.8	947.2	1075.2	748.8	627.2	896
74	0	0	1081.6	937.6	742.4	931.2	944	755.2
75	0	0	1011.2	768	1004.8	966.4	908.8	771.2
76	0	0	988.8	774.4	902.4	1024	918.4	800
77	0	0	780.8	1081.6	1020.8	729.6	860.8	1062.4
78	0	0	787.2	860.8	1014.4	1088	716.8	1100.8
79	0	0	1180.8	870.4	864	729.6	950.4	985.6
80	0	0	1091.2	601.6	1171.2	582.4	880	947.2
81	0	0	793.6	1081.6	1094.4	1171.2	672	998.4
82	0	0	1145.6	803.2	819.2	883.2	870.4	752
83	0	0	771.2	1155.2	1011.2	1024	748.8	1027.2
84	0	0	521.6	838.4	892.8	1152	953.6	864
85	0	0	992	678.4	960	1020.8	1068.8	736
86	0	0	1203.2	883.2	1104	534.4	835.2	665.6
87	0	0	928	1126.4	940.8	688	771.2	595.2
88	0	0	982.4	598.4	982.4	924.8	1209.6	976
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=30e6', '--ratio=0.375', '--RngRun=23', '--locationFile=locationtxt/locationFile23.txt', '--routingFile=locationtxt/routingFile23.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
