Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.711s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
60	14.2	13.8	14	17	17.2	17	13.2	13
61	0	0	1587.2	1232	1372.8	1465.6	969.6	1094.4
62	0	0	1270.4	1641.6	1545.6	1158.4	1532.8	1116.8
63	0	0	1651.2	1152	1068.8	1030.4	1516.8	1628.8
64	0	0	1264	694.4	1561.6	1321.6	1052.8	1286.4
65	0	0	1334.4	1264	1401.6	988.8	1395.2	915.2
66	0	0	1142.4	883.2	1062.4	1382.4	1126.4	1014.4
67	0	0	1123.2	1184	867.2	1014.4	1216	1356.8
68	0	0	1235.2	918.4	1360	1334.4	1020.8	1392
69	0	0	1472	1257.6	1011.2	755.2	1465.6	982.4
70	0	0	1248	1356.8	684.8	803.2	1257.6	1164.8
71	0	0	1212.8	1417.6	1158.4	972.8	1369.6	937.6
72	0	0	1161.6	1097.6	1238.4	1267.2	1107.2	1315.2
73	0	0	1056	1136	1344	1145.6	1046.4	1129.6
74	0	0	1017.6	1286.4	1011.2	1011.2	1017.6	1116.8
75	0	0	1516.8	1081.6	1228.8	777.6	1024	1171.2
76	0	0	1158.4	1449.6	1206.4	592	1456	1440
77	0	0	1398.4	819.2	1126.4	1350.4	784	1289.6
78	0	0	1062.4	857.6	1113.6	1212.8	1056	1408
79	0	0	1187.2	870.4	1257.6	1459.2	1203.2	998.4
80	0	0	1251.2	979.2	1516.8	1379.2	1318.4	985.6
81	0	0	1100.8	1177.6	1235.2	972.8	1158.4	1190.4
82	0	0	1545.6	790.4	1072	736	1504	1513.6
83	0	0	1078.4	905.6	1244.8	1424	880	1049.6
84	0	0	985.6	947.2	1510.4	1145.6	1465.6	1046.4
85	0	0	1184	1180.8	880	1312	1440	1046.4
86	0	0	1132.8	1507.2	889.6	1004.8	1296	1603.2
87	0	0	1081.6	1100.8	1273.6	1753.6	777.6	1382.4
88	0	0	1267.2	1193.6	988.8	1123.2	1190.4	1142.4
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=20e6', '--ratio=0.375', '--RngRun=43', '--locationFile=locationtxt/locationFile23.txt', '--routingFile=locationtxt/routingFile23.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
