Dst	Src	HeMcs	Txlevel	Num	isObss
1 	  2	  4	  10	  38969	  0
2 	  1	  4	  10	  67355	  0
2 	  3	  4	  10	  41342	  0
3 	  2	  4	  10	  49950	  0
7 	  8	  4	  10	  42109	  0
8 	  7	  4	  10	  72889	  0
4 	  5	  4	  10	  31461	  0
5 	  4	  4	  10	  59891	  0
5 	  6	  4	  10	  35916	  0
6 	  5	  4	  10	  43100	  0
8 	  9	  4	  10	  44841	  0
9 	  8	  4	  10	  53147	  0
6 	  5	  4	  7	  510	  1
4 	  5	  1	  7	  524	  1
3 	  2	  4	  7	  625	  1
1 	  2	  1	  7	  405	  1
7 	  8	  1	  7	  449	  1
9 	  8	  4	  7	  495	  1
8 	  9	  1	  7	  7	  1
5 	  6	  1	  7	  5	  1
2 	  3	  1	  7	  9	  1

 TotalTx Number= 584000

 TotalReset Number= 54634
