Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.779s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15
60	12.6	11.8	14	13.6	12.6	14	14.6	13.4	15.2	13	12.8	15	15	12.2	13.6
61	0	0	0	0	0	0	176	160	208	624	128	448	0	200	432
62	0	0	0	0	0	0	648	24	256	24	344	496	96	184	640
63	0	0	0	0	0	0	784	672	360	624	376	8	152	296	0
64	0	0	0	0	0	0	464	184	472	576	584	0	832	936	736
65	0	0	0	0	0	0	896	296	280	456	232	816	528	200	384
66	0	0	0	0	0	0	560	136	520	56	856	904	104	312	72
67	0	0	0	0	0	0	56	632	664	0	224	544	168	912	456
68	0	0	0	0	0	0	776	720	984	288	16	776	280	8	816
69	0	0	0	0	0	0	0	472	696	688	464	648	800	752	304
70	0	0	0	0	0	0	160	592	544	160	608	376	240	328	0
71	0	0	0	0	0	0	736	648	552	56	136	584	24	128	304
72	0	0	0	0	0	0	576	48	0	920	640	248	672	1000	0
73	0	0	0	0	0	0	888	352	168	248	464	400	456	0	680
74	0	0	0	0	0	0	728	592	352	424	0	0	920	136	736
75	0	0	0	0	0	0	0	288	56	544	344	120	368	888	0
76	0	0	0	0	0	0	208	304	616	112	928	392	336	344	584
77	0	0	0	0	0	0	888	168	560	0	136	928	912	176	592
78	0	0	0	0	0	0	672	752	0	24	232	280	160	176	880
79	0	0	0	0	0	0	344	0	704	0	328	728	656	48	240
80	0	0	0	0	0	0	776	768	728	88	432	832	120	488	440
81	0	0	0	0	0	0	944	400	40	0	64	904	944	216	56
82	0	0	0	0	0	0	104	360	840	648	24	704	800	936	664
83	0	0	0	0	0	0	344	888	464	776	688	936	288	368	0
84	0	0	0	0	0	0	728	232	0	0	512	544	536	256	24
85	0	0	0	0	0	0	232	104	736	672	768	328	656	736	848
86	0	0	0	0	0	0	688	200	768	968	64	448	808	224	128
87	0	0	0	0	0	0	968	232	208	0	248	560	520	400	632
88	0	0	0	0	0	0	264	768	376	16	120	200	984	504	48
89	0	0	0	0	0	0	40	504	0	0	192	0	224	432	0
90	0	0	0	0	0	0	312	912	64	808	592	448	800	864	416
91	0	0	0	0	0	0	576	576	304	584	176	880	0	720	880
92	0	0	0	0	0	0	256	352	744	0	360	448	696	72	904
93	0	0	0	0	0	0	288	448	0	408	512	920	872	24	360
94	0	0	0	0	0	0	56	40	592	424	424	280	216	560	104
95	0	0	0	0	0	0	784	448	288	264	784	792	72	288	152
96	0	0	0	0	0	0	256	672	552	800	272	240	728	736	776
97	0	0	0	0	0	0	448	0	8	296	16	280	416	488	32
98	0	0	0	0	0	0	616	440	824	840	368	216	0	0	512
99	0	0	0	0	0	0	504	664	448	0	128	632	544	384	568
100	0	0	0	0	0	0	256	272	176	256	360	536	0	920	504
101	0	0	0	0	0	0	288	672	312	672	648	64	288	120	168
102	0	0	0	0	0	0	312	40	424	912	256	296	984	200	192
103	0	0	0	0	0	0	664	264	728	240	584	584	520	528	688
