Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.827s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20	cl-21
60	15	10.8	12.8	12.4	11.6	15	11.4	14.2	14	12	16	12.6	13.6	15.6	14.4	15	16	14	13	15	14.2
61	0	0	0	0	0	0	0	0	0	0	464	0	200	0	0	0	328	152	136	408	240
62	0	0	0	0	0	0	0	0	0	0	144	160	232	168	0	0	416	72	672	664	496
63	0	0	0	0	0	0	0	0	0	0	424	368	536	32	336	584	168	144	360	272	200
64	0	0	0	0	0	0	0	0	0	0	584	112	536	304	0	104	208	336	624	608	168
65	0	0	0	0	0	0	0	0	0	0	8	136	704	704	224	512	248	152	24	104	688
66	0	0	0	0	0	0	0	0	0	0	280	192	664	120	480	544	144	104	472	0	640
67	0	0	0	0	0	0	0	0	0	0	488	464	128	8	496	520	144	416	488	104	184
68	0	0	0	0	0	0	0	0	0	0	296	136	544	72	464	424	544	400	608	0	256
69	0	0	0	0	0	0	0	0	0	0	592	128	560	72	120	624	312	96	592	176	384
70	0	0	0	0	0	0	0	0	0	0	0	384	64	560	488	584	144	56	520	288	472
71	0	0	0	0	0	0	0	0	0	0	536	296	0	0	528	264	104	216	0	792	192
72	0	0	0	0	0	0	0	0	0	0	16	0	464	520	8	0	0	640	184	48	0
73	0	0	0	0	0	0	0	0	0	0	528	232	168	368	312	136	80	224	480	512	424
74	0	0	0	0	0	0	0	0	0	0	376	0	64	480	792	192	192	400	456	432	288
75	0	0	0	0	0	0	0	0	0	0	736	600	320	256	720	320	0	464	0	168	0
76	0	0	0	0	0	0	0	0	0	0	328	728	664	136	368	0	40	240	120	48	360
77	0	0	0	0	0	0	0	0	0	0	32	352	304	288	144	248	248	616	664	104	552
78	0	0	0	0	0	0	0	0	0	0	0	736	368	328	664	488	24	56	288	96	224
79	0	0	0	0	0	0	0	0	0	0	0	424	152	152	232	424	320	448	616	392	568
80	0	0	0	0	0	0	0	0	0	0	0	408	328	696	112	8	160	240	400	704	0
81	0	0	0	0	0	0	0	0	0	0	296	376	568	480	496	392	336	0	216	336	8
82	0	0	0	0	0	0	0	0	0	0	536	128	64	368	296	208	0	320	664	376	584
83	0	0	0	0	0	0	0	0	0	0	0	0	128	88	0	96	344	784	328	120	8
