Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.921s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	16.8	11	17.6	13.8	15.4	16	15.8	14.8	16.4	18	13.8	15.4	15.8	13	16.6	15.4	14.2	15.6
61	0	0	0	0	0	0	0	144	248	120	0	320	0	264	0	232	640	0
62	0	0	0	0	0	0	0	0	0	8	96	200	112	424	296	248	472	328
63	0	0	0	0	0	0	0	560	64	312	712	0	656	0	544	168	304	256
64	0	0	0	0	0	0	0	432	216	640	544	440	528	520	0	240	64	256
65	0	0	0	0	0	0	0	64	728	184	144	232	120	488	360	720	464	304
66	0	0	0	0	0	0	0	488	168	80	448	480	784	0	400	248	0	64
67	0	0	0	0	0	0	0	656	424	312	472	0	264	184	0	368	536	504
68	0	0	0	0	0	0	0	304	48	0	192	104	248	512	280	120	608	744
69	0	0	0	0	0	0	0	352	80	56	424	0	624	272	320	744	0	448
70	0	0	0	0	0	0	0	104	96	176	0	728	240	448	0	704	360	528
71	0	0	0	0	0	0	0	240	584	24	80	48	232	368	48	248	480	32
72	0	0	0	0	0	0	0	24	608	160	184	88	360	312	440	496	592	8
73	0	0	0	0	0	0	0	304	648	640	432	176	528	368	32	0	424	592
74	0	0	0	0	0	0	0	384	288	432	80	480	8	592	0	592	512	312
75	0	0	0	0	0	0	0	392	616	256	0	520	248	512	480	384	336	248
76	0	0	0	0	0	0	0	448	328	0	376	280	456	0	720	480	696	184
77	0	0	0	0	0	0	0	0	0	520	0	552	128	528	664	416	408	560
78	0	0	0	0	0	0	0	184	528	560	360	512	192	216	392	480	168	312
79	0	0	0	0	0	0	0	408	568	344	736	264	0	856	336	192	208	0
80	0	0	0	0	0	0	0	40	88	368	312	200	504	504	160	504	248	0
81	0	0	0	0	0	0	0	232	296	112	344	408	600	600	192	408	488	192
82	0	0	0	0	0	0	0	360	536	504	152	352	144	600	88	88	560	336
83	0	0	0	0	0	0	0	200	560	104	40	520	584	392	16	608	496	336
84	0	0	0	0	0	0	0	152	528	464	384	400	520	320	232	216	496	128
85	0	0	0	0	0	0	0	128	424	328	704	272	32	552	112	360	296	576
86	0	0	0	0	0	0	0	280	0	584	80	184	120	432	240	0	640	568
87	0	0	0	0	0	0	0	432	48	0	496	0	0	688	0	672	400	168
88	0	0	0	0	0	0	0	288	80	376	192	440	336	496	344	600	584	0
89	0	0	0	0	0	0	0	0	480	184	136	96	272	440	776	80	272	576
90	0	0	0	0	0	0	0	232	592	376	192	144	664	216	8	192	240	584
