Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.750s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15
60	12.6	11.8	14	13.6	12.6	14	14.6	13.4	15.2	13	12.8	15	15	12.2	13.6
61	0	0	0	0	0	0	176	136	208	608	104	432	0	168	424
62	0	0	0	0	0	0	640	24	248	24	336	480	80	184	640
63	0	0	0	0	0	0	280	368	216	128	272	0	48	0	0
64	0	0	0	0	0	0	440	152	192	576	320	8	536	608	320
65	0	0	0	0	0	0	656	312	192	360	288	552	456	240	344
66	0	0	0	0	0	0	488	120	488	56	824	864	80	320	48
67	0	0	0	0	0	0	0	352	264	0	216	472	160	784	264
68	0	0	0	0	0	0	288	472	560	152	0	344	0	112	424
69	0	0	0	0	0	0	160	568	464	256	232	384	472	288	352
70	0	0	0	0	0	0	40	600	512	408	448	416	488	440	0
71	0	0	0	0	0	0	760	648	568	56	96	528	24	152	312
72	0	0	0	0	0	0	552	48	0	864	576	216	600	928	0
73	0	0	0	0	0	0	784	304	136	224	448	408	392	0	536
74	0	0	0	0	0	0	656	632	296	304	0	0	816	136	616
75	0	0	0	0	0	0	0	288	56	544	352	120	368	872	0
76	0	0	0	0	0	0	168	280	592	80	824	256	240	336	424
77	0	0	0	0	0	0	712	128	416	0	96	680	696	136	384
78	0	0	0	0	0	0	592	704	0	24	192	320	160	152	816
79	0	0	0	0	0	0	328	0	656	0	304	632	592	24	176
80	0	0	0	0	0	0	520	528	536	56	312	608	120	336	304
81	0	0	0	0	0	0	928	392	32	0	0	856	864	168	24
82	0	0	0	0	0	0	16	224	608	448	16	520	504	584	504
83	0	0	0	0	0	0	440	536	328	480	416	512	208	256	56
84	0	0	0	0	0	0	488	392	0	8	776	648	792	336	136
85	0	0	0	0	0	0	152	40	448	392	432	288	496	432	576
86	0	0	0	0	0	0	448	128	512	720	160	312	528	288	216
87	0	0	0	0	0	0	872	160	128	0	248	496	464	344	560
88	0	0	0	0	0	0	168	856	256	32	104	192	936	488	48
89	0	0	0	0	0	0	72	808	0	176	304	104	648	856	208
90	0	0	0	0	0	0	208	504	104	608	488	344	432	456	208
91	0	0	0	0	0	0	400	368	144	368	120	568	48	480	608
92	0	0	0	0	0	0	184	360	752	0	320	416	608	48	848
93	0	0	0	0	0	0	208	336	0	312	504	896	808	56	360
94	0	0	0	0	0	0	56	40	584	416	392	272	240	568	104
95	0	0	0	0	0	0	720	368	304	216	656	760	64	208	96
96	0	0	0	0	0	0	208	416	360	432	216	80	464	440	552
97	0	0	0	0	0	0	240	56	80	328	32	304	352	400	136
98	0	0	0	0	0	0	528	320	696	808	312	200	0	0	472
99	0	0	0	0	0	0	440	552	344	0	96	696	376	360	504
100	0	0	0	0	0	0	248	216	120	200	296	520	0	880	440
101	0	0	0	0	0	0	248	616	304	624	568	72	0	48	136
102	0	0	0	0	0	0	272	16	344	808	256	136	1152	232	224
103	0	0	0	0	0	0	472	184	632	200	408	392	344	400	520
104	0	0	0	0	0	0	560	504	280	0	608	160	344	224	440
