Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.792s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20	cl-21
60	15	10.8	12.8	12.4	11.6	15	11.4	14.2	14	12	16	12.6	13.6	15.6	14.4	15	16	14	13	15	14.2
61	0	0	0	0	0	0	0	0	0	0	672	56	304	32	0	0	400	192	408	728	464
62	0	0	0	0	0	0	0	0	0	0	376	136	272	192	24	120	552	176	616	560	368
63	0	0	0	0	0	0	0	0	0	0	352	392	624	24	480	664	16	48	360	248	280
64	0	0	0	0	0	0	0	0	0	0	568	96	520	312	0	144	152	232	584	560	256
65	0	0	0	0	0	0	0	0	0	0	176	184	680	504	136	384	160	328	184	232	520
66	0	0	0	0	0	0	0	0	0	0	264	88	704	176	480	440	144	48	400	0	600
67	0	0	0	0	0	0	0	0	0	0	520	448	176	0	416	456	0	400	480	200	264
68	0	0	0	0	0	0	0	0	0	0	312	304	320	48	360	424	600	360	584	16	96
69	0	0	0	0	0	0	0	0	0	0	504	120	560	0	40	576	256	352	600	0	568
70	0	0	0	0	0	0	0	0	0	0	240	336	240	344	448	608	392	16	576	184	304
71	0	0	0	0	0	0	0	0	0	0	320	96	0	320	656	552	0	96	312	872	368
