Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.775s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18
60	16.8	11	17.6	13.8	15.4	16	15.8	14.8	16.4	18	13.8	15.4	15.8	13	16.6	15.4	14.2	15.6
61	0	0	0	0	0	0	0	104	184	80	0	240	0	200	0	168	464	0
62	0	0	0	0	0	0	0	0	0	8	72	152	88	312	224	200	384	232
63	0	0	0	0	0	0	0	480	48	272	592	0	576	0	416	144	224	248
64	0	0	0	0	0	0	0	360	192	544	440	448	456	488	0	232	96	264
65	0	0	0	0	0	0	0	40	568	152	104	168	88	400	312	560	416	304
66	0	0	0	0	0	0	0	392	144	64	304	336	568	0	272	184	0	56
67	0	0	0	0	0	0	0	536	336	248	416	0	208	128	0	280	456	400
68	0	0	0	0	0	0	0	248	32	0	176	96	176	384	256	96	472	568
69	0	0	0	0	0	0	0	272	64	56	344	0	512	208	248	592	0	360
70	0	0	0	0	0	0	0	72	72	136	0	576	192	352	0	560	272	408
71	0	0	0	0	0	0	0	192	464	8	56	48	200	272	40	208	368	16
72	0	0	0	0	0	0	0	24	480	152	160	80	304	272	352	376	480	56
73	0	0	0	0	0	0	0	280	496	512	336	136	416	320	40	0	336	536
74	0	0	0	0	0	0	0	304	264	344	56	440	0	544	0	520	504	280
75	0	0	0	0	0	0	0	368	576	232	16	568	296	448	376	312	272	192
76	0	0	0	0	0	0	0	304	216	0	288	176	328	0	560	400	552	16
77	0	0	0	0	0	0	0	0	16	456	0	568	160	504	576	408	368	680
78	0	0	0	0	0	0	0	264	392	536	400	392	152	320	368	496	128	240
79	0	0	0	0	0	0	0	272	480	200	512	240	0	568	160	32	168	0
80	0	0	0	0	0	0	0	32	72	280	240	160	384	384	128	384	200	0
81	0	0	0	0	0	0	0	224	240	136	264	328	456	528	192	320	400	144
82	0	0	0	0	0	0	0	320	560	384	136	344	160	496	32	112	472	336
83	0	0	0	0	0	0	0	192	408	80	0	440	448	312	8	480	328	256
84	0	0	0	0	0	0	0	152	520	472	416	376	440	320	208	240	408	176
85	0	0	0	0	0	0	0	120	304	264	576	296	0	240	0	272	80	408
86	0	0	0	0	0	0	0	152	0	368	80	152	96	384	216	0	520	464
87	0	0	0	0	0	0	0	312	40	32	344	0	0	592	8	528	344	208
88	0	0	0	0	0	0	0	248	128	296	208	392	368	424	344	480	472	0
89	0	0	0	0	0	0	0	0	320	176	48	0	184	312	592	88	200	512
90	0	0	0	0	0	0	0	280	576	416	208	184	560	200	8	152	224	504
91	0	0	0	0	0	0	0	560	424	552	32	72	392	456	88	344	144	328
92	0	0	0	0	0	0	0	368	424	400	240	192	296	456	536	352	352	416
93	0	0	0	0	0	0	0	520	96	272	80	320	64	176	456	536	416	328
94	0	0	0	0	0	0	0	8	136	240	48	0	464	288	312	88	400	528
95	0	0	0	0	0	0	0	208	512	392	304	488	104	336	296	0	408	480
96	0	0	0	0	0	0	0	0	112	0	0	112	264	192	0	264	280	32
97	0	0	0	0	0	0	0	48	736	488	688	32	0	496	368	104	544	352
98	0	0	0	0	0	0	0	376	304	600	344	248	256	40	0	600	568	200
99	0	0	0	0	0	0	0	192	104	152	440	32	520	408	184	432	200	208
100	0	0	0	0	0	0	0	496	560	264	184	200	512	272	200	320	168	512
101	0	0	0	0	0	0	0	176	472	56	368	304	256	416	0	544	256	112
102	0	0	0	0	0	0	0	448	248	80	584	440	600	568	136	256	16	0
103	0	0	0	0	0	0	0	64	192	584	176	200	480	536	256	296	216	288
104	0	0	0	0	0	0	0	480	360	192	336	536	136	560	232	96	576	328
105	0	0	0	0	0	0	0	0	512	0	312	32	24	256	272	456	48	184
106	0	0	0	0	0	0	0	168	280	448	8	120	224	416	0	200	328	0
107	0	0	0	0	0	0	0	312	528	320	32	392	104	504	384	0	176	496
108	0	0	0	0	0	0	0	560	448	144	264	136	440	256	96	224	528	8
109	0	0	0	0	0	0	0	192	480	184	512	0	304	0	216	256	96	0
110	0	0	0	0	0	0	0	584	344	40	520	504	512	72	344	0	320	464
111	0	0	0	0	0	0	0	432	88	88	160	288	552	24	560	160	448	96
