Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.713s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20	cl-21
60	15	10.8	12.8	12.4	11.6	15	11.4	14.2	14	12	16	12.6	13.6	15.6	14.4	15	16	14	13	15	14.2
61	0	0	0	0	0	0	0	0	0	0	464	88	256	88	0	0	384	112	360	552	416
62	0	0	0	0	0	0	0	0	0	0	48	48	136	152	0	0	304	0	224	200	208
63	0	0	0	0	0	0	0	0	0	0	512	432	496	16	280	536	192	176	480	336	264
64	0	0	0	0	0	0	0	0	0	0	528	88	536	344	0	104	224	336	536	480	144
65	0	0	0	0	0	0	0	0	0	0	0	64	496	504	160	376	176	120	0	88	560
66	0	0	0	0	0	0	0	0	0	0	288	168	560	96	400	440	120	112	432	0	560
67	0	0	0	0	0	0	0	0	0	0	464	528	200	48	488	504	192	512	504	144	168
68	0	0	0	0	0	0	0	0	0	0	272	48	504	0	368	440	384	456	584	0	392
69	0	0	0	0	0	0	0	0	0	0	504	168	424	72	120	576	320	24	536	176	320
70	0	0	0	0	0	0	0	0	0	0	0	288	64	512	424	528	128	40	504	264	472
71	0	0	0	0	0	0	0	0	0	0	400	224	0	0	392	176	64	160	0	576	128
72	0	0	0	0	0	0	0	0	0	0	8	0	352	392	8	0	0	456	120	32	0
73	0	0	0	0	0	0	0	0	0	0	464	208	160	368	320	144	104	168	304	280	240
74	0	0	0	0	0	0	0	0	0	0	208	0	72	240	472	120	104	160	456	416	304
75	0	0	0	0	0	0	0	0	0	0	632	496	240	280	600	296	0	384	8	144	16
76	0	0	0	0	0	0	0	0	0	0	264	576	504	120	288	0	56	216	104	56	320
77	0	0	0	0	0	0	0	0	0	0	32	296	336	248	152	192	192	592	584	112	536
78	0	0	0	0	0	0	0	0	0	0	8	544	280	264	504	368	16	64	224	96	176
79	0	0	0	0	0	0	0	0	0	0	0	384	144	144	192	344	296	416	528	352	520
80	0	0	0	0	0	0	0	0	0	0	56	344	320	592	104	8	152	176	304	560	0
81	0	0	0	0	0	0	0	0	0	0	128	304	464	520	504	432	312	72	408	448	144
82	0	0	0	0	0	0	0	0	0	0	536	24	40	352	240	224	0	240	544	168	448
83	0	0	0	0	0	0	0	0	0	0	0	0	112	72	0	72	264	600	264	96	0
84	0	0	0	0	0	0	0	0	0	0	56	568	0	536	240	496	576	304	168	184	0
85	0	0	0	0	0	0	0	0	0	0	256	104	288	512	200	8	56	216	80	48	416
86	0	0	0	0	0	0	0	0	0	0	0	280	416	216	192	168	576	136	0	0	24
87	0	0	0	0	0	0	0	0	0	0	280	104	40	0	592	376	208	152	552	440	560
88	0	0	0	0	0	0	0	0	0	0	264	168	8	280	256	472	16	0	504	72	488
89	0	0	0	0	0	0	0	0	0	0	32	0	168	600	256	136	0	560	160	80	264
90	0	0	0	0	0	0	0	0	0	0	536	464	72	520	448	0	248	520	136	464	152
91	0	0	0	0	0	0	0	0	0	0	128	328	96	496	304	312	416	392	32	560	360
92	0	0	0	0	0	0	0	0	0	0	352	488	104	184	208	528	216	560	8	184	336
93	0	0	0	0	0	0	0	0	0	0	320	336	192	0	152	488	224	176	224	56	600
94	0	0	0	0	0	0	0	0	0	0	576	400	408	304	120	72	528	312	240	0	88
95	0	0	0	0	0	0	0	0	0	0	488	248	272	320	528	344	32	152	0	384	200
96	0	0	0	0	0	0	0	0	0	0	360	192	328	256	240	264	360	512	480	72	320
97	0	0	0	0	0	0	0	0	0	0	24	56	384	584	304	0	432	560	496	400	176
98	0	0	0	0	0	0	0	0	0	0	128	248	280	136	88	296	344	264	336	352	424
99	0	0	0	0	0	0	0	0	0	0	248	0	296	0	280	232	328	144	304	560	160
100	0	0	0	0	0	0	0	0	0	0	24	104	168	432	72	144	400	264	56	456	584
101	0	0	0	0	0	0	0	0	0	0	72	248	240	304	232	344	360	424	472	144	320
102	0	0	0	0	0	0	0	0	0	0	512	536	256	8	240	576	120	56	184	416	64
103	0	0	0	0	0	0	0	0	0	0	248	112	120	240	0	208	24	376	112	408	32
104	0	0	0	0	0	0	0	0	0	0	152	216	568	376	112	32	168	248	576	176	480
