Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.750s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15
60	12.4	11.8	14	13.6	12.6	14	14.6	13.4	15.2	13	13	15	15	12.2	13.6
61	0	0	0	0	400	72	176	120	216	584	96	384	0	168	424
62	0	0	0	0	304	168	624	16	216	24	296	472	64	168	632
63	0	0	0	0	272	560	656	632	328	600	304	0	160	280	0
64	0	0	0	0	0	504	264	72	328	520	360	0	704	672	480
65	0	0	0	0	480	88	464	352	200	184	264	440	544	296	376
66	0	0	0	0	552	616	552	64	584	216	312	592	72	0	40
67	0	0	0	0	360	896	0	304	296	8	360	512	120	720	120
68	0	0	0	0	40	344	536	392	776	272	0	440	72	152	544
69	0	0	0	0	248	72	40	528	512	328	320	352	560	400	392
70	0	0	0	0	688	704	0	432	328	392	208	256	344	288	0
71	0	0	0	0	344	376	696	344	736	40	448	504	24	184	224
72	0	0	0	0	584	344	264	88	24	640	328	200	424	712	0
73	0	0	0	0	128	800	664	232	112	232	376	280	432	72	424
74	0	0	0	0	408	392	488	416	296	336	0	0	784	96	520
75	0	0	0	0	584	232	0	288	32	512	280	120	344	816	0
76	0	0	0	0	488	16	112	280	568	120	768	232	240	336	400
77	0	0	0	0	424	88	624	16	520	0	128	672	688	184	392
78	0	0	0	0	120	832	504	504	0	8	96	320	272	112	584
79	0	0	0	0	256	80	336	0	640	0	232	592	576	0	128
80	0	0	0	0	480	0	424	368	576	64	344	528	40	488	368
81	0	0	0	0	224	696	824	480	64	0	24	744	752	40	0
82	0	0	0	0	240	424	104	112	560	360	8	512	648	632	296
83	0	0	0	0	104	0	336	664	656	536	200	488	120	536	256
84	0	0	0	0	152	184	592	320	0	320	640	696	672	200	0
85	0	0	0	0	264	104	160	224	280	296	392	336	696	392	456
86	0	0	0	0	0	336	136	112	776	768	368	168	472	552	472
87	0	0	0	0	448	696	672	80	176	336	128	400	528	184	176
88	0	0	0	0	560	520	336	400	352	0	64	376	616	224	240
89	0	0	0	0	448	248	56	920	0	112	224	8	792	1000	136
90	0	0	0	0	336	96	128	496	144	624	416	320	472	504	288
91	0	0	0	0	264	48	496	296	0	584	296	480	216	552	320
92	0	0	0	0	336	336	48	472	728	96	96	400	360	184	720
93	0	0	0	0	144	744	192	96	136	104	456	632	736	136	432
94	0	0	0	0	672	208	248	280	384	592	304	368	320	456	64
95	0	0	0	0	584	528	416	208	288	136	472	664	112	184	32
96	0	0	0	0	400	200	320	480	296	544	168	32	416	520	432
97	0	0	0	0	480	304	288	152	248	392	160	408	664	616	336
98	0	0	0	0	304	312	440	320	664	760	312	136	0	32	344
