Dst	Src	HeMcs	Txlevel	Num	isObss
4 	  3	  4	  10	  2269	  0
3 	  4	  4	  10	  4132	  0
12 	  11	  4	  10	  2073	  0
11 	  12	  4	  10	  3582	  0
3 	  2	  4	  10	  2626	  0
2 	  3	  4	  10	  3118	  0
11 	  10	  4	  10	  2411	  0
16 	  15	  4	  10	  2325	  0
10 	  11	  4	  10	  2769	  0
15 	  16	  4	  10	  4146	  0
2 	  1	  4	  10	  3084	  0
1 	  2	  4	  10	  2691	  0
10 	  9	  4	  10	  3149	  0
9 	  10	  4	  10	  2860	  0
15 	  14	  4	  10	  2540	  0
14 	  15	  4	  10	  3177	  0
14 	  13	  4	  10	  3243	  0
13 	  14	  4	  10	  2751	  0
1 	  2	  0	  2	  200	  1
15 	  14	  4	  2	  14	  1
13 	  14	  0	  2	  318	  1
8 	  7	  4	  10	  10	  0
7 	  8	  4	  10	  24	  0
7 	  6	  4	  10	  22	  0
6 	  7	  3	  6	  3	  1
6 	  7	  4	  10	  24	  0
6 	  7	  0	  7	  1	  1
7 	  6	  4	  6	  6	  1
9 	  10	  0	  2	  257	  1
11 	  10	  4	  2	  4	  1
12 	  11	  4	  6	  4	  1
9 	  10	  3	  6	  6	  1
9 	  10	  0	  7	  6	  1
3 	  4	  2	  10	  31	  1
15 	  16	  1	  10	  8	  1
10 	  11	  0	  7	  1	  1
2 	  3	  0	  7	  4	  1
11 	  10	  4	  6	  5	  1
12 	  11	  4	  10	  14	  1
11 	  10	  4	  4	  14	  1
4 	  3	  4	  6	  8	  1
3 	  2	  4	  7	  6	  1
3 	  4	  0	  7	  14	  1
1 	  2	  0	  7	  5	  1
11 	  12	  1	  10	  16	  1
15 	  14	  4	  4	  1	  1
13 	  14	  1	  4	  20	  1
2 	  3	  2	  10	  6	  1
11 	  12	  2	  10	  1	  1

 TotalReset Number= 15802
