Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.645s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	16.2	15.2
61	1303.52	1714.88
62	1568	1893.28
63	1618.08	1364.48
64	1402.24	1392.16
65	1306.88	1319.84
66	1440.96	1311.52
67	1920.32	1566.4
68	1581.44	1241.6
69	1818.88	1741.76
70	1392.96	1381.44
71	1543.52	1494.24
72	1661.76	1348.48
73	1518.72	1110.56
74	1380	1716
75	1469.44	1366.56
76	1092.32	1558.08
77	1525.28	925.76
78	1869.28	1411.2
79	1634.4	1517.12
80	1563.68	1175.2
81	1211.36	1214.88
82	1500.32	1706.88
83	1305.92	1589.12
84	1469.28	1582.72
85	1040.48	1648.96
86	1286.4	1247.84
87	1505.12	1517.76
88	1406.08	1505.92
89	1400.32	1694.88
90	1692.8	1251.84
91	1448.16	1703.84
92	1796.64	1638.56
93	1969.6	1923.84
94	1284.8	1327.84
95	1242.24	1464.16
96	1827.04	1460.48
97	2100.16	1516.32
98	1282.24	1833.76
99	1501.44	1470.88
100	1225.92	1628.48
101	1457.28	1528.16
102	1732	1593.12
103	1090.72	1134.24
104	1728.32	1529.44
105	1338.88	1504.96
106	1230.72	1649.44
107	1539.84	1773.28
108	1175.36	1449.92
109	1478.56	1311.52
110	1603.2	1424.48
111	1443.04	1514.08
112	1659.2	1403.04
113	1582.56	1802.4
114	1471.68	1763.04
115	1351.84	1991.2
116	1431.36	1625.44
117	1375.84	1253.76
118	1707.2	1160.16
119	1179.04	1781.6
120	1631.36	1152.16
(1,0)	(2,13494)	(3,0)	(4,25274)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	1488.6	1497.08
delay	5.9128	4.79488
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs3', '--datarate=30e5', '--packetSize=2e2', '--tcp=0', '--RngRun=17'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
