Dst	Src	HeMcs	Txlevel	Num	isObss
3 	  2	  4	  10	  9	  0
2 	  3	  4	  10	  11295	  0
2 	  1	  4	  10	  10	  0
1 	  2	  4	  10	  8576	  0
9 	  8	  4	  10	  10	  0
8 	  9	  4	  10	  11438	  0
8 	  7	  4	  10	  10	  0
7 	  8	  4	  10	  8960	  0
6 	  5	  4	  10	  10	  0
5 	  6	  4	  10	  9938	  0
5 	  4	  4	  10	  12	  0
4 	  5	  4	  10	  7711	  0
8 	  9	  0	  7	  353	  1
2 	  3	  2	  10	  308	  1
7 	  8	  3	  6	  284	  1
7 	  8	  0	  7	  88	  1
8 	  9	  2	  10	  192	  1
2 	  3	  0	  7	  454	  1
1 	  2	  3	  6	  246	  1
1 	  2	  0	  7	  95	  1

 TotalReset Number= 12750
