Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.428s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.094	0.471	0.000	0.000	0.365	0.059	0.412	0.989	0.141	0.412	0.989	0.342	0.271	0.648	0.071	0.000	0.094	0.000	0.000	0.836	0.000	0.094	0.765	0.188	0.000	0.989	0.153	0.542	0.989	0.860	0.000	0.518	0.000	0.000	0.000	0.000
62.000	0.047	0.754	0.141	0.000	0.353	0.000	0.012	1.001	0.636	0.989	1.001	0.118	0.059	0.977	0.000	0.000	0.000	0.177	0.141	0.447	0.000	0.118	0.883	0.059	0.188	1.001	0.271	0.365	1.001	0.883	0.447	0.966	0.000	0.000	0.000	0.000
63.000	0.071	0.683	0.365	0.000	0.035	0.000	0.047	1.001	0.824	0.035	1.001	0.212	0.059	0.294	0.059	0.000	0.000	0.000	0.059	0.695	0.012	0.082	0.224	0.200	0.495	1.001	0.542	0.459	1.001	0.754	0.165	0.848	0.035	0.000	0.118	0.000
64.000	0.000	0.000	0.024	0.082	0.542	0.000	0.024	1.001	0.930	0.035	1.001	0.436	0.012	0.648	0.059	0.024	0.000	0.000	0.000	0.824	0.024	0.177	0.577	0.188	0.365	1.001	0.000	0.553	1.001	0.000	0.047	0.919	0.000	0.000	0.153	0.000
65.000	0.000	0.000	0.188	0.047	0.353	0.000	0.000	1.001	0.707	0.553	1.001	0.153	0.000	0.082	0.000	0.000	0.000	0.012	0.000	0.930	0.035	0.024	0.707	0.342	0.000	1.001	0.283	0.212	1.001	1.213	0.000	0.919	0.565	0.012	0.730	0.094
66.000	0.000	0.000	0.024	0.165	1.001	0.141	0.000	1.001	1.189	0.294	1.001	0.377	0.000	1.366	0.071	0.000	0.200	0.106	0.000	0.707	0.000	0.200	0.612	0.082	1.095	1.001	0.730	0.200	1.001	0.542	0.012	0.495	0.365	0.200	0.271	0.000
67.000	0.177	1.319	0.459	0.082	0.942	0.059	0.000	1.001	0.612	0.518	1.001	0.577	0.000	0.236	0.000	0.000	0.000	0.012	0.000	0.754	0.012	0.094	0.412	0.094	0.506	1.001	0.765	0.518	1.001	1.178	0.059	0.412	0.188	0.035	0.000	0.000
68.000	0.188	0.165	0.082	0.224	0.436	0.271	0.813	1.001	0.471	0.247	1.001	1.001	0.000	0.695	0.024	0.000	0.000	0.035	0.000	0.318	0.024	0.012	0.883	0.000	0.518	1.001	0.130	0.330	1.001	0.118	0.071	0.707	0.271	0.471	1.660	0.389
69.000	0.577	1.013	0.224	0.212	1.248	0.612	0.177	1.001	0.659	0.059	1.001	0.648	0.000	0.636	0.071	0.000	0.765	0.377	0.589	1.366	0.059	0.165	0.671	0.012	0.707	1.001	0.695	0.177	1.001	0.777	0.035	0.400	0.012	0.000	0.624	0.671
70.000	0.035	0.813	0.742	0.153	1.001	0.082	0.000	1.001	1.048	0.553	1.001	0.836	0.000	0.247	0.000	0.000	0.707	0.306	0.424	0.047	0.059	0.000	0.765	0.306	1.260	1.001	0.648	0.447	1.001	0.377	0.000	0.553	0.236	0.283	0.836	0.118
71.000	0.389	0.813	0.094	0.059	0.612	0.565	0.130	1.001	0.530	0.436	1.001	0.612	0.000	0.483	0.000	0.024	0.754	0.601	0.165	0.294	0.000	0.165	0.247	0.047	0.153	1.001	0.400	0.447	1.001	0.966	0.177	1.048	0.082	0.071	0.518	0.000
72.000	0.118	0.542	0.082	0.012	0.612	0.012	0.459	1.001	0.000	0.813	1.001	0.330	0.212	0.153	0.000	0.071	0.506	0.283	0.259	0.553	0.000	0.318	0.330	0.094	0.754	1.001	0.294	0.730	1.001	1.013	0.200	0.789	0.000	0.577	0.565	0.024
73.000	0.000	0.848	0.000	0.106	1.013	0.436	0.118	0.989	0.141	0.177	0.989	0.506	0.035	0.589	0.000	0.000	0.000	0.000	0.118	0.707	0.177	0.130	0.518	0.094	0.789	0.989	0.636	0.565	0.989	0.000	0.294	0.436	0.012	0.000	0.565	0.283
74.000	0.236	0.754	0.342	0.259	0.165	0.141	0.412	1.001	0.000	1.295	1.001	0.659	0.059	0.024	0.000	0.000	1.130	0.565	0.000	0.789	0.224	0.000	0.247	0.035	0.330	1.001	0.436	0.306	1.001	0.648	0.012	0.342	0.118	0.000	0.765	0.483
75.000	0.283	0.919	0.012	0.047	0.330	0.141	0.836	1.001	0.000	0.718	1.001	0.718	0.047	1.048	0.000	0.000	0.035	0.059	0.000	0.447	0.177	0.059	0.177	0.224	0.871	1.001	0.353	0.742	1.001	0.530	0.177	0.200	0.000	0.024	0.836	0.130
76.000	0.094	0.530	0.412	0.177	0.118	0.000	0.024	1.001	0.765	0.447	1.001	0.577	0.012	0.730	0.000	0.000	0.130	0.035	0.118	0.436	0.000	0.024	0.860	0.000	0.471	1.001	0.718	0.130	1.001	0.530	0.000	0.353	0.412	0.188	0.801	0.000
77.000	0.365	0.483	0.200	0.012	0.177	0.059	0.601	1.001	0.789	0.330	1.001	1.001	0.000	0.188	0.000	0.012	0.000	0.118	0.118	0.754	0.000	0.165	0.648	0.047	0.754	1.001	0.082	1.025	1.001	0.553	0.000	0.883	0.071	0.365	0.259	0.035
78.000	0.200	0.259	0.035	0.483	0.601	0.824	0.977	1.001	0.059	0.412	1.001	0.471	0.177	0.871	0.024	0.389	0.589	0.000	0.000	0.024	0.000	0.130	0.059	0.059	0.848	1.001	0.777	0.518	1.001	1.095	0.000	0.353	0.306	0.035	0.883	0.200
79.000	0.271	0.589	0.247	0.000	0.000	0.000	0.082	1.001	0.353	0.271	1.001	0.424	0.212	0.094	0.000	0.071	1.036	0.247	0.565	0.695	0.177	0.000	0.000	0.000	0.553	1.001	0.683	0.177	1.001	0.483	0.118	0.530	0.188	0.000	0.353	0.177
80.000	0.047	0.071	0.294	0.212	0.000	0.000	0.012	1.001	0.177	0.707	1.001	0.177	0.059	0.954	0.000	0.400	0.883	0.153	0.153	0.966	0.000	0.259	0.000	0.342	0.966	1.001	0.589	0.930	1.001	0.695	0.024	0.271	0.000	0.000	0.377	0.012
81.000	0.530	0.966	0.236	0.424	0.000	0.000	0.942	1.001	0.306	0.553	1.001	0.000	0.483	0.683	0.000	0.012	0.024	0.000	0.518	0.283	0.024	0.012	1.272	0.012	0.977	1.001	0.518	0.165	1.001	0.836	0.871	0.553	0.035	0.365	0.718	0.518
82.000	0.035	0.530	0.082	0.059	0.000	0.000	0.177	1.001	0.447	0.907	1.001	0.000	0.247	0.436	0.130	0.071	1.390	0.212	0.200	1.072	0.259	0.035	0.000	0.271	0.895	1.001	0.565	0.118	1.001	0.636	0.024	0.188	0.000	0.071	0.412	0.130
83.000	0.035	0.436	0.059	0.059	0.989	0.141	0.495	1.001	0.459	0.212	1.001	0.000	0.236	0.106	0.000	0.082	0.153	0.271	0.236	0.754	0.188	0.000	0.259	0.012	0.577	1.001	0.530	0.954	1.001	0.459	0.000	1.225	0.000	0.400	1.284	0.118
84.000	0.153	1.013	0.165	0.024	0.895	0.000	0.283	1.001	0.495	0.459	1.001	0.059	0.012	0.589	0.000	0.024	0.094	0.000	0.082	0.342	0.035	0.330	1.166	1.213	0.365	1.001	0.801	0.683	1.001	0.459	0.024	0.236	0.071	0.000	0.035	0.000
85.000	0.330	0.695	0.035	0.106	0.412	0.000	0.330	0.989	0.589	0.118	0.989	0.377	0.000	0.436	0.000	0.000	0.000	0.000	0.082	0.671	0.047	0.035	0.659	0.247	0.506	0.989	0.424	0.447	0.989	1.566	0.118	0.648	0.000	0.000	1.201	0.000
86.000	0.106	0.377	0.377	0.118	1.390	0.471	0.765	1.001	0.506	0.224	1.001	0.659	0.000	0.824	0.024	0.000	0.059	0.012	0.000	0.306	0.024	0.118	0.271	0.353	0.318	1.001	0.000	0.377	1.001	0.801	0.224	0.977	0.047	0.141	0.530	0.012
87.000	0.071	0.542	0.141	0.306	0.577	0.000	0.447	1.001	0.671	0.542	1.001	0.542	0.436	0.436	0.177	0.365	0.636	0.071	0.188	0.000	0.000	0.012	0.247	0.000	0.907	1.001	1.201	0.412	1.001	0.742	0.542	0.730	0.130	0.012	0.165	0.012
88.000	0.118	0.577	0.553	0.082	0.400	0.059	0.659	1.001	0.707	0.000	1.001	0.836	0.118	0.553	0.000	0.000	0.412	0.659	0.035	0.283	0.000	0.000	0.000	0.106	0.624	1.001	0.883	0.942	1.001	0.636	0.365	0.754	0.024	0.082	0.577	0.024
