Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.424s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.094	0.565	0.071	0.342	0.695	0.047	0.094	0.989	0.813	0.035	0.989	0.483	0.000	0.271	0.000	0.000	0.259	0.153	0.000	0.294	0.106	0.082	0.483	0.236	0.671	0.989	0.012	0.188	0.989	0.188	0.412	0.412	0.000	0.059	0.165	0.118
62.000	0.259	0.813	0.024	0.283	0.377	0.094	0.118	1.001	0.318	0.259	1.001	0.377	0.000	1.189	0.000	0.047	0.094	0.059	0.130	0.071	0.035	0.212	0.436	0.094	0.883	1.001	0.012	0.247	1.001	0.106	0.389	0.283	0.000	0.342	0.353	0.059
63.000	0.141	0.353	0.400	0.495	0.553	0.283	0.177	1.001	0.612	0.200	1.001	0.283	0.024	0.141	0.000	0.000	0.718	0.024	0.165	0.601	0.094	0.377	0.330	0.000	0.471	1.001	0.177	0.000	1.001	0.353	0.141	0.447	0.000	0.000	0.283	0.412
64.000	0.035	0.483	0.389	0.130	0.365	0.389	0.836	1.001	0.612	0.212	1.001	0.471	0.695	0.330	0.000	0.082	0.447	0.059	0.012	0.212	0.224	0.247	0.412	0.318	0.624	1.001	0.000	0.648	1.001	0.188	0.718	0.471	0.000	0.153	0.200	0.118
65.000	0.636	0.553	0.047	0.648	0.601	0.389	0.777	1.001	0.565	0.071	1.001	0.365	0.495	0.177	0.000	0.035	0.436	0.330	0.200	0.530	0.094	0.224	0.389	0.177	0.365	1.001	0.141	0.059	1.001	0.294	0.118	0.506	0.024	0.000	0.553	0.153
66.000	0.141	0.624	0.283	0.353	0.707	0.365	0.659	1.001	0.765	0.082	1.001	0.589	0.306	0.860	0.000	0.059	0.024	0.271	0.506	0.624	0.165	0.106	0.212	0.071	0.813	1.001	0.130	0.000	1.001	0.330	0.212	0.188	0.059	0.000	0.318	0.318
67.000	0.353	0.718	0.553	0.236	0.082	0.000	0.589	1.001	0.212	0.718	1.001	0.330	0.330	0.424	0.000	0.141	0.565	0.330	0.236	0.518	0.283	0.271	0.659	0.377	0.283	1.001	0.047	0.259	1.001	0.412	0.059	0.353	0.000	0.094	0.518	0.153
68.000	0.188	0.506	0.553	0.483	0.871	0.801	0.730	1.001	0.389	0.259	1.001	0.318	0.400	0.754	0.000	0.294	0.012	0.177	0.035	0.059	0.000	0.071	0.589	0.495	0.506	1.001	0.495	0.000	1.001	0.377	0.707	0.542	0.224	0.000	0.836	0.259
69.000	0.483	0.601	0.259	0.259	0.271	0.118	0.412	1.001	0.188	0.671	1.001	0.624	0.118	0.801	0.000	0.342	0.118	0.188	0.000	0.000	0.000	0.024	0.165	0.094	0.259	1.001	0.648	0.165	1.001	0.377	0.071	0.659	0.530	0.012	0.612	0.071
70.000	0.259	0.871	1.048	0.177	0.718	0.718	0.636	1.001	0.718	0.412	1.001	0.389	0.118	0.071	0.000	0.094	0.059	0.236	0.000	0.141	0.024	0.353	0.471	0.094	0.542	1.001	0.353	0.200	1.001	0.542	0.518	0.342	0.306	0.224	0.389	0.259
71.000	0.707	0.930	0.659	0.483	0.765	0.447	0.330	1.001	0.659	0.141	1.001	0.459	0.247	0.012	0.000	0.035	0.236	0.153	0.082	0.353	0.188	0.059	0.648	0.612	0.530	1.001	0.059	0.118	1.001	0.718	0.342	0.236	0.035	0.082	0.683	0.165
72.000	0.059	0.271	0.071	0.177	0.271	0.094	1.013	1.001	0.177	0.436	1.001	0.577	0.754	0.188	0.000	0.236	0.177	0.518	0.118	0.412	0.094	0.059	0.188	0.153	0.730	1.001	0.153	0.424	1.001	0.318	0.236	0.695	0.106	0.082	0.577	0.342
73.000	0.306	0.530	0.589	0.389	0.412	0.436	0.459	0.989	0.518	0.459	0.989	0.330	0.106	0.695	0.000	0.059	0.483	0.106	0.283	0.471	0.212	0.130	0.188	0.047	0.306	0.989	0.471	0.271	0.989	0.342	0.377	0.071	0.165	0.165	0.306	0.188
74.000	0.224	0.342	0.283	0.224	0.318	0.447	0.907	1.001	0.506	0.447	1.001	0.648	0.212	0.765	0.000	0.177	0.259	0.765	0.047	0.130	0.035	0.035	0.447	0.471	0.565	1.001	0.024	0.141	1.001	0.495	0.565	0.695	0.000	0.047	0.047	0.224
