Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.419s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
80.000	0.353	0.730	0.318	0.000	0.000	0.000	0.000	1.001	0.342	0.730	1.001	0.000	0.000	0.718	0.024	0.542	0.000	0.000	0.047	0.177	0.012	0.000	0.000	0.000	0.212	1.001	0.130	0.342	1.001	0.000	0.153	0.342	0.106	0.247	0.659	0.000
81.000	0.247	0.459	0.471	0.000	0.000	0.000	0.000	1.001	0.506	0.954	1.001	0.000	0.000	0.236	0.141	0.412	0.000	0.000	0.130	0.389	0.130	0.000	0.000	0.000	0.353	1.001	0.000	0.754	1.001	0.000	0.389	0.447	0.000	0.200	0.813	0.000
82.000	0.565	0.612	0.294	0.000	0.000	0.000	0.000	1.001	0.118	0.683	1.001	0.000	0.000	0.530	0.012	0.707	0.000	0.000	0.294	0.400	0.000	0.000	0.000	0.000	0.577	1.001	0.000	0.200	1.001	0.000	0.306	0.518	0.000	0.106	0.695	0.000
83.000	0.200	0.695	0.483	0.000	0.000	0.000	0.000	1.001	0.471	0.742	1.001	0.000	0.000	0.589	0.141	0.495	0.000	0.000	0.436	0.365	0.000	0.000	0.000	0.000	0.353	1.001	0.306	0.860	1.001	0.000	0.024	0.730	0.024	0.742	0.883	0.000
84.000	0.212	0.659	0.495	0.000	0.000	0.000	0.000	1.001	0.400	0.813	1.001	0.000	0.000	0.353	0.200	0.424	0.000	0.000	0.200	0.141	0.024	0.000	0.000	0.000	0.824	1.001	0.165	0.577	1.001	0.000	0.236	0.495	0.024	0.259	0.695	0.000
85.000	0.483	0.377	0.000	0.000	0.000	0.000	0.000	0.989	0.577	0.530	0.989	0.000	0.000	0.271	0.236	0.130	0.000	0.000	0.365	0.306	0.000	0.000	0.000	0.000	0.589	0.989	0.000	0.789	0.989	0.000	0.059	0.165	0.000	0.530	0.836	0.000
86.000	0.200	0.589	0.412	0.000	0.000	0.000	0.000	1.001	0.283	0.813	1.001	0.000	0.000	0.577	0.000	0.730	0.000	0.000	0.342	0.436	0.141	0.000	0.000	0.000	0.200	1.001	0.082	0.730	1.001	0.000	0.177	0.707	0.024	0.330	0.801	0.000
87.000	0.247	0.424	0.283	0.000	0.000	0.000	0.000	1.001	0.259	0.895	1.001	0.000	0.000	0.177	0.153	0.577	0.000	0.000	0.177	0.447	0.188	0.000	0.000	0.000	0.318	1.001	0.059	0.813	1.001	0.000	0.165	0.247	0.000	0.636	0.801	0.000
88.000	0.283	0.612	0.342	0.000	0.000	0.000	0.000	1.001	0.695	0.765	1.001	0.000	0.000	0.165	0.141	0.836	0.000	0.000	0.047	0.177	0.118	0.000	0.000	0.000	0.601	1.001	0.271	0.495	1.001	0.000	0.624	0.141	0.012	0.200	0.730	0.000
89.000	0.447	0.671	0.589	0.000	0.000	0.000	0.000	1.001	0.000	0.565	1.001	0.000	0.000	0.553	0.000	0.565	0.000	0.000	0.000	0.447	0.271	0.000	0.000	0.000	0.553	1.001	0.059	0.836	1.001	0.000	0.389	0.589	0.130	0.742	0.589	0.000
90.000	0.165	0.671	0.624	0.000	0.000	0.000	0.000	1.001	0.707	0.907	1.001	0.000	0.000	0.306	0.306	0.671	0.000	0.000	0.082	0.059	0.000	0.000	0.000	0.000	0.565	1.001	0.000	0.318	1.001	0.000	0.353	0.565	0.000	0.082	0.883	0.000
91.000	0.389	0.471	0.200	0.000	0.000	0.000	0.000	1.001	0.601	0.624	1.001	0.000	0.000	0.353	0.082	0.589	0.000	0.000	0.141	0.447	0.094	0.000	0.000	0.000	0.577	1.001	0.059	0.836	1.001	0.000	0.495	0.412	0.012	0.742	0.765	0.000
92.000	0.236	0.765	0.695	0.000	0.000	0.000	0.000	1.001	0.342	1.083	1.001	0.000	0.000	0.400	0.047	0.930	0.000	0.000	0.247	0.283	0.236	0.000	0.000	0.000	0.059	1.001	0.059	0.777	1.001	0.000	0.082	0.612	0.000	0.212	0.659	0.000
93.000	0.506	0.801	0.624	0.000	0.000	0.000	0.000	1.001	0.294	0.707	1.001	0.000	0.000	0.130	0.071	0.071	0.000	0.000	0.236	0.153	0.000	0.000	0.000	0.000	0.589	1.001	0.094	0.365	1.001	0.000	0.553	0.459	0.035	0.130	0.506	0.000
94.000	0.200	0.495	0.471	0.000	0.000	0.000	0.000	1.001	0.236	0.860	1.001	0.000	0.000	0.294	0.106	0.813	0.000	0.000	0.000	0.106	0.094	0.000	0.000	0.000	0.848	1.001	0.082	0.483	1.001	0.000	0.436	0.506	0.024	0.530	0.659	0.000
95.000	0.518	0.659	0.495	0.000	0.000	0.000	0.000	1.001	0.212	1.025	1.001	0.000	0.000	0.930	0.000	0.848	0.000	0.000	0.130	0.389	0.024	0.000	0.000	0.000	0.389	1.001	0.294	0.589	1.001	0.000	0.400	0.659	0.000	0.283	0.601	0.000
96.000	0.377	0.542	0.000	0.000	0.000	0.000	0.000	1.001	0.518	0.671	1.001	0.000	0.000	0.389	0.400	0.318	0.000	0.000	0.024	0.271	0.024	0.000	0.000	0.000	0.695	1.001	0.000	0.848	1.001	0.000	0.436	0.424	0.000	0.412	0.977	0.000
97.000	0.624	0.718	0.577	0.000	0.000	0.000	0.000	0.989	0.330	0.553	0.989	0.000	0.000	0.330	0.082	0.447	0.000	0.000	0.165	0.330	0.000	0.000	0.000	0.000	0.212	0.989	0.153	0.353	0.989	0.000	0.389	0.542	0.106	0.047	0.789	0.000
98.000	0.718	0.801	0.389	0.000	0.000	0.000	0.000	1.001	0.106	0.954	1.001	0.000	0.000	0.294	0.012	0.542	0.000	0.000	0.106	0.212	0.118	0.000	0.000	0.000	0.495	1.001	0.082	0.589	1.001	0.000	0.283	0.447	0.094	0.377	0.601	0.000
99.000	0.259	0.648	0.200	0.000	0.000	0.000	0.000	1.001	0.542	0.671	1.001	0.000	0.000	0.447	0.165	0.271	0.000	0.000	0.012	0.153	0.035	0.000	0.000	0.000	0.306	1.001	0.188	0.247	1.001	0.000	0.165	0.565	0.024	0.165	1.072	0.000
100.000	0.259	0.636	0.294	0.000	0.000	0.000	0.000	1.001	0.495	0.860	1.001	0.000	0.000	0.318	0.094	0.636	0.000	0.000	0.141	0.459	0.318	0.000	0.000	0.000	0.542	1.001	0.024	0.707	1.001	0.000	0.247	0.895	0.000	0.789	0.518	0.000
101.000	0.718	0.754	0.294	0.000	0.000	0.000	0.000	1.001	0.000	0.871	1.001	0.000	0.000	0.577	0.000	0.754	0.000	0.000	0.224	0.483	0.153	0.000	0.000	0.000	0.400	1.001	0.188	0.365	1.001	0.000	0.283	0.518	0.082	0.177	0.671	0.000
102.000	0.153	0.318	0.094	0.000	0.000	0.000	0.000	1.001	0.860	0.977	1.001	0.000	0.000	0.377	0.094	0.471	0.000	0.000	0.224	0.212	0.000	0.000	0.000	0.000	0.553	1.001	0.024	0.141	1.001	0.000	0.283	0.094	0.000	0.130	0.695	0.000
103.000	0.471	0.707	0.342	0.000	0.000	0.000	0.000	1.001	0.212	0.813	1.001	0.000	0.000	0.353	0.330	0.447	0.000	0.000	0.471	0.553	0.294	0.000	0.000	0.000	0.636	1.001	0.247	0.377	1.001	0.000	0.094	0.824	0.000	0.247	0.659	0.000
