Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.413s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
80.000	0.000	0.000	0.000	0.707	0.271	0.000	0.624	1.001	0.271	1.001	0.165	0.000	0.777	0.942	0.000	0.000	0.765	0.000	0.966	1.001	0.000	1.083	1.001	0.977	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.860	0.000	0.000
81.000	0.000	0.000	0.000	0.907	0.471	0.000	0.283	1.001	0.330	1.001	0.212	0.200	0.730	0.659	0.342	0.000	0.989	0.459	0.966	1.001	0.000	0.860	1.001	0.765	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.082	0.000	0.000
82.000	0.000	0.000	0.000	0.601	0.000	0.035	0.000	1.001	0.683	1.001	0.000	0.047	0.601	0.742	0.742	0.000	0.730	0.212	0.966	1.001	0.000	0.506	1.001	0.777	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
83.000	0.000	0.000	0.000	0.553	0.000	0.000	0.000	1.001	0.860	1.001	0.000	0.224	0.236	0.530	0.000	0.000	0.542	0.577	0.589	1.001	0.000	0.824	1.001	0.836	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.271	0.648	0.436	0.188
84.000	0.000	0.000	0.000	0.636	0.000	0.000	0.000	1.001	0.553	1.001	0.000	0.000	0.824	0.954	0.000	0.000	0.907	0.024	0.518	1.001	0.000	0.636	1.001	0.412	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000
85.000	0.000	0.000	0.000	0.777	0.130	0.106	0.000	0.989	0.659	0.989	0.047	0.200	0.436	0.518	0.000	0.000	0.577	0.141	0.777	0.989	0.000	0.824	0.989	0.871	0.200	0.000	0.000	0.989	0.000	0.000	0.000	0.000	0.141	0.836	0.224	0.071
86.000	0.000	0.000	0.000	0.330	0.236	0.118	0.000	1.001	0.718	1.001	0.000	0.165	1.236	1.284	0.000	0.000	0.754	0.247	0.342	1.001	0.000	0.495	1.001	0.495	0.342	0.000	0.000	1.001	0.000	0.000	0.342	0.000	0.542	0.636	0.436	0.365
87.000	0.000	0.000	0.000	0.082	0.059	0.165	0.000	1.001	0.200	1.001	0.082	0.247	0.365	0.836	0.000	0.000	0.777	0.342	0.612	1.001	0.000	0.365	1.001	0.542	0.506	0.000	0.000	1.001	0.000	0.000	0.553	0.000	0.436	0.883	0.342	0.353
88.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	1.001	0.000	1.001	0.801	0.012	0.730	0.754	0.000	0.000	0.683	0.447	0.659	1.001	0.000	0.718	1.001	0.695	0.459	0.118	0.000	1.001	0.000	0.000	0.495	0.000	0.447	0.577	0.224	0.294
89.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.224	1.001	0.447	0.000	0.153	0.259	0.130	0.000	0.989	0.495	0.377	1.001	0.000	0.200	1.001	0.919	0.259	0.294	0.000	1.001	0.283	0.000	0.118	0.000	0.247	0.589	0.424	0.342
90.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.247	1.001	0.283	0.000	0.412	0.730	0.542	0.000	0.518	0.412	0.259	1.001	0.000	0.000	1.001	0.353	0.118	0.141	0.000	1.001	0.612	0.188	0.141	0.000	0.518	0.601	0.330	0.059
91.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.271	1.001	0.718	0.000	0.636	0.648	0.377	0.000	0.377	0.954	0.342	1.001	0.000	0.000	1.001	1.130	0.459	0.212	0.000	1.001	0.436	0.000	0.389	0.000	0.330	0.883	0.330	0.000
92.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.000	1.001	0.224	0.000	0.271	0.636	0.000	0.000	0.000	0.754	0.565	1.001	0.000	0.000	1.001	0.907	0.200	0.000	0.000	1.001	1.083	0.000	0.259	0.000	0.000	1.072	0.000	0.000
93.000	0.000	0.000	0.000	0.459	0.000	0.000	0.047	1.001	0.777	1.001	0.035	0.000	0.294	0.236	0.000	0.000	0.000	0.895	0.177	1.001	0.000	0.000	1.001	0.977	0.059	0.000	0.000	1.001	0.919	0.000	0.047	0.000	0.000	0.777	0.000	0.000
94.000	0.000	0.000	0.000	1.013	0.000	0.000	0.000	1.001	0.860	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.836	0.000	1.001	0.000	0.000	1.001	0.860	0.000	0.000	0.000	1.001	0.883	0.000	0.000	0.000	0.000	1.072	0.000	0.000
95.000	0.000	0.000	0.000	0.707	0.000	0.177	0.000	1.001	1.072	1.001	0.000	0.389	0.000	0.000	0.000	0.000	0.000	0.860	0.871	1.001	0.000	0.000	1.001	1.048	0.330	0.000	0.000	1.001	0.177	0.000	0.236	0.000	0.000	0.930	0.565	0.000
96.000	0.000	0.000	0.000	1.025	0.000	0.342	0.012	1.001	0.989	1.001	0.000	0.212	0.342	0.259	0.000	0.000	0.000	0.424	0.813	1.001	0.000	0.000	1.001	0.930	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.247	0.871	0.860	0.000
