Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.421s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.553	0.930	0.059	0.236	0.860	0.000	0.624	0.989	0.106	0.459	0.989	0.353	0.000	0.306	0.000	0.000	0.848	0.153	0.259	0.024	0.000	0.000	0.118	0.000	0.801	0.989	0.035	0.447	0.989	0.106	0.212	0.130	0.000	0.035	0.377	0.059
62.000	0.047	0.000	0.000	0.000	0.224	0.012	0.365	1.001	0.966	0.377	1.001	0.895	0.024	0.412	0.024	0.094	0.389	0.000	0.000	0.518	0.000	0.000	1.107	0.000	0.954	1.001	0.824	0.224	1.001	0.000	0.436	0.365	0.000	0.012	0.106	0.165
63.000	0.012	0.000	0.094	0.236	0.047	0.000	0.306	1.001	0.707	0.118	1.001	0.707	0.212	0.000	0.400	0.000	0.118	0.000	0.094	0.330	0.035	0.000	0.671	0.000	0.777	1.001	0.624	0.400	1.001	0.012	0.141	0.624	0.000	0.000	0.636	0.024
64.000	0.518	0.000	0.436	0.012	0.683	0.141	0.930	1.001	0.707	0.530	1.001	0.813	0.306	0.212	0.000	0.082	0.165	0.071	0.177	0.330	0.000	0.024	1.025	0.000	0.895	1.001	0.035	0.930	1.001	0.000	0.012	0.389	0.000	0.082	1.001	0.165
65.000	0.318	0.188	0.141	0.071	0.718	0.012	0.459	1.001	0.565	0.612	1.001	0.754	0.082	0.118	0.000	0.000	0.565	0.059	0.000	0.530	0.059	0.012	0.612	0.000	0.247	1.001	0.636	0.542	1.001	0.000	0.695	0.966	0.118	0.271	0.330	0.118
66.000	0.024	0.648	0.224	0.071	0.118	0.000	0.919	1.001	0.118	1.013	1.001	0.601	0.024	0.188	0.000	0.224	0.624	0.236	0.000	0.118	0.012	0.000	0.000	0.000	0.942	1.001	0.035	0.106	1.001	0.447	0.283	0.777	0.118	0.047	1.189	0.177
67.000	0.294	0.930	0.035	0.071	0.082	0.000	0.342	1.001	0.754	0.424	1.001	0.683	0.024	0.412	0.035	0.000	1.083	0.389	0.353	0.730	0.035	0.035	0.506	0.589	0.365	1.001	0.565	0.035	1.001	1.213	0.000	0.553	0.389	0.318	0.224	0.153
68.000	0.024	0.283	0.012	0.447	0.895	0.000	0.966	1.001	0.330	0.553	1.001	0.954	0.130	0.683	0.035	0.000	0.000	0.212	0.000	0.365	0.059	0.024	0.836	0.506	0.636	1.001	0.671	0.495	1.001	0.318	0.200	0.330	0.059	0.153	1.013	0.000
69.000	0.071	0.824	0.153	0.000	0.271	0.342	0.035	1.001	0.542	0.353	1.001	0.671	0.000	0.565	0.283	0.224	0.765	0.141	0.000	0.895	0.153	0.118	0.330	0.188	1.072	1.001	0.553	0.436	1.001	0.024	0.047	0.047	0.000	0.094	0.353	0.000
70.000	0.624	0.565	0.118	0.377	0.942	0.353	1.307	1.001	0.636	0.024	1.001	0.447	0.177	0.212	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.165	1.154	0.000	0.919	1.001	0.000	0.589	1.001	0.271	0.506	0.224	0.000	0.012	0.530	0.000
