Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.446s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
61.000	0.730	0.848	0.271	0.059	0.012	0.000	0.012	0.989	0.365	0.989	0.271	0.200	0.365	0.377	0.000	0.306	0.118	0.000	0.224	0.989	0.000	0.377	0.989	0.483	0.000	0.271	0.283	0.989	0.200	0.012	0.000	0.000	0.059	0.024	0.106	0.000
62.000	0.612	0.553	0.000	0.518	0.012	0.024	0.447	1.001	0.283	1.001	0.165	0.035	0.165	0.412	0.071	0.659	0.259	0.236	0.177	1.001	0.224	0.024	1.001	0.659	0.141	0.342	0.236	1.001	0.224	0.000	0.130	0.035	0.236	0.518	0.035	0.000
63.000	0.330	0.236	0.000	0.495	0.035	0.000	0.389	1.001	0.412	1.001	0.224	0.059	0.165	0.342	0.082	0.612	0.283	0.165	0.389	1.001	0.424	0.177	1.001	0.483	0.012	0.342	0.659	1.001	0.035	0.000	0.035	0.071	0.071	0.353	0.012	0.000
64.000	0.683	0.648	0.118	0.365	0.035	0.082	0.153	1.001	0.306	1.001	0.153	0.106	0.377	0.353	0.271	0.400	0.247	0.024	0.495	1.001	0.601	0.530	1.001	0.224	0.188	0.106	0.224	1.001	0.141	0.000	0.024	0.000	0.165	0.553	0.000	0.000
65.000	0.801	0.860	0.047	0.553	0.059	0.000	0.236	1.001	0.165	1.001	0.177	0.000	0.294	0.389	0.082	0.424	0.436	0.130	0.318	1.001	0.765	0.094	1.001	0.459	0.000	0.035	0.318	1.001	0.188	0.059	0.000	0.000	0.188	0.754	0.047	0.047
66.000	0.294	0.342	0.082	0.518	0.000	0.000	0.542	1.001	0.094	1.001	0.389	0.130	0.224	0.459	0.035	0.330	0.200	0.106	0.742	1.001	0.330	0.424	1.001	0.330	0.000	0.035	0.306	1.001	0.082	0.047	0.000	0.000	0.012	0.648	0.035	0.024
67.000	0.071	0.624	0.024	0.707	0.000	0.000	0.624	1.001	0.424	1.001	0.106	0.047	0.059	0.495	0.177	0.483	0.082	0.059	0.212	1.001	0.565	0.471	1.001	0.495	0.106	0.283	0.153	1.001	0.059	0.047	0.071	0.000	0.035	0.518	0.035	0.024
68.000	0.483	0.589	0.000	0.801	0.012	0.000	0.471	1.001	0.024	1.001	0.283	0.200	0.106	0.283	0.000	0.436	0.188	0.071	0.459	1.001	0.471	0.518	1.001	1.072	0.035	0.047	0.224	1.001	0.024	0.000	0.000	0.000	0.024	0.530	0.000	0.000
69.000	0.071	0.365	0.118	0.153	0.012	0.012	0.648	1.001	0.082	1.001	0.306	0.071	0.471	0.789	0.000	0.342	0.530	0.141	0.259	1.001	0.342	0.400	1.001	0.259	0.035	0.130	0.141	1.001	0.047	0.000	0.059	0.000	0.012	0.730	0.000	0.000
70.000	0.400	0.565	0.000	0.683	0.012	0.000	0.589	1.001	0.188	1.001	0.059	0.000	0.071	0.047	0.224	0.530	0.459	0.106	0.659	1.001	0.506	0.495	1.001	0.565	0.012	0.306	0.224	1.001	0.000	0.000	0.035	0.000	0.141	0.577	0.000	0.000
