Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.375s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	16.6	16.4	12	14.2	12.4	14	13.6	12.4	16.4	14.2	13.8	17.2	12.6	14.4	15.4	14.4	13.8	15.2	12	15.2
61	112	368	288	288	16	0	32	0	88	376	376	0	104	56	256	384	216	384	208	24
62	24	288	240	264	96	224	288	120	224	32	248	8	184	208	368	272	96	224	272	80
63	224	40	536	440	104	160	296	320	48	0	40	192	104	296	48	88	192	240	176	416
64	424	376	320	440	312	72	256	72	0	192	8	288	304	248	104	0	0	368	168	208
65	400	400	120	368	136	208	256	64	240	328	176	168	104	336	8	112	136	232	176	0
66	536	512	272	472	304	152	16	280	224	344	0	128	112	112	368	416	0	144	232	152
67	368	160	184	408	312	96	152	0	232	272	376	0	0	32	400	112	208	384	264	136
68	424	0	464	256	48	176	176	256	264	400	200	72	56	72	0	352	0	224	328	344
69	376	256	112	0	200	96	184	40	168	264	0	0	360	72	152	328	328	320	56	368
70	240	392	224	8	176	152	248	24	24	224	368	296	320	16	312	0	248	224	240	160
71	184	192	128	152	112	144	256	296	176	0	216	336	72	0	168	248	0	432	96	336
72	200	0	0	496	360	88	240	0	376	352	40	0	344	280	0	264	248	112	0	248
73	416	16	360	224	288	40	160	112	0	248	192	0	360	280	160	304	168	112	96	344
74	304	192	208	160	328	168	216	112	32	264	264	72	88	400	264	440	8	0	24	240
75	200	24	128	296	0	256	64	8	72	472	184	16	128	32	344	256	352	160	184	256
76	192	528	408	80	136	96	56	16	280	200	368	272	248	416	264	304	232	280	104	56
77	0	216	160	8	128	280	312	120	64	288	104	88	424	448	480	128	56	0	112	120
78	328	0	152	96	336	88	72	48	376	480	448	0	96	264	376	168	216	272	472	0
79	200	168	128	240	24	192	264	256	240	0	248	184	88	384	128	312	48	368	16	112
80	248	448	416	328	136	184	248	240	296	0	216	224	192	88	344	96	40	296	0	0
81	328	200	248	416	0	64	232	280	176	56	0	264	240	88	328	336	0	344	144	88
82	376	520	24	96	264	224	56	120	48	0	240	376	216	32	168	272	248	408	72	120
83	96	376	392	472	320	192	136	120	200	112	32	48	200	88	320	32	472	200	64	192
84	168	240	288	512	296	88	48	24	96	0	344	304	88	0	432	144	64	424	432	136
85	456	456	0	48	272	240	224	264	0	88	0	344	304	360	136	280	64	176	8	80
86	440	440	480	0	144	264	88	160	264	64	200	0	320	416	24	64	120	232	80	80
87	0	224	128	344	160	208	168	56	112	264	128	112	272	80	112	320	8	176	112	184
88	112	264	168	320	312	48	184	16	208	256	200	152	240	48	392	248	224	232	80	56
89	544	0	312	264	88	112	8	152	184	0	408	400	136	360	80	360	344	32	0	272
90	384	280	568	168	80	408	72	112	368	224	264	56	24	408	0	464	0	144	40	80
91	312	32	248	352	384	80	128	128	120	152	280	232	200	200	176	0	304	304	184	352
92	56	8	0	464	208	224	88	120	128	0	328	0	48	344	176	88	280	336	344	344
93	504	408	16	248	456	40	328	344	40	264	264	272	128	0	96	16	272	144	0	104
94	96	120	88	448	104	192	88	112	104	264	304	104	344	480	0	416	24	104	0	472
95	240	216	32	184	256	48	16	200	152	376	440	376	136	88	120	264	304	296	160	104
96	296	0	408	360	136	0	160	208	304	424	128	0	152	352	0	304	320	144	32	200
97	432	208	432	224	56	144	296	0	144	240	24	136	88	160	64	312	208	368	32	344
98	344	0	520	0	264	184	152	144	440	80	248	344	0	0	40	112	328	512	0	208
99	64	96	328	144	8	192	0	184	64	288	112	0	392	240	328	240	376	200	104	168
100	472	272	288	280	184	152	80	112	272	96	400	120	304	0	256	176	192	0	408	64
101	296	320	168	0	168	200	184	32	360	240	320	312	0	232	72	296	104	64	128	296
102	304	280	272	488	336	0	192	0	160	232	216	272	120	328	112	144	424	24	16	368
103	184	0	264	264	72	280	80	280	176	240	24	192	240	72	288	176	224	136	160	200
104	336	416	0	152	128	240	0	152	320	168	176	200	288	168	280	0	288	208	0	40
105	40	296	224	96	176	72	56	72	248	328	320	128	352	224	320	216	136	224	128	184
106	416	96	360	32	336	144	128	272	72	184	280	400	176	232	0	200	440	104	0	40
107	208	304	528	312	128	40	304	296	192	0	80	184	416	192	312	144	200	24	160	128
108	232	336	88	216	96	104	248	168	272	56	144	304	272	120	272	240	144	80	240	216
109	544	120	424	88	224	208	0	32	208	344	128	192	40	160	408	440	200	104	176	48
110	496	296	0	208	368	72	112	48	176	192	272	8	280	144	224	128	184	320	232	56
111	152	72	128	368	344	248	72	0	240	240	168	272	336	304	120	296	96	0	416	96
112	264	56	264	456	224	32	288	24	360	264	384	272	368	0	16	48	8	384	400	376
113	0	376	0	0	176	88	104	264	48	256	256	32	64	208	360	56	320	192	144	224
114	160	304	280	104	256	192	144	208	48	264	0	320	232	72	232	376	72	272	0	352
115	296	176	304	328	256	184	256	208	24	280	160	160	0	72	280	160	64	64	288	192
116	448	264	392	216	128	24	200	8	48	32	360	280	88	376	264	112	304	144	128	248
117	424	304	400	552	320	240	280	0	296	40	0	0	112	296	416	120	48	352	216	0
118	320	440	368	16	344	80	160	216	56	488	120	112	0	8	200	272	328	72	72	312
119	304	24	288	368	120	192	168	24	80	168	320	96	152	288	320	360	8	376	272	144
120	184	200	288	352	288	136	80	144	64	152	248	32	408	32	320	360	248	256	0	40
avg	278.8	226.933	247.6	249.733	200.533	145.867	156.667	128.133	171.6	202.533	206.533	162.533	191.067	188.533	210.133	219.6	179.733	215.867	144.933	180.133
delay	404.71	370.719	375.629	389.218	408.239	390.065	397.629	401.007	393.88	392.821	376.507	410.16	391.07	376.52	374.324	394.079	402.1	369.518	374.102	426.832
loss	0.185748	0.157426	0.13876	0.171972	0.3383	0.489786	0.443392	0.49397	0.346369	0.318854	0.294305	0.302511	0.314735	0.304561	0.28135	0.30271	0.335623	0.306541	0.29047	0.302266
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs3', '--datarate=6e5', '--clNum=20', '--ratio=0.375', '--RngRun=29'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
