Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.684s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	19.2	14.4
61	1194.4	1052.8
62	1348	1038.4
63	1123.2	1398.4
64	1577.6	1048.8
65	805.6	1002.4
66	1306.4	1464.8
67	1860.8	1549.6
68	1247.2	1328
69	1398.4	1105.6
70	1228	1208
71	1193.6	1120.8
72	1272.8	1181.6
73	1484	1130.4
74	1261.6	1170.4
75	1291.2	1298.4
76	1503.2	1101.6
77	1320	1140.8
78	1446.4	1351.2
79	1426.4	1020
80	1459.2	956.8
81	1194.4	874.4
82	1362.4	1416
83	1399.2	1310.4
84	938.4	1274.4
85	1260.8	1226.4
86	1227.2	1304
87	1402.4	1149.6
88	1080	1090.4
89	1228.8	1255.2
90	1035.2	932
91	991.2	1524.8
92	1236	1357.6
93	1302.4	1182.4
94	1284	1016.8
95	825.6	1196
96	1516	1111.2
97	1087.2	1724
98	1071.2	1336.8
99	964.8	1526.4
100	744.8	1368.8
101	1610.4	1391.2
102	939.2	792.8
103	1208.8	1581.6
104	1386.4	721.6
105	1167.2	1344.8
106	1104.8	1346.4
107	1413.6	1115.2
108	1280.8	1219.2
109	1432	1373.6
110	1280.8	1421.6
111	1388	1352.8
112	1276	1473.6
113	1408.8	1584.8
114	1080.8	1403.2
115	1232.8	815.2
116	1053.6	716.8
117	1248	1529.6
118	1333.6	1132.8
119	1575.2	1056
120	1287.2	860
avg	1260.13	1217.99
delay	0.300467	0.403592
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs5', '--datarate=25e5', '--packetSize=10e2', '--tcp=0', '--RngRun=44'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
