Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.682s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	13.2	14
61	784.8	1265.6
62	1005.76	844.08
63	861.84	870.48
64	1133.44	750.08
65	1024.56	840.48
66	834.72	1174.64
67	1111.68	1024.8
68	982.24	1134.56
69	910.64	1220.72
70	1177.2	808.56
71	1208.56	1026.08
72	1067.04	1165.44
73	981.76	1158
74	687.28	1099.04
75	1065.6	1166.32
76	897.28	853.76
77	1060.96	956.08
78	1007.12	797.92
79	962.72	1001.52
80	1141.52	729.04
81	928.8	1166.72
82	1019.92	874
83	1148.24	957.44
84	1098.4	904.88
85	1077.92	875.28
86	1027.92	904.64
87	1064.24	1148.64
88	752.72	1051.84
89	651.92	912
90	1020.32	907.92
91	777.92	1063.84
92	1360	1311.28
93	844.56	1444.16
94	948.96	1361.76
95	918.24	1070.56
96	1015.92	850.48
97	607.6	1130.8
98	843.84	778.64
99	770.56	1236.24
100	1043.12	816.16
101	784	454.24
102	924.4	989.28
103	1096.24	909.2
104	683.44	961.12
105	766.56	768.4
106	828.72	1012.96
107	1039.28	946.56
108	1138.72	937.44
109	828.48	921.52
110	843.76	1205.44
111	865.76	959.92
112	940.32	896.88
113	810.64	1157.84
114	1045.04	986.48
115	1132.96	1048.24
116	1037.6	1205.6
117	902.08	770.72
118	593.92	958.64
119	1182.96	813.68
120	1139.6	933.92
(1,0)	(2,14613)	(3,0)	(4,43138)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	956.872	991.543
delay	8.60196	8.48016
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs5', '--datarate=20e5', '--packetSize=1e2', '--tcp=0', '--RngRun=19'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
