Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.690s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	13.6	16
61	263.84	223.68
62	268.48	265.12
63	288.64	226.08
64	298.24	197.28
65	232.16	215.2
66	320.48	213.28
67	213.44	224.96
68	243.68	296.48
69	214.4	229.12
70	250.88	273.44
71	181.28	243.2
72	340	205.44
73	138.4	270.56
74	293.28	296.16
75	193.28	236.8
76	251.2	273.12
77	272.32	171.36
78	299.52	209.44
79	295.52	163.68
80	294.4	184.64
81	241.92	280
82	264.32	181.28
83	183.52	251.68
84	296.16	280
85	186.72	263.2
86	311.04	217.28
87	264.16	244.16
88	223.2	301.12
89	256.32	157.6
90	314.56	214.88
91	259.2	274.72
92	305.92	280.48
93	190.4	303.52
94	268.8	297.76
95	220.64	304.64
96	232.32	323.52
97	281.12	244.8
98	191.36	212.16
99	246.08	218.24
100	132.96	220.32
101	278.24	198.24
102	268.16	173.28
103	285.12	218.24
104	225.44	253.12
105	304.8	251.84
106	287.2	254.08
107	188.32	264.64
108	200.32	293.28
109	300.96	286.88
110	261.76	234.88
111	278.88	225.28
112	151.84	223.52
113	236	231.84
114	307.04	227.84
115	253.28	292.8
116	195.36	206.4
117	220.48	209.28
118	178.88	282.72
119	298.08	225.44
120	246.56	259.84
avg	249.848	241.731
delay	0.27104	0.275121
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs3', '--datarate=5e5', '--packetSize=2e2', '--tcp=0', '--RngRun=11'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
