Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.790s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	16	13.6	12.8	14.6	15	11.2	10.8	12.4	13.6	15	14.4	12.8
61	0	0	0	995.2	1196.8	755.2	742.4	832	892.8	1020.8	1091.2	1126.4
62	0	0	0	768	953.6	1056	1113.6	1155.2	1648	1043.2	777.6	886.4
63	0	0	0	956.8	540.8	803.2	1107.2	876.8	755.2	1104	832	1011.2
64	0	0	0	793.6	988.8	774.4	969.6	870.4	665.6	697.6	1184	1052.8
65	0	0	0	659.2	777.6	579.2	1145.6	896	988.8	1228.8	1212.8	678.4
66	0	0	0	675.2	1097.6	921.6	848	540.8	912	953.6	1030.4	972.8
67	0	0	0	729.6	803.2	908.8	953.6	675.2	1193.6	1091.2	812.8	822.4
68	0	0	0	697.6	796.8	934.4	1257.6	1008	428.8	768	1334.4	864
69	0	0	0	947.2	867.2	640	1337.6	1020.8	905.6	633.6	1273.6	694.4
70	0	0	0	969.6	953.6	854.4	956.8	681.6	1056	793.6	569.6	1030.4
71	0	0	0	918.4	1059.2	867.2	950.4	915.2	1014.4	921.6	825.6	1017.6
72	0	0	0	976	1113.6	844.8	1116.8	646.4	672	985.6	870.4	1094.4
73	0	0	0	601.6	646.4	905.6	979.2	947.2	1011.2	848	1168	1036.8
74	0	0	0	1075.2	1097.6	758.4	1056	812.8	1084.8	668.8	688	1046.4
75	0	0	0	976	899.2	985.6	876.8	985.6	1088	860.8	841.6	611.2
76	0	0	0	668.8	892.8	950.4	720	1091.2	1017.6	851.2	995.2	857.6
77	0	0	0	934.4	1110.4	1132.8	1107.2	931.2	790.4	681.6	1152	758.4
78	0	0	0	412.8	1024	1190.4	752	617.6	998.4	844.8	1065.6	1475.2
79	0	0	0	838.4	899.2	985.6	1094.4	672	796.8	691.2	841.6	1036.8
80	0	0	0	1097.6	691.2	812.8	950.4	1104	512	985.6	761.6	976
81	0	0	0	867.2	924.8	992	752	675.2	806.4	1187.2	841.6	924.8
82	0	0	0	819.2	787.2	662.4	832	1072	790.4	1500.8	1036.8	604.8
83	0	0	0	960	844.8	899.2	934.4	915.2	732.8	636.8	1056	1145.6
84	0	0	0	1225.6	665.6	1168	1136	860.8	1014.4	1084.8	457.6	739.2
85	0	0	0	1110.4	896	659.2	992	1148.8	934.4	1100.8	828.8	652.8
86	0	0	0	921.6	806.4	608	912	1219.2	1248	870.4	800	1004.8
87	0	0	0	860.8	902.4	1036.8	678.4	998.4	1062.4	665.6	649.6	1299.2
88	0	0	0	1104	739.2	966.4	956.8	934.4	630.4	764.8	720	902.4
89	0	0	0	1459.2	1129.6	684.8	950.4	752	832	832	998.4	499.2
90	0	0	0	956.8	1168	790.4	972.8	774.4	1033.6	806.4	1033.6	678.4
avg	0	0	0	899.2	909.12	870.933	971.733	887.68	917.227	904.107	925.013	916.693
delay	0.25	0.25	0.25	486.481	481.702	495.272	489.081	481.679	482.967	483.957	484.253	489.583
loss	0	0	0	0.146959	0.330396	0.152448	0.319149	0.330174	0.374827	0.351471	0.116427	0.152355
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=25e6', '--ratio=0.375', '--RngRun=46', '--locationFile=locationtxt/locationFile33.txt', '--routingFile=locationtxt/routingFile33.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
