Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.790s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	14	14	14.4	15.4	13.6	13.4	14.8	13	15.8	12.8	11	15.6
61	0	0	0	1388.8	902.4	761.6	816	1270.4	908.8	1116.8	912	976
62	0	0	0	1123.2	1078.4	928	620.8	1139.2	1328	1110.4	1084.8	1043.2
63	0	0	0	860.8	720	1052.8	1132.8	1356.8	1276.8	800	1081.6	928
64	0	0	0	1004.8	972.8	1241.6	784	1017.6	675.2	800	726.4	1001.6
65	0	0	0	1123.2	896	966.4	886.4	870.4	969.6	835.2	889.6	630.4
66	0	0	0	857.6	976	633.6	892.8	1017.6	889.6	928	905.6	828.8
67	0	0	0	828.8	844.8	1123.2	1251.2	620.8	745.6	956.8	764.8	806.4
68	0	0	0	566.4	822.4	992	556.8	924.8	848	921.6	851.2	1142.4
69	0	0	0	633.6	1155.2	950.4	992	1052.8	598.4	643.2	1011.2	1008
70	0	0	0	979.2	886.4	681.6	1107.2	1075.2	1088	937.6	780.8	928
71	0	0	0	896	912	1174.4	864	873.6	992	732.8	1164.8	867.2
72	0	0	0	851.2	995.2	777.6	969.6	1120	896	892.8	806.4	835.2
73	0	0	0	896	905.6	896	1177.6	771.2	1225.6	745.6	915.2	643.2
74	0	0	0	908.8	976	1030.4	764.8	905.6	1017.6	668.8	745.6	1084.8
75	0	0	0	643.2	643.2	1036.8	969.6	787.2	1200	803.2	966.4	892.8
76	0	0	0	544	1296	870.4	844.8	752	1040	1024	688	1088
77	0	0	0	1484.8	832	812.8	995.2	1008	883.2	592	723.2	966.4
78	0	0	0	768	636.8	742.4	867.2	819.2	761.6	1200	659.2	960
79	0	0	0	684.8	1024	1209.6	1078.4	1120	902.4	796.8	950.4	768
80	0	0	0	1014.4	1120	908.8	748.8	1033.6	1043.2	1027.2	969.6	528
81	0	0	0	617.6	908.8	774.4	1020.8	1056	1481.6	921.6	1011.2	860.8
82	0	0	0	816	867.2	675.2	1158.4	809.6	876.8	1107.2	694.4	873.6
83	0	0	0	1072	963.2	697.6	947.2	656	1155.2	931.2	931.2	1052.8
84	0	0	0	780.8	1123.2	992	761.6	873.6	665.6	1270.4	860.8	908.8
85	0	0	0	576	921.6	643.2	1267.2	812.8	835.2	1388.8	928	752
86	0	0	0	806.4	931.2	1126.4	700.8	918.4	880	665.6	1187.2	822.4
87	0	0	0	470.4	768	784	985.6	1008	992	1312	947.2	633.6
88	0	0	0	886.4	905.6	998.4	976	518.4	931.2	1078.4	950.4	1004.8
89	0	0	0	940.8	691.2	979.2	867.2	697.6	976	1097.6	896	838.4
90	0	0	0	720	857.6	966.4	972.8	752	1056	752	1302.4	979.2
avg	0	0	0	858.133	917.76	914.24	932.587	921.28	971.307	935.253	910.187	888.427
delay	0.271429	0.257143	0.263889	482.704	482.749	481.553	481.916	461.552	480.472	473.065	480.87	471.293
loss	0	0	0	0.120135	0.132692	0.358025	0.107667	0.316474	0.11032	0.344985	0.131367	0.32362
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=25e6', '--ratio=0.375', '--RngRun=39', '--locationFile=locationtxt/locationFile33.txt', '--routingFile=locationtxt/routingFile33.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
