Dst	Src	HeMcs	Txlevel	Num	isObss
16 	  15	  4	  10	  10	  0
15 	  16	  4	  10	  2856	  0
15 	  14	  4	  10	  10	  0
14 	  15	  4	  10	  1855	  0
14 	  13	  4	  10	  9	  0
13 	  14	  4	  10	  1757	  0
12 	  11	  4	  10	  9	  0
11 	  12	  4	  10	  2962	  0
11 	  10	  4	  10	  10	  0
10 	  11	  4	  10	  1909	  0
10 	  9	  4	  10	  10	  0
9 	  10	  4	  10	  1854	  0
4 	  3	  4	  10	  10	  0
3 	  4	  4	  10	  2769	  0
3 	  2	  4	  10	  10	  0
2 	  3	  4	  10	  1784	  0
2 	  1	  4	  10	  9	  0
1 	  2	  4	  10	  1689	  0
8 	  7	  4	  10	  9	  0
7 	  8	  4	  10	  2296	  0
7 	  6	  4	  10	  10	  0
6 	  7	  4	  10	  1670	  0
6 	  5	  4	  10	  10	  0
5 	  6	  4	  10	  1737	  0
1 	  2	  0	  2	  136	  1
9 	  10	  0	  2	  116	  1
11 	  12	  1	  10	  20	  1
5 	  6	  0	  2	  157	  1
13 	  14	  0	  2	  92	  1
5 	  6	  1	  4	  29	  1
3 	  4	  0	  7	  23	  1
7 	  8	  2	  10	  2	  1
5 	  6	  3	  6	  22	  1
15 	  16	  0	  7	  14	  1
7 	  8	  0	  7	  8	  1
6 	  7	  3	  6	  17	  1
14 	  15	  3	  6	  4	  1
14 	  15	  0	  7	  8	  1
13 	  14	  3	  6	  5	  1
6 	  7	  0	  7	  6	  1
15 	  16	  2	  10	  8	  1
2 	  3	  3	  6	  5	  1
11 	  12	  2	  10	  21	  1
3 	  4	  2	  10	  19	  1
1 	  2	  3	  6	  4	  1
14 	  15	  2	  10	  4	  1
3 	  4	  1	  10	  4	  1
7 	  8	  1	  10	  5	  1
11 	  12	  0	  7	  10	  1
10 	  11	  3	  6	  5	  1
5 	  6	  0	  7	  1	  1

 TotalReset Number= 16169
