Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.651s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	15.2	16.2	15.6	15.6	15.8	15.6	13.8	15.4	14.2	15.2	16.2	14.6	17.2	14.8	15	11.6	15.8	16	13	15
61	0	720	0	0	232	120	360	272	0	0	200	0	40	304	464	392	0	616	424	0
62	520	688	368	0	384	96	224	112	408	408	432	88	376	288	0	0	488	448	424	488
63	424	704	184	392	0	248	224	280	616	272	0	128	88	0	408	48	672	600	640	456
64	552	888	776	824	368	440	232	120	128	424	376	96	144	592	256	704	248	192	336	0
65	136	96	64	464	608	264	376	320	408	208	200	0	344	512	0	184	520	400	40	464
66	200	592	296	648	648	176	136	328	376	184	400	120	344	184	120	120	360	536	48	424
67	432	56	0	808	656	128	624	192	48	72	48	280	464	472	112	488	856	568	72	0
68	544	424	520	808	424	160	56	224	200	128	336	560	272	168	496	552	120	312	712	368
69	792	552	16	0	464	136	0	288	664	496	648	552	616	72	88	360	56	104	344	232
70	480	0	264	592	328	0	64	320	472	376	208	184	608	632	728	8	552	552	0	24
71	104	496	104	680	544	216	120	96	192	328	400	32	504	0	616	432	112	592	360	368
72	440	472	488	544	152	432	80	0	240	64	728	16	304	320	592	712	176	512	168	296
73	640	88	768	16	280	240	32	248	0	400	208	512	496	96	264	520	528	328	488	0
74	256	488	208	672	656	32	224	0	392	344	0	400	512	344	696	464	280	64	712	256
75	168	112	368	720	320	400	288	8	456	32	432	592	104	584	0	536	56	176	600	48
76	552	640	160	408	416	232	232	256	472	112	344	440	280	152	368	160	280	336	200	424
77	648	1104	552	352	0	16	104	120	352	136	776	584	728	160	488	176	296	552	464	488
78	760	424	760	632	464	416	384	8	712	80	416	248	640	32	0	104	88	112	584	352
79	304	544	272	600	504	360	152	240	272	160	0	336	216	416	296	472	24	144	544	352
80	120	576	0	528	184	304	408	240	128	352	352	328	584	320	432	576	72	0	576	0
81	696	0	472	408	336	296	0	256	560	536	296	320	576	448	272	416	440	144	0	368
82	904	656	832	968	32	456	152	16	608	232	176	632	192	120	584	360	256	0	224	168
83	280	160	488	360	448	200	128	168	512	288	336	352	240	424	0	648	176	496	136	232
84	480	0	128	608	0	8	232	296	136	536	400	352	616	480	520	264	168	352	216	360
85	824	800	232	0	120	176	416	360	0	0	488	248	88	0	680	384	552	656	80	56
86	640	744	768	808	600	568	128	0	792	840	200	256	0	72	104	464	0	312	376	0
87	816	256	152	656	656	128	432	256	136	128	0	256	280	192	320	168	496	0	576	632
88	680	8	0	512	200	272	336	320	8	112	312	448	304	144	432	344	16	336	520	136
89	128	328	88	160	144	192	120	296	0	688	624	56	672	0	296	568	664	320	464	88
90	432	392	184	616	536	272	48	192	280	368	304	320	352	144	464	512	312	24	248	408
91	448	832	272	720	392	120	344	64	136	0	144	424	384	488	304	32	200	376	752	864
92	120	16	792	64	472	392	456	136	0	560	0	304	96	304	600	344	296	192	344	80
93	824	224	312	560	552	224	216	256	120	344	0	256	376	168	176	720	664	232	120	240
94	648	656	632	264	144	360	416	24	512	136	472	400	272	72	352	136	152	64	456	208
95	120	520	536	152	504	120	64	288	512	152	416	392	0	0	552	632	64	344	584	304
96	224	72	896	224	0	128	112	0	520	848	792	496	424	360	360	144	656	368	384	576
97	160	128	496	152	448	40	288	80	40	64	608	576	496	360	520	432	408	224	320	88
98	544	224	344	824	488	160	288	232	384	184	112	192	496	336	176	680	264	416	208	32
99	32	808	304	792	288	480	96	304	272	200	256	216	552	0	176	0	72	328	624	288
100	464	0	616	0	464	120	40	272	624	448	248	96	504	512	416	72	200	224	312	432
101	624	688	0	352	328	56	296	152	504	328	416	424	496	488	336	520	0	192	296	88
102	504	736	368	600	672	160	384	72	696	0	288	168	368	712	104	480	472	0	192	184
103	984	0	640	232	144	72	112	80	152	216	416	112	800	272	800	136	424	288	760	696
104	744	512	512	216	8	120	0	272	128	464	608	32	392	440	592	48	528	0	112	536
105	120	104	464	112	0	176	296	232	200	0	544	176	584	576	568	32	88	496	656	120
106	208	688	280	192	288	408	136	232	296	496	472	0	296	472	392	192	72	432	440	360
107	392	224	848	488	288	88	376	296	480	336	368	48	448	208	160	424	464	8	288	544
108	336	480	96	472	624	104	264	336	0	200	456	264	496	0	336	224	560	592	640	288
109	0	496	376	816	320	48	32	0	528	768	72	624	392	272	712	40	96	856	112	496
110	464	312	400	64	520	240	264	208	152	432	272	432	96	56	152	432	176	448	296	440
111	600	488	600	672	176	240	144	128	32	336	448	208	456	416	312	344	56	520	184	456
112	520	288	280	648	272	0	264	96	224	584	560	24	456	32	600	88	280	208	680	288
113	176	360	144	712	0	128	256	104	232	296	464	152	648	368	616	648	656	56	488	0
114	552	488	376	296	144	352	256	0	224	528	48	248	600	496	216	632	368	264	256	16
115	224	760	496	256	320	320	416	264	0	520	568	104	0	112	280	264	488	0	552	200
116	240	920	760	104	912	152	192	376	440	504	456	80	688	824	96	0	0	392	32	0
117	0	744	680	728	200	104	192	344	632	104	472	560	32	288	584	160	336	0	336	352
118	728	264	688	152	648	208	24	0	664	88	592	0	568	456	280	200	744	168	496	424
119	600	472	392	432	568	320	56	56	272	256	608	8	344	96	200	224	208	712	688	400
120	624	0	112	648	24	352	392	296	272	280	296	280	608	360	248	280	48	552	256	0
avg	436.267	425.2	387.067	445.467	348.533	212.933	216.4	183.867	313.6	299.6	351.867	267.2	389.2	286.933	355.2	328.267	298.4	312.267	374	274.8
delay	333.021	336.009	324.514	340.284	337.913	353.123	321.039	349.734	353.614	340.791	346.61	337.181	334.949	340.669	335.611	336.071	334.222	341.543	323.06	333.666
loss	0.157165	0.150798	0.126875	0.158212	0.304417	0.555525	0.508008	0.589926	0.319597	0.307432	0.305892	0.339268	0.310483	0.310035	0.303165	0.309009	0.337766	0.315452	0.289514	0.338787
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs7', '--datarate=10e5', '--clNum=20', '--ratio=0.375', '--RngRun=78'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
