Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.706s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	16.8	14	14.4	13.6
61	2776	4952	1776	0
62	544	4912	4928	1936
63	4104	3536	4112	536
64	4216	2840	3648	1616
65	3760	3024	3776	1728
66	3840	2872	2392	3184
67	4216	960	2920	4224
68	3936	464	3944	3944
69	3816	824	3824	3824
70	3088	3072	3072	3088
71	3072	3080	3072	3064
72	3080	3072	3088	3080
73	3064	3072	3064	3056
74	3072	3072	3072	3072
75	2368	3304	3320	3328
76	1600	3576	3568	3576
77	3376	3392	2136	3384
78	4840	4848	1752	848
79	3768	3768	3160	1592
80	3072	3072	3088	3088
81	3112	3112	3104	2928
82	3016	3104	3104	3096
83	1208	4872	5920	288
84	1216	3928	4088	3056
85	1128	4024	4064	3072
86	4072	4032	4056	128
87	3616	3432	3624	1616
88	3792	3792	3792	912
89	4920	2976	3064	1328
90	4320	3696	0	4304
91	3120	3120	2920	3128
92	3072	3072	3072	3072
93	3072	3072	3072	3072
94	2824	3160	3144	3160
95	2592	1224	4232	4240
96	1576	3584	3584	3576
97	3624	1432	3616	3616
98	3184	3200	3200	2704
99	3088	3072	3080	3080
100	3112	3120	3120	2936
101	3160	3152	3160	2848
102	3008	3480	3720	2080
103	2464	2632	3416	3808
104	112	288	5944	5944
105	4552	1720	1448	4568
106	4288	3720	0	4280
107	3456	2912	2464	3456
108	3072	3072	3072	3072
109	3056	3072	3064	3064
110	3088	3072	3080	3080
111	3072	3072	3080	3064
112	3072	3072	3072	3072
113	3056	3080	3072	3080
114	3096	3072	3072	3080
115	3752	1008	3768	3760
116	3160	864	5712	2552
117	4608	1032	4600	2048
118	4056	144	4056	4064
119	3824	3824	3824	784
120	4424	4432	1480	1984
avg	3194.13	2957.6	3277.87	2819.47
delay	1512.26	1065.28	1592.53	1399.44
loss	0.418685	0.384441	0.43476	0.486531
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs2', '--datarate=12e6', '--RngRun=78'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
