Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.691s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6
60	15	15.6	15.4	15	14.4	12.6
61	0	0	2390.4	3347.2	1372.8	2070.4
62	0	0	1782.4	2208	2080	2982.4
63	0	0	2614.4	2211.2	2604.8	2089.6
64	0	0	2214.4	2259.2	2841.6	2089.6
65	0	0	1788.8	3107.2	2368	2310.4
66	0	0	2339.2	2131.2	2361.6	2291.2
67	0	0	2204.8	2428.8	2460.8	1689.6
68	0	0	2470.4	2633.6	1894.4	2550.4
69	0	0	1820.8	2201.6	1936	3027.2
70	0	0	2806.4	1939.2	2275.2	2368
71	0	0	2163.2	2649.6	1958.4	2201.6
72	0	0	1510.4	2406.4	2457.6	2592
73	0	0	1926.4	2108.8	2128	3049.6
74	0	0	2630.4	2089.6	2400	2313.6
75	0	0	2182.4	2400	2403.2	2336
76	0	0	2924.8	1996.8	2384	1910.4
77	0	0	2454.4	1808	2483.2	2057.6
78	0	0	1692.8	2044.8	2348.8	2694.4
79	0	0	2518.4	1856	2259.2	2611.2
80	0	0	2057.6	1891.2	2966.4	2096
81	0	0	2371.2	2464	2656	1715.2
82	0	0	2217.6	2422.4	2390.4	2064
83	0	0	2371.2	2723.2	1718.4	2236.8
84	0	0	2076.8	1436.8	2713.6	2652.8
85	0	0	2425.6	2473.6	1513.6	2284.8
86	0	0	2556.8	2348.8	2416	1900.8
87	0	0	2364.8	2822.4	1852.8	2358.4
88	0	0	1948.8	2620.8	2204.8	2553.6
89	0	0	2464	1747.2	2329.6	2556.8
90	0	0	1942.4	2627.2	1846.4	2684.8
avg	0	0	2241.07	2313.49	2254.19	2344.64
delay	0.293333	0.269231	407.465	411.385	410.411	412.819
loss	0	0	0.062212	0.0229008	0.0314327	0.023741
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=20e6', '--ratio=0.375', '--RngRun=41', '--locationFile=locationtxt/locationFile22.txt', '--routingFile=locationtxt/routingFile22.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
