Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.336s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	15.6	14	13.8	15
61	608	1448	2552	784
62	2384	3448	2000	752
63	0	768	2248	1528
64	272	2296	1296	200
65	0	4000	0	0
66	2424	2984	800	3856
67	3008	1552	2168	3288
68	3528	1696	1176	4104
69	1824	0	128	2392
70	3608	2744	0	3608
71	4280	1080	2488	1432
72	2976	1120	2584	2672
73	3320	4224	0	1272
74	0	2120	2208	0
75	2000	3352	552	3448
76	0	1624	1336	3144
77	3776	2016	3640	0
78	1928	2920	2544	1872
79	2752	2376	1992	3368
80	3344	3336	2744	1120
81	1808	3680	1248	3760
82	296	5344	1432	3168
83	1112	1520	4088	1688
84	0	344	2848	1560
85	2784	0	3904	3128
86	3528	2688	3584	376
87	3640	40	2280	3312
88	432	2776	504	1376
89	2896	3808	3800	0
90	3736	2624	0	2592
91	0	3952	1904	3160
92	1800	1360	448	2520
93	2152	0	2656	2264
94	2768	3120	1984	1872
95	704	2968	1712	3488
96	3280	1976	1936	2584
97	4000	32	4000	0
98	792	0	2504	2080
99	928	3544	4000	752
100	2264	3424	1328	2040
101	3752	1592	1880	2336
102	3440	984	2136	3360
103	2352	3664	888	2592
104	3232	3168	0	3392
105	192	1928	2008	568
106	1112	1544	0	2440
107	1080	232	3344	3872
108	3976	0	1560	3104
109	2312	712	3744	3752
110	552	760	1696	1880
111	1008	0	1584	1952
112	1872	2448	3144	3032
113	1584	640	2504	2752
114	1640	1248	2352	888
115	2864	1680	2984	2984
116	2008	1648	3648	3192
117	608	664	1624	1088
118	0	432	1872	4000
119	3480	2168	2088	496
120	3360	2400	3232	0
avg	2022.93	1936.93	2015.07	2137.33
delay	68.2813	70.8508	63.2505	77.0104
loss	0.000856108	0.0014434	0	0.00130833
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--rtscts=1', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs2', '--datarate=4e6', '--RngRun=45'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
