Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.337s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	14.8	15.2	14.8	15
61	320	0	1240	1720
62	1376	816	1376	1424
63	1320	952	1376	1344
64	1144	1272	1272	1272
65	0	3288	1056	648
66	1240	1456	1416	880
67	1264	1152	1736	840
68	3216	280	584	880
69	1720	960	576	1736
70	1264	1296	1288	1144
71	1680	408	1184	1720
72	1232	1616	800	1312
73	1464	1320	944	1264
74	832	2096	576	1488
75	520	2632	1808	0
76	760	824	2992	416
77	1672	1568	464	1288
78	632	232	3000	1096
79	1528	560	576	2328
80	1040	2152	1800	0
81	1912	2016	104	960
82	1248	1520	1536	656
83	1048	1544	1352	1048
84	328	1440	280	2944
85	1968	2352	344	296
86	816	2184	1968	24
87	2544	1112	40	1296
88	224	2536	2200	0
89	848	1696	1944	504
90	104	1944	744	2112
91	296	2592	1552	304
92	1512	2184	584	680
93	1720	1704	48	1520
94	1288	1080	1280	1344
95	1400	648	1984	928
96	792	1368	0	2392
97	1680	1400	1880	0
98	520	1624	1576	1272
99	712	1848	1144	1288
100	1800	1304	1888	0
101	2024	1080	1176	680
102	560	1120	1912	1400
103	2360	1576	416	640
104	352	2440	1960	208
105	1216	1320	1240	1216
106	2184	208	368	2232
107	896	696	952	2448
108	2224	352	1768	616
109	2064	1032	0	1896
110	1616	1120	1200	1056
111	1160	1912	0	1920
112	1352	1384	936	1288
113	1528	1240	1688	536
114	0	1720	2256	1016
115	2344	168	1264	1184
116	2128	1184	272	1408
117	3816	560	200	416
118	2840	1024	704	392
119	1408	792	1360	1432
120	1880	760	1752	600
avg	1348.93	1344.4	1165.6	1082.53
delay	574.259	524.358	555.68	554.588
loss	0.337777	0.313879	0.322765	0.354816
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs0', '--datarate=4e6', '--RngRun=83'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
