Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.358s)
CreateVariables () DONE !!!
Creating 6 APs 40.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 200.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5
11.00	-1.00	-1.00	0.38	-1.00	-1.00	0.19
12.00	-1.00	-1.00	0.49	-1.00	-1.00	0.51
13.00	-1.00	-1.00	0.51	-1.00	-1.00	0.49
14.00	-1.00	-1.00	0.49	-1.00	-1.00	0.49
15.00	-1.00	-1.00	0.51	-1.00	-1.00	0.51
16.00	-1.00	-1.00	0.49	-1.00	-1.00	0.49
17.00	-1.00	-1.00	0.51	-1.00	-1.00	0.51
18.00	-1.00	-1.00	0.49	-1.00	-1.00	0.49
19.00	-1.00	-1.00	0.49	-1.00	-1.00	0.51
20.00	-1.00	-1.00	0.51	-1.00	-1.00	0.49
21.00	-1.00	-1.00	0.99	-1.00	-1.00	1.00
22.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
23.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
24.00	-1.00	-1.00	1.00	-1.00	-1.00	0.99
25.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
26.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
27.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
28.00	-1.00	-1.00	0.99	-1.00	-1.00	1.00
29.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
30.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
31.00	-1.00	-1.00	1.50	-1.00	-1.00	1.48
32.00	-1.00	-1.00	1.51	-1.00	-1.00	1.51
33.00	-1.00	-1.00	1.50	-1.00	-1.00	1.50
34.00	-1.00	-1.00	1.50	-1.00	-1.00	1.50
35.00	-1.00	-1.00	1.51	-1.00	-1.00	1.51
36.00	-1.00	-1.00	1.50	-1.00	-1.00	1.50
37.00	-1.00	-1.00	1.50	-1.00	-1.00	1.51
38.00	-1.00	-1.00	1.51	-1.00	-1.00	1.50
39.00	-1.00	-1.00	1.50	-1.00	-1.00	1.50
40.00	-1.00	-1.00	1.51	-1.00	-1.00	1.51
41.00	-1.00	-1.00	1.99	-1.00	-1.00	1.99
42.00	-1.00	-1.00	1.99	-1.00	-1.00	2.00
43.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
44.00	-1.00	-1.00	2.00	-1.00	-1.00	1.99
45.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
46.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
47.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
48.00	-1.00	-1.00	1.99	-1.00	-1.00	2.00
49.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
50.00	-1.00	-1.00	2.00	-1.00	-1.00	1.99
51.00	-1.00	-1.00	2.50	-1.00	-1.00	2.50
52.00	-1.00	-1.00	2.50	-1.00	-1.00	2.50
53.00	-1.00	-1.00	2.50	-1.00	-1.00	2.50
54.00	-1.00	-1.00	2.51	-1.00	-1.00	2.50
55.00	-1.00	-1.00	2.50	-1.00	-1.00	2.51
56.00	-1.00	-1.00	2.50	-1.00	-1.00	2.50
57.00	-1.00	-1.00	2.51	-1.00	-1.00	2.50
58.00	-1.00	-1.00	2.50	-1.00	-1.00	2.51
59.00	-1.00	-1.00	2.50	-1.00	-1.00	2.50
60.00	-1.00	-1.00	2.51	-1.00	-1.00	2.50
61.00	-1.00	-1.00	2.98	-1.00	-1.00	2.99
62.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
63.00	-1.00	-1.00	2.99	-1.00	-1.00	3.00
64.00	-1.00	-1.00	3.00	-1.00	-1.00	2.99
65.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
66.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
67.00	-1.00	-1.00	2.99	-1.00	-1.00	3.00
68.00	-1.00	-1.00	3.00	-1.00	-1.00	2.99
69.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
70.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
71.00	-1.00	-1.00	3.49	-1.00	-1.00	3.50
72.00	-1.00	-1.00	3.51	-1.00	-1.00	3.50
73.00	-1.00	-1.00	3.50	-1.00	-1.00	3.50
74.00	-1.00	-1.00	3.50	-1.00	-1.00	3.50
75.00	-1.00	-1.00	3.50	-1.00	-1.00	3.51
76.00	-1.00	-1.00	3.50	-1.00	-1.00	3.50
77.00	-1.00	-1.00	3.51	-1.00	-1.00	3.50
78.00	-1.00	-1.00	3.50	-1.00	-1.00	3.50
79.00	-1.00	-1.00	3.50	-1.00	-1.00	3.50
80.00	-1.00	-1.00	3.50	-1.00	-1.00	3.51
81.00	-1.00	-1.00	4.00	-1.00	-1.00	3.98
82.00	-1.00	-1.00	3.99	-1.00	-1.00	4.00
83.00	-1.00	-1.00	4.00	-1.00	-1.00	4.00
84.00	-1.00	-1.00	4.00	-1.00	-1.00	3.99
85.00	-1.00	-1.00	3.99	-1.00	-1.00	4.00
86.00	-1.00	-1.00	4.00	-1.00	-1.00	4.00
87.00	-1.00	-1.00	4.00	-1.00	-1.00	3.99
88.00	-1.00	-1.00	3.99	-1.00	-1.00	4.00
89.00	-1.00	-1.00	4.00	-1.00	-1.00	4.00
90.00	-1.00	-1.00	4.00	-1.00	-1.00	3.99
91.00	-1.00	-1.00	4.49	-1.00	-1.00	4.50
92.00	-1.00	-1.00	4.50	-1.00	-1.00	4.50
93.00	-1.00	-1.00	4.50	-1.00	-1.00	4.50
94.00	-1.00	-1.00	4.50	-1.00	-1.00	4.50
95.00	-1.00	-1.00	4.50	-1.00	-1.00	4.50
96.00	-1.00	-1.00	4.50	-1.00	-1.00	4.50
97.00	-1.00	-1.00	4.51	-1.00	-1.00	4.50
98.00	-1.00	-1.00	4.49	-1.00	-1.00	4.51
99.00	-1.00	-1.00	4.51	-1.00	-1.00	4.50
100.00	-1.00	-1.00	4.50	-1.00	-1.00	4.49
101.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
102.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
103.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
104.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
105.00	-1.00	-1.00	5.00	-1.00	-1.00	5.00
106.00	-1.00	-1.00	4.99	-1.00	-1.00	4.99
107.00	-1.00	-1.00	5.00	-1.00	-1.00	5.00
108.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
109.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
110.00	-1.00	-1.00	5.00	-1.00	-1.00	5.00
111.00	-1.00	-1.00	5.49	-1.00	-1.00	5.49
112.00	-1.00	-1.00	5.51	-1.00	-1.00	5.50
113.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
114.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
115.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
116.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
117.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
118.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
119.00	-1.00	-1.00	5.50	-1.00	-1.00	5.51
120.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
121.00	-1.00	-1.00	1.15	-1.00	-1.00	5.97
122.00	-1.00	-1.00	3.44	-1.00	-1.00	5.99
123.00	-1.00	-1.00	5.98	-1.00	-1.00	4.70
124.00	-1.00	-1.00	5.83	-1.00	-1.00	0.87
125.00	-1.00	-1.00	3.30	-1.00	-1.00	0.55
126.00	-1.00	-1.00	5.99	-1.00	-1.00	1.53
127.00	-1.00	-1.00	5.88	-1.00	-1.00	1.55
128.00	-1.00	-1.00	5.99	-1.00	-1.00	6.01
129.00	-1.00	-1.00	6.01	-1.00	-1.00	1.10
130.00	-1.00	-1.00	5.92	-1.00	-1.00	2.84
131.00	-1.00	-1.00	6.50	-1.00	-1.00	0.00
132.00	-1.00	-1.00	6.50	-1.00	-1.00	3.38
133.00	-1.00	-1.00	6.47	-1.00	-1.00	0.18
134.00	-1.00	-1.00	6.50	-1.00	-1.00	0.00
[01;31mInterrupted[0m 
