Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.639s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2
60	11.2	16.2
61	1584	1213.6
62	1891.2	1024
63	1444	1364
64	1428.8	1714.4
65	1903.2	1888.8
66	1473.6	1608.8
67	1507.2	1381.6
68	1089.6	1495.2
69	1376.8	1308
70	1464.8	1499.2
71	1396.8	1351.2
72	1336	1723.2
73	1108.8	1600.8
74	1519.2	1368
75	1775.2	1117.6
76	1689.6	1730.4
77	1173.6	1864.8
78	1516	1016.8
79	1273.6	1827.2
80	1088.8	1303.2
81	1338.4	1560
82	1516	1264
83	1719.2	1505.6
84	1967.2	1446.4
85	1410.4	1496
86	1078.4	1438.4
87	1183.2	1791.2
88	1582.4	1591.2
89	1315.2	1486.4
90	1627.2	1245.6
91	1341.6	1483.2
92	1360.8	1138.4
93	1192.8	1533.6
94	1483.2	1336.8
95	1568	1636.8
96	1093.6	1180.8
97	1593.6	975.2
98	1200	1452.8
99	1334.4	1500
100	1798.4	1543.2
101	1467.2	1512
102	1587.2	1780.8
103	1165.6	1250.4
104	1403.2	1680
105	1480	1257.6
106	981.6	1619.2
107	1149.6	1410.4
108	1391.2	1504
109	1517.6	1340.8
110	1361.6	1416
111	1783.2	1327.2
112	1642.4	1697.6
113	1423.2	1921.6
114	1105.6	1347.2
115	1919.2	1240.8
116	1091.2	740
117	1189.6	2020
118	1161.6	1821.6
119	1346.4	2211.2
120	1444.8	1984.8
avg	1422.61	1484.83
delay	0.460973	0.344665
loss	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile2.txt', '--routingFile=locationtxt/routingFile2.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=30e5', '--packetSize=10e2', '--tcp=0', '--RngRun=29'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
