Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.363s)
CreateVariables () DONE !!!
Creating 9 APs 35.00 and 35.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
36.00	-1.00	-1.00	2.89	-1.00	-1.00	2.06	-1.00	-1.00	1.94
37.00	-1.00	-1.00	3.24	-1.00	-1.00	2.24	-1.00	-1.00	4.59
38.00	-1.00	-1.00	4.18	-1.00	-1.00	2.83	-1.00	-1.00	1.59
39.00	-1.00	-1.00	2.06	-1.00	-1.00	3.53	-1.00	-1.00	3.12
40.00	-1.00	-1.00	2.71	-1.00	-1.00	3.24	-1.00	-1.00	3.24
41.00	-1.00	-1.00	1.41	-1.00	-1.00	0.12	-1.00	-1.00	1.71
42.00	-1.00	-1.00	3.47	-1.00	-1.00	3.53	-1.00	-1.00	4.30
43.00	-1.00	-1.00	0.59	-1.00	-1.00	2.89	-1.00	-1.00	3.47
44.00	-1.00	-1.00	4.83	-1.00	-1.00	2.00	-1.00	-1.00	2.65
45.00	-1.00	-1.00	2.47	-1.00	-1.00	2.18	-1.00	-1.00	2.53
46.00	-1.00	-1.00	2.30	-1.00	-1.00	2.18	-1.00	-1.00	3.53
47.00	-1.00	-1.00	3.30	-1.00	-1.00	2.41	-1.00	-1.00	2.65
48.00	-1.00	-1.00	0.82	-1.00	-1.00	3.77	-1.00	-1.00	1.94
49.00	-1.00	-1.00	3.47	-1.00	-1.00	0.65	-1.00	-1.00	2.53
50.00	-1.00	-1.00	2.71	-1.00	-1.00	3.94	-1.00	-1.00	2.06
51.00	-1.00	-1.00	3.30	-1.00	-1.00	2.47	-1.00	-1.00	2.53
52.00	-1.00	-1.00	2.24	-1.00	-1.00	2.41	-1.00	-1.00	2.94
53.00	-1.00	-1.00	3.89	-1.00	-1.00	0.65	-1.00	-1.00	2.47
54.00	-1.00	-1.00	2.41	-1.00	-1.00	1.59	-1.00	-1.00	3.24
55.00	-1.00	-1.00	0.53	-1.00	-1.00	1.12	-1.00	-1.00	4.06
56.00	-1.00	-1.00	4.65	-1.00	-1.00	3.77	-1.00	-1.00	0.53
57.00	-1.00	-1.00	2.65	-1.00	-1.00	2.06	-1.00	-1.00	3.06
58.00	-1.00	-1.00	1.12	-1.00	-1.00	2.83	-1.00	-1.00	2.77
59.00	-1.00	-1.00	2.00	-1.00	-1.00	1.88	-1.00	-1.00	4.53
60.00	-1.00	-1.00	1.77	-1.00	-1.00	0.88	-1.00	-1.00	2.94
61.00	-1.00	-1.00	4.36	-1.00	-1.00	2.71	-1.00	-1.00	2.36
62.00	-1.00	-1.00	2.24	-1.00	-1.00	1.06	-1.00	-1.00	2.30
63.00	-1.00	-1.00	2.06	-1.00	-1.00	3.42	-1.00	-1.00	1.71
64.00	-1.00	-1.00	4.30	-1.00	-1.00	1.35	-1.00	-1.00	2.71
65.00	-1.00	-1.00	1.47	-1.00	-1.00	3.65	-1.00	-1.00	3.06
66.00	-1.00	-1.00	4.30	-1.00	-1.00	4.24	-1.00	-1.00	3.83
67.00	-1.00	-1.00	2.53	-1.00	-1.00	1.65	-1.00	-1.00	0.88
68.00	-1.00	-1.00	1.53	-1.00	-1.00	1.30	-1.00	-1.00	4.24
69.00	-1.00	-1.00	3.30	-1.00	-1.00	1.71	-1.00	-1.00	4.30
70.00	-1.00	-1.00	2.12	-1.00	-1.00	3.53	-1.00	-1.00	3.71
71.00	-1.00	-1.00	3.65	-1.00	-1.00	3.65	-1.00	-1.00	1.71
72.00	-1.00	-1.00	1.59	-1.00	-1.00	1.77	-1.00	-1.00	3.42
73.00	-1.00	-1.00	4.36	-1.00	-1.00	2.59	-1.00	-1.00	0.88
74.00	-1.00	-1.00	3.77	-1.00	-1.00	1.35	-1.00	-1.00	2.12
75.00	-1.00	-1.00	0.59	-1.00	-1.00	2.77	-1.00	-1.00	1.06
76.00	-1.00	-1.00	0.94	-1.00	-1.00	1.24	-1.00	-1.00	1.83
77.00	-1.00	-1.00	1.65	-1.00	-1.00	1.30	-1.00	-1.00	2.89
78.00	-1.00	-1.00	3.71	-1.00	-1.00	1.88	-1.00	-1.00	3.94
79.00	-1.00	-1.00	0.94	-1.00	-1.00	1.71	-1.00	-1.00	2.65
80.00	-1.00	-1.00	4.47	-1.00	-1.00	2.18	-1.00	-1.00	0.88
81.00	-1.00	-1.00	0.94	-1.00	-1.00	2.65	-1.00	-1.00	4.36
82.00	-1.00	-1.00	1.83	-1.00	-1.00	1.77	-1.00	-1.00	1.41
83.00	-1.00	-1.00	2.89	-1.00	-1.00	4.06	-1.00	-1.00	2.41
84.00	-1.00	-1.00	2.18	-1.00	-1.00	3.83	-1.00	-1.00	1.18
85.00	-1.00	-1.00	1.12	-1.00	-1.00	2.53	-1.00	-1.00	1.47
86.00	-1.00	-1.00	3.36	-1.00	-1.00	2.36	-1.00	-1.00	3.36
87.00	-1.00	-1.00	1.83	-1.00	-1.00	2.65	-1.00	-1.00	1.24
88.00	-1.00	-1.00	2.65	-1.00	-1.00	2.83	-1.00	-1.00	3.94
89.00	-1.00	-1.00	1.00	-1.00	-1.00	3.83	-1.00	-1.00	2.30
90.00	-1.00	-1.00	1.83	-1.00	-1.00	4.83	-1.00	-1.00	0.59
91.00	-1.00	-1.00	0.65	-1.00	-1.00	1.59	-1.00	-1.00	4.47
92.00	-1.00	-1.00	1.77	-1.00	-1.00	3.42	-1.00	-1.00	2.65
93.00	-1.00	-1.00	1.65	-1.00	-1.00	4.30	-1.00	-1.00	2.18
94.00	-1.00	-1.00	2.30	-1.00	-1.00	0.82	-1.00	-1.00	0.06
95.00	-1.00	-1.00	0.82	-1.00	-1.00	1.30	-1.00	-1.00	2.24
96.00	-1.00	-1.00	0.65	-1.00	-1.00	1.59	-1.00	-1.00	3.71
