Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.710s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	16.2	18	13.6	18
61	2960	3184	0	840
62	3816	312	1088	3776
63	2912	288	2912	2912
64	2304	1496	2608	2616
65	2112	2312	2296	2304
66	2248	2248	2248	2248
67	2256	2256	2264	2248
68	2248	2264	2256	2256
69	2256	2240	2248	2248
70	2248	2264	2256	2256
71	2272	2248	2248	2256
72	2240	2256	2248	2248
73	2512	2496	1504	2512
74	2904	2912	1520	1688
75	2640	2648	2200	1536
76	2496	2504	1936	2088
77	2216	2208	2304	2296
78	3064	1056	3072	1800
79	1072	1112	4408	2432
80	1080	512	3808	3624
81	4472	1944	2144	432
82	0	5456	328	3240
83	2576	2616	1224	2608
84	2256	2264	2256	2248
85	2256	2248	2264	2256
86	2264	2248	2248	2264
87	2248	2264	2256	2256
88	2256	2256	2264	2248
89	2248	2256	2232	2256
90	2256	2248	2272	2248
91	2528	2520	2520	1424
92	2272	2288	2288	2176
93	1416	3504	3496	608
94	2256	2248	2256	2264
95	2248	2256	2248	2240
96	2248	2248	2256	2272
97	648	2808	2784	2784
98	1832	2376	2400	2384
99	0	1232	3888	3904
100	1944	2920	1264	2896
101	2328	3000	0	3664
102	3072	968	72	4912
103	2544	2536	1416	2528
104	2248	2264	2248	2264
105	2248	2240	2256	2248
106	2504	1464	2520	2504
107	2096	0	3464	3464
108	2304	2112	2304	2304
109	2264	2248	2256	2256
110	2240	2256	2248	2248
111	2048	2328	2320	2328
112	2280	2184	2272	2288
113	2240	1752	2520	2512
114	2304	2096	2312	2312
115	2256	2248	2240	2248
116	2248	2256	2272	2248
117	2256	2248	2248	2272
118	2696	2696	2696	936
119	2696	2704	2696	896
120	2232	2832	2832	1128
avg	2253.07	2190.8	2225.07	2312.53
delay	1533.69	1869.63	1763.74	1406.96
loss	0.56808	0.553086	0.571699	0.543336
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs1', '--datarate=10e6', '--RngRun=54'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
