Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.336s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	14.8	15	14.6	15.2
61	2824	56	1520	5568
62	3992	3240	4152	4152
63	2824	4504	3672	4480
64	7408	496	200	7416
65	584	4616	2088	8232
66	2712	7864	792	4120
67	2368	7248	1824	1768
68	200	5440	1784	6840
69	1584	5304	2024	6520
70	1912	4264	4664	1856
71	2232	5280	5624	2376
72	4848	4264	4848	1560
73	6392	5048	4048	0
74	3664	5304	1648	4872
75	2024	4744	3976	4744
76	3872	3872	3880	3864
77	4096	3192	4088	4096
78	1552	1712	1104	8864
79	5968	4576	4336	600
80	2664	4888	4904	3080
81	6648	2040	6344	464
82	5752	1512	2096	6120
83	4312	0	4136	7056
84	7840	488	3744	2496
85	0	1336	5688	4520
86	544	5112	3776	6056
87	4296	4296	2544	4304
88	3544	688	2112	1104
89	1840	5344	5384	2888
90	0	344	6416	8744
91	5136	2680	5792	1880
92	0	6248	4376	776
93	1088	2520	1568	2872
94	1592	384	6768	6776
95	3328	104	5104	5632
96	3304	1136	2288	6792
97	1056	1288	7968	0
98	3808	2072	3592	2224
99	2792	5960	2368	592
100	3648	4432	4424	2920
101	3320	4464	4144	3592
102	3488	5856	5048	1048
103	3000	4784	3880	3832
104	1000	7184	6552	736
105	880	3456	8104	3000
106	2104	456	1024	8360
107	512	3776	0	3056
108	5568	1776	2976	2752
109	4192	2928	4192	4184
110	4088	4080	4096	3224
111	3128	4128	4128	4120
112	3880	3872	3880	3880
113	360	4664	5232	5256
114	2784	3320	4680	4664
115	4432	3080	4424	3552
116	6496	4240	4720	64
117	3936	3944	3952	3672
118	4632	1544	4624	4640
119	3528	2408	1728	7856
120	1320	4888	6480	0
avg	3114.93	3479.07	3858.8	3845.2
delay	401.321	347.469	381.707	357.095
loss	0.094847	0.098197	0.0946128	0.111826
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=false', '--rtscts=1', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs5', '--datarate=8e6', '--RngRun=16'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
