Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.376s)
CreateVariables () DONE !!!
Creating 8 APs 30.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 250.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7
78.00	-1.00	-1.00	-1.00	11.30	-1.00	-1.00	-1.00	13.94
79.00	-1.00	-1.00	-1.00	12.06	-1.00	-1.00	-1.00	14.32
80.00	-1.00	-1.00	-1.00	11.30	-1.00	-1.00	-1.00	13.94
81.00	-1.00	-1.00	-1.00	13.19	-1.00	-1.00	-1.00	15.83
82.00	-1.00	-1.00	-1.00	13.19	-1.00	-1.00	-1.00	15.83
83.00	-1.00	-1.00	-1.00	15.07	-1.00	-1.00	-1.00	16.20
84.00	-1.00	-1.00	-1.00	15.83	-1.00	-1.00	-1.00	15.83
85.00	-1.00	-1.00	-1.00	16.20	-1.00	-1.00	-1.00	16.20
86.00	-1.00	-1.00	-1.00	15.83	-1.00	-1.00	-1.00	15.83
87.00	-1.00	-1.00	-1.00	15.83	-1.00	-1.00	-1.00	15.83
88.00	-1.00	-1.00	-1.00	16.20	-1.00	-1.00	-1.00	16.20
89.00	-1.00	-1.00	-1.00	15.83	-1.00	-1.00	-1.00	15.83
90.00	-1.00	-1.00	-1.00	16.20	-1.00	-1.00	-1.00	16.20
91.00	-1.00	-1.00	-1.00	17.71	-1.00	-1.00	-1.00	17.71
92.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	18.09
93.00	-1.00	-1.00	-1.00	17.71	-1.00	-1.00	-1.00	18.09
94.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	17.71
95.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	18.09
96.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	18.09
97.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	18.09
98.00	-1.00	-1.00	-1.00	17.71	-1.00	-1.00	-1.00	17.71
99.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	18.09
100.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	18.09
101.00	-1.00	-1.00	-1.00	17.71	-1.00	-1.00	-1.00	19.60
102.00	-1.00	-1.00	-1.00	15.83	-1.00	-1.00	-1.00	19.97
103.00	-1.00	-1.00	-1.00	16.20	-1.00	-1.00	-1.00	19.97
104.00	-1.00	-1.00	-1.00	16.96	-1.00	-1.00	-1.00	20.35
105.00	-1.00	-1.00	-1.00	16.20	-1.00	-1.00	-1.00	19.97
106.00	-1.00	-1.00	-1.00	17.71	-1.00	-1.00	-1.00	19.60
107.00	-1.00	-1.00	-1.00	17.71	-1.00	-1.00	-1.00	20.35
108.00	-1.00	-1.00	-1.00	17.33	-1.00	-1.00	-1.00	19.97
109.00	-1.00	-1.00	-1.00	16.58	-1.00	-1.00	-1.00	19.60
110.00	-1.00	-1.00	-1.00	17.33	-1.00	-1.00	-1.00	19.97
111.00	-1.00	-1.00	-1.00	18.84	-1.00	-1.00	-1.00	21.10
112.00	-1.00	-1.00	-1.00	18.46	-1.00	-1.00	-1.00	22.23
113.00	-1.00	-1.00	-1.00	17.71	-1.00	-1.00	-1.00	21.86
114.00	-1.00	-1.00	-1.00	18.84	-1.00	-1.00	-1.00	22.23
115.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	21.86
116.00	-1.00	-1.00	-1.00	18.84	-1.00	-1.00	-1.00	21.86
117.00	-1.00	-1.00	-1.00	18.09	-1.00	-1.00	-1.00	22.23
118.00	-1.00	-1.00	-1.00	17.71	-1.00	-1.00	-1.00	21.86
119.00	-1.00	-1.00	-1.00	18.84	-1.00	-1.00	-1.00	21.86
120.00	-1.00	-1.00	-1.00	17.33	-1.00	-1.00	-1.00	22.23
121.00	-1.00	-1.00	-1.00	21.48	-1.00	-1.00	-1.00	23.74
122.00	-1.00	-1.00	-1.00	19.60	-1.00	-1.00	-1.00	23.74
123.00	-1.00	-1.00	-1.00	19.97	-1.00	-1.00	-1.00	24.12
124.00	-1.00	-1.00	-1.00	20.35	-1.00	-1.00	-1.00	24.12
125.00	-1.00	-1.00	-1.00	19.60	-1.00	-1.00	-1.00	24.12
126.00	-1.00	-1.00	-1.00	19.60	-1.00	-1.00	-1.00	23.74
127.00	-1.00	-1.00	-1.00	20.73	-1.00	-1.00	-1.00	24.12
128.00	-1.00	-1.00	-1.00	18.84	-1.00	-1.00	-1.00	23.74
129.00	-1.00	-1.00	-1.00	21.10	-1.00	-1.00	-1.00	24.12
130.00	-1.00	-1.00	-1.00	21.10	-1.00	-1.00	-1.00	24.12
131.00	-1.00	-1.00	-1.00	22.23	-1.00	-1.00	-1.00	25.62
132.00	-1.00	-1.00	-1.00	23.36	-1.00	-1.00	-1.00	25.62
133.00	-1.00	-1.00	-1.00	23.74	-1.00	-1.00	-1.00	26.38
134.00	-1.00	-1.00	-1.00	26.00	-1.00	-1.00	-1.00	26.00
135.00	-1.00	-1.00	-1.00	26.00	-1.00	-1.00	-1.00	26.00
136.00	-1.00	-1.00	-1.00	26.00	-1.00	-1.00	-1.00	26.00
137.00	-1.00	-1.00	-1.00	26.00	-1.00	-1.00	-1.00	26.00
138.00	-1.00	-1.00	-1.00	26.00	-1.00	-1.00	-1.00	26.00
139.00	-1.00	-1.00	-1.00	26.00	-1.00	-1.00	-1.00	26.00
140.00	-1.00	-1.00	-1.00	26.00	-1.00	-1.00	-1.00	26.00
141.00	-1.00	-1.00	-1.00	27.89	-1.00	-1.00	-1.00	27.51
142.00	-1.00	-1.00	-1.00	27.89	-1.00	-1.00	-1.00	28.26
143.00	-1.00	-1.00	-1.00	27.89	-1.00	-1.00	-1.00	27.89
144.00	-1.00	-1.00	-1.00	27.89	-1.00	-1.00	-1.00	27.89
145.00	-1.00	-1.00	-1.00	27.89	-1.00	-1.00	-1.00	28.26
146.00	-1.00	-1.00	-1.00	28.26	-1.00	-1.00	-1.00	27.89
147.00	-1.00	-1.00	-1.00	27.89	-1.00	-1.00	-1.00	27.89
148.00	-1.00	-1.00	-1.00	27.89	-1.00	-1.00	-1.00	28.26
149.00	-1.00	-1.00	-1.00	27.51	-1.00	-1.00	-1.00	27.51
150.00	-1.00	-1.00	-1.00	28.26	-1.00	-1.00	-1.00	28.26
151.00	-1.00	-1.00	-1.00	29.77	-1.00	-1.00	-1.00	29.77
152.00	-1.00	-1.00	-1.00	30.15	-1.00	-1.00	-1.00	30.15
153.00	-1.00	-1.00	-1.00	30.15	-1.00	-1.00	-1.00	30.15
154.00	-1.00	-1.00	-1.00	29.77	-1.00	-1.00	-1.00	29.77
155.00	-1.00	-1.00	-1.00	30.15	-1.00	-1.00	-1.00	30.15
156.00	-1.00	-1.00	-1.00	29.77	-1.00	-1.00	-1.00	30.15
157.00	-1.00	-1.00	-1.00	29.39	-1.00	-1.00	-1.00	29.77
158.00	-1.00	-1.00	-1.00	30.15	-1.00	-1.00	-1.00	30.15
159.00	-1.00	-1.00	-1.00	30.15	-1.00	-1.00	-1.00	29.77
160.00	-1.00	-1.00	-1.00	29.77	-1.00	-1.00	-1.00	30.15
161.00	-1.00	-1.00	-1.00	32.03	-1.00	-1.00	-1.00	32.03
162.00	-1.00	-1.00	-1.00	32.03	-1.00	-1.00	-1.00	32.03
163.00	-1.00	-1.00	-1.00	32.03	-1.00	-1.00	-1.00	32.03
164.00	-1.00	-1.00	-1.00	32.03	-1.00	-1.00	-1.00	32.03
165.00	-1.00	-1.00	-1.00	32.03	-1.00	-1.00	-1.00	31.65
166.00	-1.00	-1.00	-1.00	31.65	-1.00	-1.00	-1.00	32.41
167.00	-1.00	-1.00	-1.00	32.41	-1.00	-1.00	-1.00	31.65
168.00	-1.00	-1.00	-1.00	31.65	-1.00	-1.00	-1.00	32.41
169.00	-1.00	-1.00	-1.00	29.39	-1.00	-1.00	-1.00	31.65
170.00	-1.00	-1.00	-1.00	28.26	-1.00	-1.00	-1.00	32.03
171.00	-1.00	-1.00	-1.00	33.16	-1.00	-1.00	-1.00	33.91
172.00	-1.00	-1.00	-1.00	33.91	-1.00	-1.00	-1.00	33.91
173.00	-1.00	-1.00	-1.00	33.91	-1.00	-1.00	-1.00	34.29
174.00	-1.00	-1.00	-1.00	33.91	-1.00	-1.00	-1.00	33.54
175.00	-1.00	-1.00	-1.00	34.29	-1.00	-1.00	-1.00	33.91
176.00	-1.00	-1.00	-1.00	33.91	-1.00	-1.00	-1.00	33.91
177.00	-1.00	-1.00	-1.00	33.91	-1.00	-1.00	-1.00	33.16
178.00	-1.00	-1.00	-1.00	34.29	-1.00	-1.00	-1.00	34.67
179.00	-1.00	-1.00	-1.00	33.91	-1.00	-1.00	-1.00	33.91
180.00	-1.00	-1.00	-1.00	33.91	-1.00	-1.00	-1.00	33.91
181.00	-1.00	-1.00	-1.00	32.03	-1.00	-1.00	-1.00	36.18
182.00	-1.00	-1.00	-1.00	30.52	-1.00	-1.00	-1.00	35.80
183.00	-1.00	-1.00	-1.00	30.15	-1.00	-1.00	-1.00	36.18
184.00	-1.00	-1.00	-1.00	30.90	-1.00	-1.00	-1.00	35.80
185.00	-1.00	-1.00	-1.00	12.44	-1.00	-1.00	-1.00	36.18
186.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	35.80
187.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	35.80
188.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	36.18
189.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	36.18
190.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	35.42
191.00	-1.00	-1.00	-1.00	6.78	-1.00	-1.00	-1.00	38.44
192.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	38.06
193.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	38.06
194.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	38.06
195.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	37.68
196.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	38.06
197.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	38.06
198.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	38.06
199.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	38.06
200.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	38.06
201.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	39.57
202.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	39.94
203.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	40.32
204.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	39.94
205.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	39.94
206.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	39.94
207.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	39.94
208.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	39.94
209.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	39.94
210.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	40.32
211.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	41.83
212.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	41.83
213.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	42.21
214.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	41.83
215.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	41.83
216.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	42.21
217.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	41.83
218.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	42.21
219.00	-1.00	-1.00	-1.00	0.00	-1.00	-1.00	-1.00	41.83
