Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.641s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
88.00	7.89	-1.00	-1.00	-1.00	-1.00	8.30
89.00	8.04	-1.00	-1.00	-1.00	-1.00	7.76
90.00	7.97	-1.00	-1.00	-1.00	-1.00	8.03
91.00	9.39	-1.00	-1.00	-1.00	-1.00	7.03
92.00	8.63	-1.00	-1.00	-1.00	-1.00	9.30
93.00	8.78	-1.00	-1.00	-1.00	-1.00	8.77
94.00	7.27	-1.00	-1.00	-1.00	-1.00	10.79
95.00	10.27	-1.00	-1.00	-1.00	-1.00	7.40
96.00	9.22	-1.00	-1.00	-1.00	-1.00	8.84
97.00	8.20	-1.00	-1.00	-1.00	-1.00	8.55
98.00	8.51	-1.00	-1.00	-1.00	-1.00	9.70
99.00	7.31	-1.00	-1.00	-1.00	-1.00	8.96
100.00	6.74	-1.00	-1.00	-1.00	-1.00	9.63
101.00	11.55	-1.00	-1.00	-1.00	-1.00	8.27
102.00	8.95	-1.00	-1.00	-1.00	-1.00	8.64
103.00	11.25	-1.00	-1.00	-1.00	-1.00	6.89
104.00	6.96	-1.00	-1.00	-1.00	-1.00	8.94
105.00	11.35	-1.00	-1.00	-1.00	-1.00	7.05
106.00	8.82	-1.00	-1.00	-1.00	-1.00	8.62
107.00	7.94	-1.00	-1.00	-1.00	-1.00	11.46
108.00	11.87	-1.00	-1.00	-1.00	-1.00	6.18
109.00	10.34	-1.00	-1.00	-1.00	-1.00	8.42
110.00	7.58	-1.00	-1.00	-1.00	-1.00	7.82
111.00	7.27	-1.00	-1.00	-1.00	-1.00	11.25
