Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.325s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
87.00	9.21	-1.00	-1.00	-1.00	-1.00	7.43
88.00	8.24	-1.00	-1.00	-1.00	-1.00	7.62
89.00	8.01	-1.00	-1.00	-1.00	-1.00	8.55
90.00	6.92	-1.00	-1.00	-1.00	-1.00	7.97
91.00	8.97	-1.00	-1.00	-1.00	-1.00	8.54
92.00	8.05	-1.00	-1.00	-1.00	-1.00	9.89
93.00	9.99	-1.00	-1.00	-1.00	-1.00	4.42
94.00	8.88	-1.00	-1.00	-1.00	-1.00	12.06
95.00	6.55	-1.00	-1.00	-1.00	-1.00	10.54
96.00	10.54	-1.00	-1.00	-1.00	-1.00	6.99
97.00	10.36	-1.00	-1.00	-1.00	-1.00	8.57
98.00	6.54	-1.00	-1.00	-1.00	-1.00	11.21
99.00	11.71	-1.00	-1.00	-1.00	-1.00	6.36
100.00	8.36	-1.00	-1.00	-1.00	-1.00	8.54
101.00	11.07	-1.00	-1.00	-1.00	-1.00	7.64
102.00	6.14	-1.00	-1.00	-1.00	-1.00	11.33
103.00	6.58	-1.00	-1.00	-1.00	-1.00	10.74
104.00	11.46	-1.00	-1.00	-1.00	-1.00	7.09
105.00	8.28	-1.00	-1.00	-1.00	-1.00	9.61
106.00	5.57	-1.00	-1.00	-1.00	-1.00	13.12
107.00	9.56	-1.00	-1.00	-1.00	-1.00	8.70
108.00	7.15	-1.00	-1.00	-1.00	-1.00	11.49
109.00	11.05	-1.00	-1.00	-1.00	-1.00	6.99
110.00	13.83	-1.00	-1.00	-1.00	-1.00	4.03
111.00	3.63	-1.00	-1.00	-1.00	-1.00	15.00
112.00	12.59	-1.00	-1.00	-1.00	-1.00	4.47
113.00	4.00	-1.00	-1.00	-1.00	-1.00	14.44
114.00	14.70	-1.00	-1.00	-1.00	-1.00	3.54
115.00	4.32	-1.00	-1.00	-1.00	-1.00	13.33
116.00	8.41	-1.00	-1.00	-1.00	-1.00	11.02
117.00	7.90	-1.00	-1.00	-1.00	-1.00	9.30
118.00	10.30	-1.00	-1.00	-1.00	-1.00	8.04
119.00	12.31	-1.00	-1.00	-1.00	-1.00	6.15
120.00	5.64	-1.00	-1.00	-1.00	-1.00	12.94
121.00	10.27	-1.00	-1.00	-1.00	-1.00	7.16
122.00	1.59	-1.00	-1.00	-1.00	-1.00	13.98
123.00	0.44	-1.00	-1.00	-1.00	-1.00	11.99
124.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
125.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
126.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
127.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
128.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
129.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
130.00	0.00	-1.00	-1.00	-1.00	-1.00	12.00
131.00	0.00	-1.00	-1.00	-1.00	-1.00	12.99
132.00	0.00	-1.00	-1.00	-1.00	-1.00	12.99
133.00	0.00	-1.00	-1.00	-1.00	-1.00	13.01
134.00	0.00	-1.00	-1.00	-1.00	-1.00	12.99
135.00	0.00	-1.00	-1.00	-1.00	-1.00	13.01
136.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
137.00	0.00	-1.00	-1.00	-1.00	-1.00	12.98
138.00	0.00	-1.00	-1.00	-1.00	-1.00	13.01
139.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
140.00	0.00	-1.00	-1.00	-1.00	-1.00	13.00
141.00	0.00	-1.00	-1.00	-1.00	-1.00	13.99
142.00	0.00	-1.00	-1.00	-1.00	-1.00	14.01
143.00	0.00	-1.00	-1.00	-1.00	-1.00	13.99
144.00	0.00	-1.00	-1.00	-1.00	-1.00	13.95
145.00	0.00	-1.00	-1.00	-1.00	-1.00	14.05
146.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
147.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
148.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
149.00	0.00	-1.00	-1.00	-1.00	-1.00	13.99
150.00	0.00	-1.00	-1.00	-1.00	-1.00	14.00
151.00	0.00	-1.00	-1.00	-1.00	-1.00	14.99
152.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
153.00	0.00	-1.00	-1.00	-1.00	-1.00	14.98
154.00	0.00	-1.00	-1.00	-1.00	-1.00	15.03
155.00	0.00	-1.00	-1.00	-1.00	-1.00	14.98
156.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
157.00	0.00	-1.00	-1.00	-1.00	-1.00	14.96
158.00	0.00	-1.00	-1.00	-1.00	-1.00	15.05
159.00	0.00	-1.00	-1.00	-1.00	-1.00	15.00
160.00	0.00	-1.00	-1.00	-1.00	-1.00	14.98
161.00	0.00	-1.00	-1.00	-1.00	-1.00	15.98
162.00	0.00	-1.00	-1.00	-1.00	-1.00	15.99
163.00	0.00	-1.00	-1.00	-1.00	-1.00	16.03
164.00	0.00	-1.00	-1.00	-1.00	-1.00	15.99
165.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
166.00	0.00	-1.00	-1.00	-1.00	-1.00	15.97
167.00	0.00	-1.00	-1.00	-1.00	-1.00	16.02
168.00	0.00	-1.00	-1.00	-1.00	-1.00	16.00
169.00	0.00	-1.00	-1.00	-1.00	-1.00	15.93
170.00	0.00	-1.00	-1.00	-1.00	-1.00	16.10
171.00	0.00	-1.00	-1.00	-1.00	-1.00	16.97
172.00	0.00	-1.00	-1.00	-1.00	-1.00	16.95
173.00	0.00	-1.00	-1.00	-1.00	-1.00	17.05
174.00	0.00	-1.00	-1.00	-1.00	-1.00	16.97
175.00	0.00	-1.00	-1.00	-1.00	-1.00	17.00
176.00	0.00	-1.00	-1.00	-1.00	-1.00	16.99
177.00	0.00	-1.00	-1.00	-1.00	-1.00	17.02
178.00	0.00	-1.00	-1.00	-1.00	-1.00	16.96
179.00	0.00	-1.00	-1.00	-1.00	-1.00	17.04
180.00	0.00	-1.00	-1.00	-1.00	-1.00	17.02
181.00	0.00	-1.00	-1.00	-1.00	-1.00	17.96
182.00	0.00	-1.00	-1.00	-1.00	-1.00	17.82
183.00	0.00	-1.00	-1.00	-1.00	-1.00	18.08
184.00	0.00	-1.00	-1.00	-1.00	-1.00	18.10
185.00	0.00	-1.00	-1.00	-1.00	-1.00	17.91
186.00	0.00	-1.00	-1.00	-1.00	-1.00	18.05
187.00	0.00	-1.00	-1.00	-1.00	-1.00	18.06
188.00	0.00	-1.00	-1.00	-1.00	-1.00	17.98
189.00	0.00	-1.00	-1.00	-1.00	-1.00	18.03
190.00	0.00	-1.00	-1.00	-1.00	-1.00	17.93
191.00	0.00	-1.00	-1.00	-1.00	-1.00	18.16
192.00	0.00	-1.00	-1.00	-1.00	-1.00	19.68
193.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
194.00	0.00	-1.00	-1.00	-1.00	-1.00	19.03
195.00	0.00	-1.00	-1.00	-1.00	-1.00	19.01
196.00	0.00	-1.00	-1.00	-1.00	-1.00	18.11
197.00	0.00	-1.00	-1.00	-1.00	-1.00	18.43
198.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
199.00	0.00	-1.00	-1.00	-1.00	-1.00	18.72
200.00	0.00	-1.00	-1.00	-1.00	-1.00	19.24
201.00	0.00	-1.00	-1.00	-1.00	-1.00	18.57
202.00	0.00	-1.00	-1.00	-1.00	-1.00	18.63
203.00	0.00	-1.00	-1.00	-1.00	-1.00	20.36
204.00	0.00	-1.00	-1.00	-1.00	-1.00	19.24
205.00	0.00	-1.00	-1.00	-1.00	-1.00	19.02
206.00	0.00	-1.00	-1.00	-1.00	-1.00	16.56
207.00	0.00	-1.00	-1.00	-1.00	-1.00	19.19
208.00	0.00	-1.00	-1.00	-1.00	-1.00	20.60
209.00	0.00	-1.00	-1.00	-1.00	-1.00	19.47
210.00	0.00	-1.00	-1.00	-1.00	-1.00	19.24
