Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.375s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	0.08	-1.00	-1.00	-1.00	-1.00	0.09
3.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
4.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
5.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
6.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
7.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
8.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
9.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
10.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
11.00	0.99	-1.00	-1.00	-1.00	-1.00	0.99
12.00	0.99	-1.00	-1.00	-1.00	-1.00	1.00
13.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
14.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
15.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
16.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
17.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
18.00	0.99	-1.00	-1.00	-1.00	-1.00	0.98
19.00	0.99	-1.00	-1.00	-1.00	-1.00	1.00
20.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
21.00	1.99	-1.00	-1.00	-1.00	-1.00	1.99
22.00	1.99	-1.00	-1.00	-1.00	-1.00	1.98
23.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
24.00	1.99	-1.00	-1.00	-1.00	-1.00	2.00
25.00	2.00	-1.00	-1.00	-1.00	-1.00	2.00
26.00	1.99	-1.00	-1.00	-1.00	-1.00	1.98
27.00	1.98	-1.00	-1.00	-1.00	-1.00	2.00
28.00	2.00	-1.00	-1.00	-1.00	-1.00	1.98
29.00	2.00	-1.00	-1.00	-1.00	-1.00	1.98
30.00	1.98	-1.00	-1.00	-1.00	-1.00	1.98
31.00	2.99	-1.00	-1.00	-1.00	-1.00	2.96
32.00	2.98	-1.00	-1.00	-1.00	-1.00	2.93
33.00	2.96	-1.00	-1.00	-1.00	-1.00	2.96
34.00	3.00	-1.00	-1.00	-1.00	-1.00	2.99
35.00	2.94	-1.00	-1.00	-1.00	-1.00	2.99
36.00	2.97	-1.00	-1.00	-1.00	-1.00	2.98
37.00	3.00	-1.00	-1.00	-1.00	-1.00	2.98
38.00	2.98	-1.00	-1.00	-1.00	-1.00	2.97
39.00	3.00	-1.00	-1.00	-1.00	-1.00	2.99
40.00	2.97	-1.00	-1.00	-1.00	-1.00	2.99
41.00	3.94	-1.00	-1.00	-1.00	-1.00	3.94
42.00	3.99	-1.00	-1.00	-1.00	-1.00	3.98
43.00	3.90	-1.00	-1.00	-1.00	-1.00	3.98
44.00	4.02	-1.00	-1.00	-1.00	-1.00	3.97
45.00	3.99	-1.00	-1.00	-1.00	-1.00	3.96
46.00	3.99	-1.00	-1.00	-1.00	-1.00	3.98
