Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.344s)
CreateVariables () DONE !!!
Creating 6 APs 40.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 200.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5
99.00	-1.00	-1.00	4.50	-1.00	-1.00	4.50
100.00	-1.00	-1.00	4.50	-1.00	-1.00	4.50
101.00	-1.00	-1.00	4.99	-1.00	-1.00	4.99
102.00	-1.00	-1.00	5.00	-1.00	-1.00	5.00
103.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
104.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
105.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
106.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
107.00	-1.00	-1.00	5.00	-1.00	-1.00	5.00
108.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
109.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
110.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
111.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
112.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
113.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
114.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
115.00	-1.00	-1.00	5.50	-1.00	-1.00	5.51
116.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
117.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
118.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
119.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
120.00	-1.00	-1.00	5.50	-1.00	-1.00	5.50
121.00	-1.00	-1.00	5.99	-1.00	-1.00	2.99
122.00	-1.00	-1.00	5.99	-1.00	-1.00	5.99
123.00	-1.00	-1.00	6.01	-1.00	-1.00	4.31
124.00	-1.00	-1.00	5.99	-1.00	-1.00	0.00
125.00	-1.00	-1.00	5.99	-1.00	-1.00	5.97
126.00	-1.00	-1.00	5.99	-1.00	-1.00	5.99
127.00	-1.00	-1.00	6.01	-1.00	-1.00	5.99
128.00	-1.00	-1.00	5.95	-1.00	-1.00	5.96
129.00	-1.00	-1.00	6.01	-1.00	-1.00	5.99
130.00	-1.00	-1.00	5.99	-1.00	-1.00	6.01
131.00	-1.00	-1.00	6.49	-1.00	-1.00	6.50
132.00	-1.00	-1.00	6.01	-1.00	-1.00	5.25
133.00	-1.00	-1.00	0.00	-1.00	-1.00	4.09
134.00	-1.00	-1.00	0.49	-1.00	-1.00	6.47
135.00	-1.00	-1.00	0.00	-1.00	-1.00	6.50
136.00	-1.00	-1.00	0.00	-1.00	-1.00	6.50
137.00	-1.00	-1.00	0.00	-1.00	-1.00	6.50
138.00	-1.00	-1.00	0.00	-1.00	-1.00	6.50
139.00	-1.00	-1.00	0.00	-1.00	-1.00	6.50
140.00	-1.00	-1.00	0.00	-1.00	-1.00	6.50
141.00	-1.00	-1.00	0.00	-1.00	-1.00	6.98
142.00	-1.00	-1.00	0.00	-1.00	-1.00	7.01
143.00	-1.00	-1.00	0.00	-1.00	-1.00	6.99
144.00	-1.00	-1.00	0.00	-1.00	-1.00	7.01
145.00	-1.00	-1.00	0.00	-1.00	-1.00	6.99
146.00	-1.00	-1.00	0.00	-1.00	-1.00	7.01
147.00	-1.00	-1.00	0.00	-1.00	-1.00	6.99
148.00	-1.00	-1.00	0.00	-1.00	-1.00	6.99
149.00	-1.00	-1.00	0.00	-1.00	-1.00	7.01
150.00	-1.00	-1.00	0.00	-1.00	-1.00	6.99
151.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
152.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
153.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
154.00	-1.00	-1.00	0.00	-1.00	-1.00	7.49
155.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
156.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
157.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
158.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
159.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
160.00	-1.00	-1.00	0.00	-1.00	-1.00	7.50
161.00	-1.00	-1.00	0.00	-1.00	-1.00	7.98
162.00	-1.00	-1.00	0.00	-1.00	-1.00	8.00
163.00	-1.00	-1.00	0.00	-1.00	-1.00	8.01
164.00	-1.00	-1.00	0.00	-1.00	-1.00	8.00
165.00	-1.00	-1.00	0.00	-1.00	-1.00	8.00
166.00	-1.00	-1.00	0.00	-1.00	-1.00	8.01
167.00	-1.00	-1.00	0.00	-1.00	-1.00	8.00
168.00	-1.00	-1.00	0.00	-1.00	-1.00	8.01
169.00	-1.00	-1.00	0.00	-1.00	-1.00	8.00
170.00	-1.00	-1.00	0.00	-1.00	-1.00	8.00
