Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.324s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
2.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
3.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
4.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
5.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
6.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
7.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
8.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
9.00	0.09	-1.00	-1.00	-1.00	-1.00	0.09
10.00	0.11	-1.00	-1.00	-1.00	-1.00	0.11
11.00	0.99	-1.00	-1.00	-1.00	-1.00	0.99
12.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
13.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
14.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
15.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
16.00	0.99	-1.00	-1.00	-1.00	-1.00	1.00
17.00	1.01	-1.00	-1.00	-1.00	-1.00	1.00
18.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
19.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00
20.00	0.99	-1.00	-1.00	-1.00	-1.00	1.00
21.00	2.00	-1.00	-1.00	-1.00	-1.00	1.97
22.00	1.99	-1.00	-1.00	-1.00	-1.00	2.00
23.00	2.00	-1.00	-1.00	-1.00	-1.00	2.00
24.00	1.98	-1.00	-1.00	-1.00	-1.00	2.00
25.00	1.98	-1.00	-1.00	-1.00	-1.00	1.99
26.00	1.99	-1.00	-1.00	-1.00	-1.00	1.99
27.00	2.00	-1.00	-1.00	-1.00	-1.00	1.98
28.00	2.00	-1.00	-1.00	-1.00	-1.00	2.00
29.00	2.00	-1.00	-1.00	-1.00	-1.00	1.99
30.00	1.99	-1.00	-1.00	-1.00	-1.00	2.01
31.00	2.98	-1.00	-1.00	-1.00	-1.00	2.96
32.00	2.99	-1.00	-1.00	-1.00	-1.00	3.00
33.00	2.97	-1.00	-1.00	-1.00	-1.00	2.96
34.00	2.97	-1.00	-1.00	-1.00	-1.00	2.98
35.00	2.98	-1.00	-1.00	-1.00	-1.00	3.00
36.00	2.98	-1.00	-1.00	-1.00	-1.00	2.99
37.00	2.99	-1.00	-1.00	-1.00	-1.00	2.96
38.00	2.96	-1.00	-1.00	-1.00	-1.00	3.01
39.00	2.99	-1.00	-1.00	-1.00	-1.00	2.98
40.00	2.98	-1.00	-1.00	-1.00	-1.00	2.98
41.00	3.96	-1.00	-1.00	-1.00	-1.00	3.96
42.00	3.96	-1.00	-1.00	-1.00	-1.00	3.94
43.00	3.98	-1.00	-1.00	-1.00	-1.00	3.99
44.00	3.98	-1.00	-1.00	-1.00	-1.00	3.97
45.00	3.98	-1.00	-1.00	-1.00	-1.00	4.00
46.00	3.97	-1.00	-1.00	-1.00	-1.00	3.97
47.00	3.92	-1.00	-1.00	-1.00	-1.00	3.96
48.00	3.98	-1.00	-1.00	-1.00	-1.00	3.96
49.00	3.98	-1.00	-1.00	-1.00	-1.00	3.91
50.00	3.97	-1.00	-1.00	-1.00	-1.00	4.02
51.00	4.97	-1.00	-1.00	-1.00	-1.00	4.90
52.00	4.92	-1.00	-1.00	-1.00	-1.00	5.00
53.00	4.99	-1.00	-1.00	-1.00	-1.00	4.91
54.00	4.93	-1.00	-1.00	-1.00	-1.00	4.98
55.00	5.00	-1.00	-1.00	-1.00	-1.00	4.85
56.00	4.98	-1.00	-1.00	-1.00	-1.00	5.02
57.00	4.96	-1.00	-1.00	-1.00	-1.00	4.95
58.00	4.96	-1.00	-1.00	-1.00	-1.00	4.98
59.00	4.92	-1.00	-1.00	-1.00	-1.00	4.95
60.00	4.97	-1.00	-1.00	-1.00	-1.00	4.95
61.00	5.97	-1.00	-1.00	-1.00	-1.00	5.97
62.00	5.97	-1.00	-1.00	-1.00	-1.00	6.02
63.00	5.90	-1.00	-1.00	-1.00	-1.00	6.01
64.00	5.99	-1.00	-1.00	-1.00	-1.00	5.95
65.00	5.97	-1.00	-1.00	-1.00	-1.00	5.96
66.00	5.97	-1.00	-1.00	-1.00	-1.00	5.96
67.00	5.98	-1.00	-1.00	-1.00	-1.00	5.97
68.00	5.96	-1.00	-1.00	-1.00	-1.00	5.98
69.00	5.94	-1.00	-1.00	-1.00	-1.00	5.97
70.00	6.02	-1.00	-1.00	-1.00	-1.00	6.02
71.00	6.96	-1.00	-1.00	-1.00	-1.00	6.98
72.00	6.98	-1.00	-1.00	-1.00	-1.00	6.98
73.00	6.99	-1.00	-1.00	-1.00	-1.00	6.91
74.00	7.01	-1.00	-1.00	-1.00	-1.00	6.98
75.00	6.98	-1.00	-1.00	-1.00	-1.00	6.98
76.00	6.90	-1.00	-1.00	-1.00	-1.00	7.04
77.00	6.95	-1.00	-1.00	-1.00	-1.00	6.99
78.00	7.08	-1.00	-1.00	-1.00	-1.00	6.97
79.00	6.92	-1.00	-1.00	-1.00	-1.00	6.99
80.00	7.03	-1.00	-1.00	-1.00	-1.00	6.97
81.00	7.87	-1.00	-1.00	-1.00	-1.00	7.82
82.00	7.93	-1.00	-1.00	-1.00	-1.00	8.15
